player,team,prop_type,actual,SOG,G,A,PTS,HIT,BS,PIM,PM,PPP,FOW,TOI
Quinton Byfield,LA,PIM,4.0,0.0,0.0,0.0,0.0,,2.0,4.0,-3.0,,,
Zayne Parekh,CGY,PIM,4.0,0.0,0.0,0.0,0.0,,0.0,4.0,-1.0,,,
Thomas Chabot,OTT,PIM,4.0,0.0,0.0,1.0,1.0,,1.0,4.0,2.0,,,
Isac Lundestrom,CBJ,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,1.0,,,
Sean Monahan,CBJ,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,1.0,,,
Brandt Clarke,LA,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Brandon Duhaime,WSH,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,2.0,,,
Kevin Bahl,CGY,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,-3.0,,,
Vincent Trocheck,NYR,Points,3.0,0.0,0.0,3.0,3.0,,1.0,0.0,0.0,,,
Brian Dumoulin,LA,Points,3.0,0.0,1.0,2.0,3.0,,0.0,0.0,3.0,,,
Ivan Provorov,CBJ,Plus/Minus,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Rasmus Sandin,WSH,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,3.0,,,
Rasmus Sandin,WSH,Plus/Minus,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,3.0,,,
Justin Sourdif,WSH,Plus/Minus,3.0,0.0,1.0,2.0,3.0,,0.0,0.0,3.0,,,
Justin Sourdif,WSH,Points,3.0,0.0,1.0,2.0,3.0,,0.0,0.0,3.0,,,
Ryan Greene,CHI,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,2.0,1.0,,,
Cody Ceci,LA,Plus/Minus,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0,,,
Artemi Panarin,LA,Plus/Minus,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,3.0,,,
Brian Dumoulin,LA,Plus/Minus,3.0,0.0,1.0,2.0,3.0,,0.0,0.0,3.0,,,
Mika Zibanejad,NYR,Points,3.0,0.0,2.0,1.0,3.0,,0.0,0.0,1.0,,,
Tyler Kleven,OTT,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Vincent Trocheck,NYR,Assists,3.0,0.0,0.0,3.0,3.0,,1.0,0.0,0.0,,,
Warren Foegele,OTT,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Claude Giroux,OTT,Plus/Minus,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,,
Artem Zub,OTT,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,,,
Vladislav Gavrikov,NYR,Points,2.0,0.0,0.0,2.0,2.0,,1.0,2.0,1.0,,,
Vladislav Gavrikov,NYR,PIM,2.0,0.0,0.0,2.0,2.0,,1.0,2.0,1.0,,,
Adrian Kempe,LA,Goals,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,2.0,,,
Vladislav Gavrikov,NYR,Assists,2.0,0.0,0.0,2.0,2.0,,1.0,2.0,1.0,,,
Mika Zibanejad,NYR,Goals,2.0,0.0,2.0,1.0,3.0,,0.0,0.0,1.0,,,
Trevor Zegras,PHI,PIM,2.0,0.0,0.0,1.0,1.0,,0.0,2.0,0.0,,,
Noah Laba,NYR,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,,,
Tye Kartye,NYR,Plus/Minus,2.0,0.0,1.0,1.0,2.0,,1.0,0.0,2.0,,,
Thomas Chabot,OTT,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,1.0,4.0,2.0,,,
Adam Fox,NYR,PIM,2.0,0.0,0.0,1.0,1.0,,0.0,2.0,0.0,,,
Nick Jensen,OTT,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Travis Konecny,PHI,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Artyom Levshunov,CHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,-1.0,,,
Wyatt Kaiser,CHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Brandon Duhaime,WSH,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,3.0,0.0,2.0,,,
Brayden Pachal,CGY,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,-1.0,,,
Damon Severson,CBJ,PIM,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,-2.0,,,
Kevin Bahl,CGY,PIM,2.0,0.0,0.0,0.0,0.0,,3.0,2.0,-3.0,,,
Elias Pettersson,VAN,PIM,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,,,
Yan Kuznetsov,CGY,Blocked Shots,2.0,0.0,0.0,1.0,1.0,,2.0,0.0,-1.0,,,
Cam York,PHI,PIM,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,-1.0,,,
Blake Coleman,CGY,Blocked Shots,2.0,0.0,1.0,0.0,1.0,,2.0,0.0,0.0,,,
Rasmus Ristolainen,PHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Alexis Lafreniere,NYR,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,,,
Tye Kartye,NYR,Points,2.0,0.0,1.0,1.0,2.0,,1.0,0.0,2.0,,,
Gabe Perreault,NYR,Points,2.0,0.0,1.0,1.0,2.0,,1.0,0.0,1.0,,,
Hendrix Lapierre,WSH,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Alex Vlasic,CHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Justin Sourdif,WSH,Assists,2.0,0.0,1.0,2.0,3.0,,0.0,0.0,3.0,,,
Dante Fabbro,CBJ,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,-1.0,,,
Connor McMichael,WSH,Points,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,1.0,,,
Connor McMichael,WSH,Goals,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,1.0,,,
Connor McMichael,WSH,Blocked Shots,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,1.0,,,
Ethen Frank,WSH,Plus/Minus,2.0,0.0,1.0,0.0,1.0,,1.0,0.0,2.0,,,
Hendrix Lapierre,WSH,Plus/Minus,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Tom Wilson,WSH,Blocked Shots,2.0,0.0,1.0,0.0,1.0,,2.0,0.0,-2.0,,,
Martin Fehervary,WSH,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,2.0,0.0,2.0,,,
Matt Roy,WSH,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Declan Chisholm,WSH,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,1.0,0.0,2.0,,,
Martin Fehervary,WSH,Blocked Shots,2.0,0.0,0.0,1.0,1.0,,2.0,0.0,2.0,,,
Zach Werenski,CBJ,Blocked Shots,2.0,0.0,0.0,1.0,1.0,,2.0,0.0,-4.0,,,
Anthony Beauvillier,WSH,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,1.0,0.0,2.0,,,
Artemi Panarin,LA,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,3.0,,,
Denton Mateychuk,CBJ,Points,2.0,0.0,1.0,1.0,2.0,,1.0,0.0,1.0,,,
Conor Garland,CBJ,Goals,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,
Logan Cooley,UTA,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Mason Marchment,CBJ,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,-1.0,,,
Trevor van Riemsdyk,WSH,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Andre Burakovsky,CHI,Blocked Shots,2.0,0.0,1.0,0.0,1.0,,2.0,0.0,1.0,,,
