player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Money Williams,MONT,Fantasy Score,56.8,40.0,7.0,3.0,0.0,0.0,4.0,10.0,21.0,2.0,5.0,2.0,18.0,19.0,8.0,16.0,1.0,6.0,3.0,35.0
MJ Thomas,UNO,Fantasy Score,53.0,17.0,14.0,3.0,0.0,2.0,2.0,4.0,14.0,1.0,1.0,1.0,8.0,10.0,3.0,13.0,10.0,4.0,3.0,37.0
Tycen McDaniels,ALCN,Fantasy Score,52.2,22.0,9.0,2.0,3.0,4.0,5.0,6.0,12.0,0.0,0.0,0.0,10.0,13.0,6.0,12.0,1.0,8.0,2.0,40.0
Thomas Dowd,TROY,Fantasy Score,52.2,23.0,13.0,3.0,0.0,0.0,6.0,8.0,12.0,2.0,5.0,2.0,5.0,6.0,6.0,7.0,3.0,10.0,3.0,39.0
Quinn Denker,UNCO,Fantasy Score,51.0,29.0,4.0,8.0,0.0,0.0,0.0,9.0,23.0,1.0,4.0,1.0,10.0,12.0,8.0,19.0,1.0,3.0,4.0,40.0
Graham Ike,GONZ,Fantasy Score,50.8,24.0,11.0,1.0,1.0,0.0,2.0,10.0,17.0,0.0,1.0,0.0,4.0,4.0,10.0,16.0,1.0,10.0,3.0,36.0
Money Williams,MONT,Pts+Rebs+Asts,50.0,40.0,7.0,3.0,0.0,0.0,4.0,10.0,21.0,2.0,5.0,2.0,18.0,19.0,8.0,16.0,1.0,6.0,3.0,35.0
Money Williams,MONT,PRA,50.0,40.0,7.0,3.0,0.0,0.0,4.0,10.0,21.0,2.0,5.0,2.0,18.0,19.0,8.0,16.0,1.0,6.0,3.0,35.0
Jerquarius Stanback,ALST,Fantasy Score,49.5,16.0,12.0,0.0,4.0,0.0,0.0,8.0,14.0,0.0,1.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,4.0,29.0
Daniel Michelini-Jackson,AMCC,Fantasy Score,49.0,28.0,8.0,1.0,2.0,0.0,3.0,10.0,12.0,5.0,5.0,5.0,3.0,3.0,5.0,7.0,1.0,7.0,3.0,28.0
Cooper Bowser,FUR,Fantasy Score,48.8,21.0,11.0,3.0,0.0,0.0,2.0,9.0,12.0,0.0,1.0,0.0,3.0,4.0,9.0,11.0,2.0,9.0,3.0,30.0
Money Williams,MONT,Pts+Rebs,47.0,40.0,7.0,3.0,0.0,0.0,4.0,10.0,21.0,2.0,5.0,2.0,18.0,19.0,8.0,16.0,1.0,6.0,3.0,35.0
Michael James,MVSU,Fantasy Score,46.8,23.0,7.0,4.0,0.0,3.0,7.0,7.0,16.0,4.0,7.0,4.0,5.0,6.0,3.0,9.0,2.0,5.0,1.0,29.0
Tyler Tejada,TOW,Fantasy Score,46.2,29.0,7.0,2.0,0.0,0.0,0.0,9.0,23.0,2.0,6.0,2.0,9.0,10.0,7.0,17.0,3.0,4.0,1.0,45.0
Isaiah Moses,EWU,Fantasy Score,46.0,22.0,4.0,8.0,0.0,1.0,1.0,6.0,17.0,2.0,6.0,2.0,8.0,9.0,4.0,11.0,1.0,3.0,0.0,37.0
Orlando Lovejoy,DETM,Fantasy Score,43.8,21.0,3.0,6.0,0.0,3.0,1.0,5.0,14.0,0.0,0.0,0.0,11.0,12.0,5.0,14.0,1.0,2.0,2.0,39.0
Grant Sanders,NICH,Fantasy Score,43.5,6.0,12.0,5.0,1.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,10.0,3.0,29.0
Jorge Diaz Graham,ORST,Fantasy Score,43.2,15.0,9.0,1.0,4.0,1.0,1.0,5.0,8.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,6.0,2.0,33.0
Money Williams,MONT,Pts+Asts,43.0,40.0,7.0,3.0,0.0,0.0,4.0,10.0,21.0,2.0,5.0,2.0,18.0,19.0,8.0,16.0,1.0,6.0,3.0,35.0
TJ Burch,WRST,Fantasy Score,42.8,22.0,3.0,3.0,2.0,2.0,2.0,7.0,16.0,2.0,5.0,2.0,6.0,6.0,5.0,11.0,0.0,3.0,2.0,27.0
Koree Cotton,RGV,Fantasy Score,42.5,18.0,4.0,5.0,2.0,2.0,5.0,6.0,9.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,33.0
Alton Hamilton IV,EWU,Fantasy Score,42.2,25.0,5.0,3.0,1.0,0.0,2.0,8.0,10.0,2.0,2.0,2.0,7.0,8.0,6.0,8.0,3.0,2.0,3.0,36.0
Brock Wisne,UNCO,Fantasy Score,42.2,15.0,11.0,3.0,0.0,0.0,3.0,7.0,13.0,0.0,1.0,0.0,1.0,4.0,7.0,12.0,5.0,6.0,1.0,35.0
Tijan Saine Jr.,WEB,Fantasy Score,41.2,27.0,1.0,2.0,0.0,3.0,3.0,7.0,12.0,2.0,3.0,2.0,11.0,12.0,5.0,9.0,0.0,1.0,4.0,37.0
Quinn Denker,UNCO,PRA,41.0,29.0,4.0,8.0,0.0,0.0,0.0,9.0,23.0,1.0,4.0,1.0,10.0,12.0,8.0,19.0,1.0,3.0,4.0,40.0
Paulius Murauskas,SMC,Fantasy Score,41.0,26.0,8.0,0.0,0.0,0.0,1.0,9.0,15.0,2.0,5.0,2.0,6.0,6.0,7.0,10.0,2.0,6.0,0.0,37.0
Quinn Denker,UNCO,Pts+Rebs+Asts,41.0,29.0,4.0,8.0,0.0,0.0,0.0,9.0,23.0,1.0,4.0,1.0,10.0,12.0,8.0,19.0,1.0,3.0,4.0,40.0
Jameel Morris,ALCN,Fantasy Score,40.2,22.0,5.0,3.0,0.0,2.0,2.0,7.0,15.0,0.0,2.0,0.0,8.0,10.0,7.0,13.0,2.0,3.0,3.0,38.0
Money Williams,MONT,Points,40.0,40.0,7.0,3.0,0.0,0.0,4.0,10.0,21.0,2.0,5.0,2.0,18.0,19.0,8.0,16.0,1.0,6.0,3.0,35.0
Andrew McKeever,SMC,Fantasy Score,39.8,11.0,11.0,2.0,1.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,5.0,7.0,3.0,8.0,5.0,6.0,3.0,31.0
Sash Gavalyugov,SCU,Fantasy Score,39.8,23.0,1.0,6.0,0.0,0.0,1.0,9.0,16.0,5.0,9.0,5.0,0.0,3.0,4.0,7.0,0.0,1.0,4.0,29.0
Thomas Dowd,TROY,Pts+Rebs+Asts,39.0,23.0,13.0,3.0,0.0,0.0,6.0,8.0,12.0,2.0,5.0,2.0,5.0,6.0,6.0,7.0,3.0,10.0,3.0,39.0
Thomas Dowd,TROY,PRA,39.0,23.0,13.0,3.0,0.0,0.0,6.0,8.0,12.0,2.0,5.0,2.0,5.0,6.0,6.0,7.0,3.0,10.0,3.0,39.0
Jason Rivera-Torres,MONM,Fantasy Score,38.8,17.0,7.0,2.0,0.0,3.0,1.0,6.0,13.0,0.0,2.0,0.0,5.0,6.0,6.0,11.0,2.0,5.0,3.0,34.0
