Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.45,Alden Applewhite,GASO,TROY,Points,Goblin,9.5,OVER,9.102,18.602,1,20,14.96,5,0,Avg,03/09 07:00PM,pts,
CBB,A,1.42,Cooper Campbell,TROY,GASO,Points,Goblin,9.5,OVER,4.592000000000001,14.092,0.9,15.6,11.81,5,0,Weak,03/09 07:00PM,pts,
CBB,A,1.41,Thomas Dowd,TROY,GASO,Points,Goblin,9.5,OVER,4.3614,13.8614,0.9,14.8,13.857,5,0,Weak,03/09 07:00PM,pts,
CBB,A,1.37,Isaac Williams,BAY,ASU,Assists,Goblin,2.5,OVER,2.3144,4.8144,0.9,5.4,3.522,5,0,Weak,03/10 12:30PM,ast,
CBB,A,1.31,Cooper Campbell,TROY,GASO,Points,Goblin,11.5,OVER,2.592000000000001,14.092,0.8,15.6,11.81,5,0,Weak,03/09 07:00PM,pts,
CBB,A,1.3,Moustapha Thiam,CIN,UTAH,Points,Goblin,13.5,OVER,3.710000000000001,17.21,0.8,19.4,13.85,4,1,Weak,03/10 03:00PM,pts,
CBB,A,1.3,Victor Valdes,TROY,GASO,Points,Goblin,9.5,OVER,2.680000000000001,12.18,0.75,11.8,14,4,1,Weak,03/09 07:00PM,pts,
CBB,A,1.3,Jizzle James,CIN,UTAH,Points,Goblin,8.5,OVER,3.1662,11.6662,0.75,11.4,11.381,4,1,Weak,03/10 03:00PM,pts,
CBB,A,1.29,Kwame Evans,ORE,MD,Points,Goblin,12.5,OVER,2.7042,15.2042,0.85,17,13.571,5,0,Weak,03/10 05:00PM,pts,
CBB,A,1.29,Maki Johnson,ETSU,FUR,Points,Goblin,2.5,OVER,3.268199999999999,5.768199999999999,0.8500000000000001,5.6,5.391,4,1,Above Avg,03/09 07:00PM,pts,
CBB,A,1.29,Alden Applewhite,GASO,TROY,Points,Goblin,11.5,OVER,7.102,18.602,0.8,20,14.96,4,1,Avg,03/09 07:00PM,pts,
CBB,A,1.28,Thomas Dowd,TROY,GASO,Points,Goblin,11.5,OVER,2.3614,13.8614,0.75,14.8,13.857,4,1,Weak,03/09 07:00PM,pts,
CBB,A,1.28,Anthony Johnson,ASU,BAY,Points,Goblin,9.5,OVER,3.898199999999999,13.3982,0.8,14,13.091,4,1,Avg,03/10 12:30PM,pts,
CBB,A,1.27,Jerrell Bellamy,TROY,GASO,Points,Goblin,9.5,OVER,3.5372,13.0372,0.65,15.4,9.286,4,1,Weak,03/09 07:00PM,pts,
CBB,A,1.26,Moustapha Thiam,CIN,UTAH,Points,Goblin,14.5,OVER,2.710000000000001,17.21,0.75,19.4,13.85,4,1,Weak,03/10 03:00PM,pts,
CBB,A,1.26,Spudd Webb,GASO,TROY,Points,Goblin,9.5,OVER,6.654,16.154,0.7,17.6,15.32,4,1,Avg,03/09 07:00PM,pts,
CBB,A,1.25,Thomas Dowd,TROY,GASO,Pts+Rebs,Goblin,19.5,OVER,3.615199999999998,23.1152,0.75,24,23.476,4,1,Weak,03/09 07:00PM,pr,
CBB,A,1.25,Paulius Murauskas,SMC,SCU,Rebounds,Goblin,6.5,OVER,3.1486,9.6486,0.85,11,8.143,5,0,Above Avg,03/09 11:30PM,reb,
CBB,A,1.24,Alden Applewhite,GASO,TROY,Pts+Rebs+Asts,Goblin,19.5,OVER,6.381999999999998,25.882,0.95,27.2,21.96,5,0,Avg,03/09 07:00PM,pra,
CBB,A,1.24,Massamba Diop,ASU,BAY,Points,Goblin,11.5,OVER,2.625399999999999,14.1254,0.8500000000000001,13.6,14.727,4,1,Avg,03/10 12:30PM,pts,
CBB,A,1.23,Dra Gibbs-Lawhorn,UNLV,WYO,3-PT Made,Standard,3.5,UNDER,-3.5,0,1,0,0,0,5,Avg,03/11 03:00PM,3pm,
CBB,A,1.23,Bangot Dak,COLO,OKST,Points,Goblin,10.5,OVER,2.431000000000001,12.931,0.6,14.4,10.955,3,2,Weak,03/10 09:30PM,pts,
CBB,A,1.22,Tounde Yessoufou,BAY,ASU,Points,Goblin,14.5,OVER,3.2286,17.7286,0.6499999999999999,16.6,18.043,3,2,Weak,03/10 12:30PM,pts,
CBB,A,1.22,P.J. Haggerty,KSU,BYU,Points,Goblin,17.5,OVER,5.509999999999998,23.01,0.8,23,22.9,4,1,Avg,03/10 07:00PM,pts,
CBB,A,1.22,Seydou Traore,UTAH,CIN,Pts+Rebs,Standard,12.5,UNDER,-2.962800000000001,9.537199999999999,0.8,7.6,11.286,0,5,Elite,03/10 03:00PM,pr,
CBB,A,1.21,AJ Dybantsa,BYU,KSU,Rebounds,Goblin,5.5,OVER,1.794,7.294,0.9,7.4,6.87,5,0,Weak,03/10 07:00PM,reb,
CBB,A,1.21,Kanye Clary,OKST,COLO,Points,Goblin,10.5,OVER,2.4186,12.9186,0.7,14.6,11.143,4,1,Weak,03/10 09:30PM,pts,
CBB,A,1.2,Thomas Dowd,TROY,GASO,Rebounds,Goblin,7.5,OVER,1.7538,9.2538,0.95,9.2,9.619,5,0,Weak,03/09 07:00PM,reb,
CBB,A,1.2,Moustapha Thiam,CIN,UTAH,Pts+Rebs+Asts,Goblin,22.5,OVER,3.750000000000004,26.25,0.75,29.6,20.95,4,1,Weak,03/10 03:00PM,pra,
CBB,A,1.2,Cooper Bowser,FUR,ETSU,Points,Goblin,9.5,OVER,4.9892,14.4892,0.95,14.4,14.846,5,0,Elite,03/09 07:00PM,pts,
CBB,A,1.19,Cameron Corhen,PITT,STAN,Points,Goblin,11.5,OVER,4.161999999999999,15.662,0.85,17.2,12.81,5,0,Above Avg,03/10 02:00PM,pts,
