player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Josh Hart,NY,Fantasy Score,42.2,12.0,13.0,3.0,0.0,0.0,3.0,5.0,7.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,7.0,6.0,4.0,37.0
Karl-Anthony Towns,NY,Pts+Asts,42.0,35.0,12.0,7.0,1.0,0.0,3.0,13.0,17.0,3.0,4.0,3.0,6.0,8.0,10.0,13.0,2.0,10.0,6.0,36.0
James Harden,CLE,Fantasy Score,41.8,21.0,5.0,5.0,1.0,0.0,2.0,6.0,11.0,3.0,8.0,3.0,6.0,6.0,3.0,3.0,0.0,5.0,1.0,29.0
Tim Hardaway Jr.,DEN,Fantasy Score,41.5,28.0,2.0,2.0,0.0,0.0,1.0,10.0,16.0,8.0,12.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,33.0
Gui Santos,GS,Fantasy Score,41.5,15.0,8.0,5.0,0.0,2.0,0.0,6.0,13.0,1.0,7.0,1.0,2.0,4.0,5.0,6.0,3.0,5.0,1.0,33.0
Javon Small,MEM,Fantasy Score,41.2,19.0,7.0,3.0,0.0,2.0,1.0,7.0,14.0,2.0,4.0,2.0,3.0,5.0,5.0,10.0,3.0,4.0,0.0,32.0
Jaylin Williams,OKC,Pts+Rebs,41.0,29.0,12.0,3.0,2.0,0.0,1.0,10.0,17.0,7.0,11.0,7.0,2.0,4.0,3.0,6.0,0.0,12.0,4.0,40.0
OG Anunoby,NY,Fantasy Score,40.5,22.0,6.0,2.0,0.0,2.0,4.0,8.0,15.0,3.0,8.0,3.0,3.0,4.0,5.0,7.0,2.0,4.0,2.0,37.0
Jalen Brunson,NY,Pts+Rebs+Asts,40.0,28.0,4.0,8.0,0.0,1.0,3.0,12.0,23.0,2.0,7.0,2.0,2.0,3.0,10.0,16.0,0.0,4.0,1.0,38.0
Jalen Brunson,NY,PRA,40.0,28.0,4.0,8.0,0.0,1.0,3.0,12.0,23.0,2.0,7.0,2.0,2.0,3.0,10.0,16.0,0.0,4.0,1.0,38.0
Kyle Filipowski,UTAH,Pts+Rebs+Asts,39.0,19.0,15.0,5.0,1.0,2.0,4.0,6.0,12.0,1.0,3.0,1.0,6.0,6.0,5.0,9.0,4.0,11.0,1.0,25.0
Brandin Podziemski,GS,Fantasy Score,39.0,14.0,8.0,4.0,0.0,2.0,3.0,5.0,10.0,4.0,6.0,4.0,0.0,4.0,1.0,4.0,0.0,8.0,2.0,35.0
Kyle Filipowski,UTAH,PRA,39.0,19.0,15.0,5.0,1.0,2.0,4.0,6.0,12.0,1.0,3.0,1.0,6.0,6.0,5.0,9.0,4.0,11.0,1.0,25.0
Day'Ron Sharpe,BKN,Fantasy Score,38.2,19.0,5.0,2.0,1.0,2.0,2.0,8.0,11.0,1.0,1.0,1.0,2.0,2.0,7.0,10.0,3.0,2.0,3.0,18.0
Donovan Mitchell,CLE,Fantasy Score,38.2,17.0,3.0,6.0,0.0,2.0,0.0,4.0,11.0,0.0,2.0,0.0,9.0,9.0,4.0,9.0,1.0,2.0,1.0,31.0
Ajay Mitchell,OKC,Fantasy Score,38.0,24.0,2.0,3.0,0.0,1.0,0.0,9.0,16.0,1.0,4.0,1.0,5.0,5.0,8.0,12.0,1.0,1.0,1.0,29.0
Danny Wolf,BKN,Fantasy Score,37.2,14.0,9.0,2.0,1.0,1.0,1.0,5.0,12.0,2.0,6.0,2.0,2.0,3.0,3.0,6.0,2.0,7.0,3.0,28.0
Kawhi Leonard,LAC,Pts+Asts,37.0,29.0,7.0,8.0,0.0,2.0,1.0,10.0,19.0,2.0,5.0,2.0,7.0,7.0,8.0,14.0,1.0,6.0,3.0,35.0
Evan Mobley,CLE,Fantasy Score,36.5,15.0,8.0,1.0,3.0,0.0,1.0,7.0,12.0,0.0,2.0,0.0,1.0,1.0,7.0,10.0,1.0,7.0,2.0,28.0
Kawhi Leonard,LAC,Pts+Rebs,36.0,29.0,7.0,8.0,0.0,2.0,1.0,10.0,19.0,2.0,5.0,2.0,7.0,7.0,8.0,14.0,1.0,6.0,3.0,35.0
