projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at
10381178,218574,Pierre-Luc Dubois,WSH,F,Shots On Goal,3.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381188,233970,Ryan Leonard,WSH,F,Shots On Goal,3.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10385600,61871,Connor McMichael,WSH,F,Shots On Goal,3.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377361,218565,Alex Ovechkin,WSH,F,Shots On Goal,2.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377377,218275,Charlie McAvoy,BOS,D,Shots On Goal,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377388,218274,David Pastrnak,BOS,F,Shots On Goal,2.5,goblin,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377395,218323,Elias Lindholm,BOS,F,Shots On Goal,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377405,219643,Jakob Chychrun,WSH,D,Shots On Goal,2.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377423,218567,Tom Wilson,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377431,267677,Viktor Arvidsson,BOS,F,Shots On Goal,2.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378672,184753,Aliaksei Protas,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378699,64204,Martin Fehervary,WSH,D,Blocked Shots,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378707,171836,Morgan Geekie,BOS,F,Shots On Goal,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378721,233970,Ryan Leonard,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10380678,218274,David Pastrnak,BOS,F,Points,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381119,231031,Anthony Beauvillier,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
