player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
Jalen Johnson,F,ATL,,22.5,Points,pts,Standard,1630552,10493166,10493166,87857,136418,2026-03-16T19:00:00.000-04:00,,,22.5,0,https://static.prizepicks.com/images/manual/JalenJohnson_headshot.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4701230.0,27.0,35.0,20.0,8.0,5.0,26.0,16.0,32.0,5.0,5.0,19.0,17.9,17.9,2.0,3.0,0.0,0.4,0.4,0.6,0.4,0.6,OK,29.4,OK,5.0,2.0,3.0,0.0,0.4,0.6
Paolo Banchero,F,ORL,WAS,49.5,Fantasy Score,fantasy,Demon,1631094,10528570,10528570,188001,135136,2026-03-12T19:00:00.000-04:00,,,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432573.0,50.0,51.25,56.75,52.0,56.25,49.25,51.0,67.0,40.25,71.0,53.25,54.475,54.475,5.0,0.0,0.0,1.0,1.0,0.0,0.8,0.2,OK,33.8,OK,5.0,5.0,0.0,0.0,1.0,0.0
Desmond Bane,G,ORL,WAS,43.0,Fantasy Score,fantasy,Demon,1630217,10528567,10528567,271602,135136,2026-03-12T19:00:00.000-04:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4066320.0,59.0,49.25,45.25,33.0,39.5,38.5,54.5,39.25,53.75,55.5,45.2,46.75,46.75,3.0,2.0,0.0,0.6,0.6,0.4,0.6,0.4,OK,34.0,OK,5.0,3.0,2.0,0.0,0.6,0.4
Jalen Suggs,G,ORL,WAS,41.0,Fantasy Score,fantasy,Demon,1630591,10528569,10528569,53830,135136,2026-03-12T19:00:00.000-04:00,,,34.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432165.0,30.5,34.25,36.5,41.5,38.75,31.25,8.25,19.25,58.25,,36.3,33.167,33.167,1.0,4.0,0.0,0.2,0.2,0.8,0.222,0.778,OK,28.4,OK,5.0,1.0,4.0,0.0,0.2,0.8
Paolo Banchero,F,ORL,WAS,36.5,Fantasy Score,fantasy,Goblin,1631094,10528582,10528582,188001,135136,2026-03-12T19:00:00.000-04:00,,,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432573.0,50.0,51.25,56.75,52.0,56.25,49.25,51.0,67.0,40.25,71.0,53.25,54.475,54.475,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,33.8,OK,5.0,5.0,0.0,0.0,1.0,0.0
Wendell Carter,C-F,ORL,WAS,34.0,Fantasy Score,fantasy,Demon,1628976,10528578,10528578,37711,135136,2026-03-12T19:00:00.000-04:00,,,28.0,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,
Alex Sarr,C,WAS,ORL,33.5,Fantasy Score,fantasy,Demon,1642259,10528588,10528588,217304,135136,2026-03-12T19:00:00.000-04:00,,,27.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5160992.0,47.0,15.5,,,,,,,,,31.25,31.25,31.25,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,OK,19.0,OK,2.0,1.0,1.0,0.0,0.5,0.5
Desmond Bane,G,ORL,WAS,31.0,Fantasy Score,fantasy,Goblin,1630217,10528574,10528574,271602,135136,2026-03-12T19:00:00.000-04:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4066320.0,59.0,49.25,45.25,33.0,39.5,38.5,54.5,39.25,53.75,55.5,45.2,46.75,46.75,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,34.0,OK,5.0,5.0,0.0,0.0,1.0,0.0
Trae Young,G,WAS,ORL,30.5,Fantasy Score,fantasy,Demon,1629027,10528599,10528599,304617,135136,2026-03-12T19:00:00.000-04:00,,,24.5,1,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4277905.0,38.0,31.0,,,,,,,,,34.5,34.5,34.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,18.5,OK,2.0,2.0,0.0,0.0,1.0,0.0
Tristan Silva,F,ORL,WAS,29.0,Fantasy Score,fantasy,Demon,,10528572,10528572,218628,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp,,,,,UNRESOLVED_SINGLE,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,
