player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg
Tre Johnson,G,WAS,MIA,11.5,Pts+Rebs,pr,Goblin,1642848,10456191,10456191,271616,134730,2026-03-10T19:30:00.000-04:00,,,15.5,2,https://static.prizepicks.com/images/manual/Tre Johnson.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bam Adebayo,C-F,MIA,WAS,11.5,Two Pointers Attempted,twopointersattempted,Standard,1628389,10456324,10456324,188000,134730,2026-03-10T19:30:00.000-04:00,,,11.5,0,https://static.prizepicks.com/images/players/NBA/Bam_Adebayo_NBA_player_k5AKrt98DD5x7VKXQ6GPiPz1.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bub Carrington,G,WAS,MIA,11.5,Pts+Rebs+Asts,pra,Goblin,1642267,10456325,10456325,218039,134730,2026-03-10T19:30:00.000-04:00,,,14.5,2,https://static.prizepicks.com/images/players/NBA/Carlton_Carrington_NBA_player_kBioHNfUJGiY7YtmiwlYdu97.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Davion Mitchell,G,MIA,WAS,11.5,Pts+Asts,pa,Goblin,1630558,10456329,10456329,227883,134730,2026-03-10T19:30:00.000-04:00,,,14.5,2,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Myron Gardner,F,MIA,WAS,11.5,Pts+Rebs,pr,Goblin,1642066,10456331,10456331,297775,134730,2026-03-10T19:30:00.000-04:00,,,13.5,2,https://static.prizepicks.com/images/players/NBA/Myron_Gardner_NBA_player_kmMZwOQyBH9b7ETq2HWU7ITN.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Pelle Larsson,G,MIA,WAS,11.5,Pts+Asts,pa,Goblin,1641796,10456332,10456332,233790,134730,2026-03-10T19:30:00.000-04:00,,,16.5,1,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Pelle Larsson,G,MIA,WAS,11.5,Pts+Rebs,pr,Goblin,1641796,10456333,10456333,233790,134730,2026-03-10T19:30:00.000-04:00,,,15.5,2,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Will Riley,F,WAS,MIA,11.5,Pts+Asts,pa,Goblin,1642860,10456337,10456337,284883,134730,2026-03-10T19:30:00.000-04:00,,,15.5,2,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Alex Sarr,C,WAS,MIA,11.5,Rebs+Asts,ra,Demon,1642259,10458559,10458559,217304,134730,2026-03-10T19:30:00.000-04:00,,,7.0,3,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Jaime Jaquez,G,MIA,WAS,11.5,Rebs+Asts,ra,Demon,1631170,10461077,10461077,177386,134730,2026-03-10T19:30:00.000-04:00,,,10.5,1,https://static.prizepicks.com/images/players/NBA/Jaime_Jaquez_NBA_player_93WtzdYg1jI8Uxy2vKBQ4a6X.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Pelle Larsson,G,MIA,WAS,11.5,Rebs+Asts,ra,Demon,1641796,10461270,10461270,233790,134730,2026-03-10T19:30:00.000-04:00,,,8.0,3,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Alex Sarr,C,WAS,MIA,10.5,Points,pts,Standard,1642259,10454468,10454468,217304,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bilal Coulibaly,G,WAS,MIA,10.5,Points,pts,Standard,1641731,10454488,10454488,175142,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bub Carrington,G,WAS,MIA,10.5,Pts+Rebs,pr,Standard,1642267,10454509,10454509,218039,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/players/NBA/Carlton_Carrington_NBA_player_kBioHNfUJGiY7YtmiwlYdu97.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bam Adebayo,C-F,MIA,WAS,10.5,Rebounds,reb,Standard,1628389,10455167,10455167,188000,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/players/NBA/Bam_Adebayo_NBA_player_k5AKrt98DD5x7VKXQ6GPiPz1.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Trae Young,G,WAS,MIA,10.5,FG Attempted,fga,Standard,1629027,10455222,10455222,304617,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Davion Mitchell,G,MIA,WAS,10.5,Points,pts,Demon,1630558,10455362,10455362,227883,134730,2026-03-10T19:30:00.000-04:00,,,8.5,2,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Davion Mitchell,G,MIA,WAS,10.5,Rebs+Asts,ra,Demon,1630558,10455371,10455371,227883,134730,2026-03-10T19:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Trae Young,G,WAS,MIA,10.5,Rebs+Asts,ra,Demon,1629027,10455429,10455429,304617,134730,2026-03-10T19:30:00.000-04:00,,,8.5,2,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Tre Johnson,G,WAS,MIA,10.5,Points,pts,Goblin,1642848,10455434,10455434,271616,134730,2026-03-10T19:30:00.000-04:00,,,12.5,2,https://static.prizepicks.com/images/manual/Tre Johnson.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Tyler Herro,G,MIA,WAS,10.5,Rebs+Asts,ra,Demon,1629639,10455453,10455453,10776,134730,2026-03-10T19:30:00.000-04:00,,,9.0,1,https://static.prizepicks.com/images/players/NBA/Tyler_Herro_NBA_player_Bz7r2msPv6LxaUBsQ7Zgi8st.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Tyler Herro,G,MIA,WAS,10.5,Two Pointers Attempted,twopointersattempted,Standard,1629639,10456336,10456336,10776,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/players/NBA/Tyler_Herro_NBA_player_Bz7r2msPv6LxaUBsQ7Zgi8st.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Jaime Jaquez,G,MIA,WAS,10.5,Rebs+Asts,ra,Standard,1631170,10459781,10459781,177386,134730,2026-03-10T19:30:00.000-04:00,,,10.5,0,https://static.prizepicks.com/images/players/NBA/Jaime_Jaquez_NBA_player_93WtzdYg1jI8Uxy2vKBQ4a6X.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Pelle Larsson,G,MIA,WAS,10.5,Points,pts,Goblin,1641796,10461266,10461266,233790,134730,2026-03-10T19:30:00.000-04:00,,,11.5,1,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Pelle Larsson,G,MIA,WAS,10.5,Rebs+Asts,ra,Demon,1641796,10461269,10461269,233790,134730,2026-03-10T19:30:00.000-04:00,,,8.0,2,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Alex Sarr,C,WAS,MIA,10.5,Pts+Asts,pa,Goblin,1642259,10461371,10461371,217304,134730,2026-03-10T19:30:00.000-04:00,,,11.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Kel'el Ware,C,MIA,WAS,10.5,Points,pts,Goblin,1642276,10461381,10461381,224242,134730,2026-03-10T19:30:00.000-04:00,,,13.5,2,https://static.prizepicks.com/images/players/NBA/Kel'el_Ware_NBA_player_9YpSpBLNNTRwUbu7499FSbxI.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Will Riley,F,WAS,MIA,10.5,Points,pts,Goblin,1642860,10461393,10461393,284883,134730,2026-03-10T19:30:00.000-04:00,,,13.5,2,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Kel'el Ware,C,MIA,WAS,10.0,Rebounds,reb,Standard,1642276,10459323,10459323,224242,134730,2026-03-10T19:30:00.000-04:00,,,10.0,0,https://static.prizepicks.com/images/players/NBA/Kel'el_Ware_NBA_player_9YpSpBLNNTRwUbu7499FSbxI.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Alex Sarr,C,WAS,MIA,9.5,Points,pts,Goblin,1642259,10454469,10454469,217304,134730,2026-03-10T19:30:00.000-04:00,,,10.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Alex Sarr,C,WAS,MIA,9.5,Rebounds,reb,Demon,1642259,10454476,10454476,217304,134730,2026-03-10T19:30:00.000-04:00,,,5.5,3,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bilal Coulibaly,G,WAS,MIA,9.5,Points,pts,Goblin,1641731,10454489,10454489,175142,134730,2026-03-10T19:30:00.000-04:00,,,10.5,1,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bub Carrington,G,WAS,MIA,9.5,Points,pts,Demon,1642267,10454507,10454507,218039,134730,2026-03-10T19:30:00.000-04:00,,,7.5,1,https://static.prizepicks.com/images/players/NBA/Carlton_Carrington_NBA_player_kBioHNfUJGiY7YtmiwlYdu97.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Trae Young,G,WAS,MIA,9.5,Assists,ast,Demon,1629027,10454521,10454521,304617,134730,2026-03-10T19:30:00.000-04:00,,,6.0,3,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Trae Young,G,WAS,MIA,9.5,Points,pts,Goblin,1629027,10454523,10454523,304617,134730,2026-03-10T19:30:00.000-04:00,,,14.5,3,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Tre Johnson,G,WAS,MIA,9.5,Points,pts,Goblin,1642848,10454539,10454539,271616,134730,2026-03-10T19:30:00.000-04:00,,,12.5,3,https://static.prizepicks.com/images/manual/Tre Johnson.png,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Will Riley,F,WAS,MIA,9.5,Points,pts,Goblin,1642860,10454553,10454553,284883,134730,2026-03-10T19:30:00.000-04:00,,,13.5,3,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Alex Sarr,C,WAS,MIA,9.5,Pts+Asts,pa,Goblin,1642259,10454864,10454864,217304,134730,2026-03-10T19:30:00.000-04:00,,,11.5,2,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bilal Coulibaly,G,WAS,MIA,9.5,Pts+Asts,pa,Goblin,1641731,10454877,10454877,175142,134730,2026-03-10T19:30:00.000-04:00,,,13.5,2,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bub Carrington,G,WAS,MIA,9.5,Pts+Asts,pa,Goblin,1642267,10454892,10454892,218039,134730,2026-03-10T19:30:00.000-04:00,,,11.5,1,https://static.prizepicks.com/images/players/NBA/Carlton_Carrington_NBA_player_kBioHNfUJGiY7YtmiwlYdu97.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
Bub Carrington,G,WAS,MIA,9.5,Pts+Rebs,pr,Goblin,1642267,10454895,10454895,218039,134730,2026-03-10T19:30:00.000-04:00,,,10.5,1,https://static.prizepicks.com/images/players/NBA/Carlton_Carrington_NBA_player_kBioHNfUJGiY7YtmiwlYdu97.webp,,,,,OK,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
