player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
JT Pettigrew,VAL,Fantasy Score,65.8,24.0,13.0,9.0,0.0,1.0,2.0,6.0,15.0,1.0,4.0,1.0,11.0,14.0,5.0,11.0,2.0,11.0,4.0,48.0
Leroy Blyden Jr.,TOL,Fantasy Score,61.8,20.0,7.0,13.0,0.0,1.0,1.0,7.0,11.0,3.0,5.0,3.0,3.0,4.0,4.0,6.0,0.0,7.0,2.0,33.0
Eian Elmer,M-OH,Fantasy Score,61.5,32.0,12.0,0.0,1.0,1.0,4.0,11.0,16.0,4.0,6.0,4.0,6.0,9.0,7.0,10.0,6.0,6.0,3.0,42.0
Brandon Benjamin,FAIR,Fantasy Score,60.8,26.0,15.0,2.0,2.0,0.0,4.0,10.0,16.0,1.0,1.0,1.0,5.0,6.0,9.0,15.0,6.0,9.0,0.0,37.0
Nasir Mann,QUC,Fantasy Score,56.0,17.0,12.0,4.0,0.0,4.0,3.0,6.0,12.0,2.0,2.0,2.0,3.0,4.0,4.0,10.0,2.0,10.0,1.0,35.0
Tyren Moore,GASO,Fantasy Score,54.8,23.0,5.0,9.0,0.0,3.0,3.0,7.0,18.0,6.0,15.0,6.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,33.0
Jackson Paveletzke,OHIO,Fantasy Score,54.0,37.0,2.0,6.0,0.0,0.0,1.0,12.0,25.0,3.0,6.0,3.0,10.0,12.0,9.0,19.0,0.0,2.0,0.0,45.0
Javan Simmons,OHIO,Fantasy Score,53.8,30.0,9.0,2.0,1.0,1.0,0.0,11.0,14.0,2.0,2.0,2.0,6.0,6.0,9.0,12.0,4.0,5.0,5.0,35.0
Greyson Uelmen,UND,Fantasy Score,53.2,41.0,1.0,1.0,0.0,3.0,5.0,13.0,19.0,3.0,5.0,3.0,12.0,18.0,10.0,14.0,0.0,1.0,2.0,32.0
DJ Hall,TXST,Fantasy Score,53.2,25.0,11.0,2.0,0.0,1.0,2.0,10.0,18.0,0.0,0.0,0.0,5.0,6.0,10.0,18.0,5.0,6.0,4.0,35.0
Owen Larson,DRKE,Fantasy Score,53.0,25.0,8.0,8.0,0.0,0.0,1.0,8.0,11.0,4.0,7.0,4.0,5.0,5.0,4.0,4.0,1.0,7.0,0.0,36.0
Rashaud Marshall,APSU,Fantasy Score,52.2,21.0,11.0,2.0,0.0,2.0,0.0,7.0,12.0,0.0,0.0,0.0,7.0,8.0,7.0,12.0,4.0,7.0,3.0,36.0
Terry Anderson,HPU,Fantasy Score,51.5,13.0,14.0,6.0,1.0,1.0,5.0,5.0,9.0,0.0,1.0,0.0,3.0,5.0,5.0,8.0,6.0,8.0,2.0,35.0
Chaze Harris,USA,Fantasy Score,51.0,17.0,6.0,10.0,0.0,2.0,6.0,5.0,17.0,0.0,0.0,0.0,7.0,12.0,5.0,17.0,4.0,2.0,2.0,36.0
Chandler Pigge,HARV,Fantasy Score,50.8,26.0,7.0,3.0,1.0,2.0,1.0,10.0,12.0,3.0,5.0,3.0,3.0,4.0,7.0,7.0,0.0,7.0,1.0,37.0
Sola Adebisi,CIT,Fantasy Score,50.8,26.0,7.0,2.0,3.0,1.0,2.0,9.0,15.0,3.0,5.0,3.0,5.0,6.0,6.0,10.0,3.0,4.0,1.0,39.0
Vince Buzelis,SDAK,Fantasy Score,50.5,16.0,12.0,3.0,1.0,1.0,1.0,5.0,12.0,2.0,5.0,2.0,4.0,5.0,3.0,7.0,5.0,7.0,5.0,37.0
Jalen Quinn,DRKE,Fantasy Score,50.2,31.0,3.0,4.0,1.0,2.0,4.0,8.0,19.0,2.0,8.0,2.0,13.0,16.0,6.0,11.0,1.0,2.0,3.0,39.0
Davion Hill,BALL,Fantasy Score,50.0,25.0,6.0,3.0,1.0,3.0,2.0,10.0,15.0,3.0,4.0,3.0,2.0,3.0,7.0,11.0,0.0,6.0,2.0,35.0
Sam Towns,BGSU,Fantasy Score,49.5,15.0,18.0,0.0,0.0,1.0,1.0,3.0,13.0,0.0,2.0,0.0,9.0,12.0,3.0,11.0,3.0,15.0,3.0,34.0
Declan Wucherpfennig,FAIR,Fantasy Score,49.0,13.0,14.0,4.0,0.0,1.0,2.0,5.0,10.0,2.0,3.0,2.0,1.0,3.0,3.0,7.0,8.0,6.0,1.0,36.0
Alden Applewhite,GASO,Fantasy Score,48.8,34.0,3.0,1.0,0.0,1.0,2.0,11.0,12.0,8.0,9.0,8.0,4.0,5.0,3.0,3.0,0.0,3.0,4.0,38.0
