Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.34,Anthony Johnson,ASU,ISU,Points,Goblin,8.5,OVER,5.1128,13.6128,0.95,14.2,13.364,5,0,,03/07 02:00PM,pts,
CBB,A,1.33,Dillon Mitchell,SJU,HALL,Points,Standard,8,UNDER,-3.2204,4.7796,0.889,3.2,7.348,0,4,Elite,03/06 09:00PM,pts,
CBB,A,1.31,Rihards Vavers,WSU,,Points,Goblin,10.5,OVER,3.93,14.43,1,14.4,13.2,5,0,,03/06 09:00PM,pts,
CBB,A,1.28,Trent Pierce,MIZZ,ARK,Points,Goblin,8.5,OVER,3.6394,12.1394,0.7,13,10.647,4,1,Weak,03/07 12:00PM,pts,
CBB,A,1.28,Jordan Burks,UCF,WVU,Points,Goblin,7.5,OVER,7.946199999999999,15.4462,1,16.6,13.381,5,0,Elite,03/06 08:00PM,pts,
CBB,A,1.26,Mark Mitchell,MIZZ,ARK,Points,Goblin,14.5,OVER,3.259,17.759,0.75,18.6,17.095,4,1,Weak,03/07 12:00PM,pts,
CBB,A,1.26,T.O. Barrett,MIZZ,ARK,Points,Goblin,8.5,OVER,3.77,12.27,0.6499999999999999,12.8,10,3,2,Weak,03/07 12:00PM,pts,
CBB,A,1.26,T.O. Barrett,MIZZ,ARK,Pts+Rebs+Asts,Goblin,14.5,OVER,5.058,19.558,0.8,20.4,16.19,4,1,Weak,03/07 12:00PM,pra,
CBB,A,1.24,Anthony Johnson,ASU,ISU,Pts+Rebs+Asts,Goblin,13.5,OVER,5.638200000000001,19.1382,0.95,19.8,18.591,5,0,,03/07 02:00PM,pra,
CBB,A,1.24,Mark Mitchell,MIZZ,ARK,Points,Goblin,15.5,OVER,2.259,17.759,0.75,18.6,17.095,4,1,Weak,03/07 12:00PM,pts,
CBB,A,1.23,Nyk Lewis,VCU,DAY,Rebounds,Goblin,2.5,OVER,2.6538,5.1538,0.9,5.4,4.619,5,0,Above Avg,03/06 07:00PM,reb,
CBB,A,1.22,Jordan Burks,UCF,WVU,Points,Goblin,8.5,OVER,6.946199999999999,15.4462,0.95,16.6,13.381,5,0,Elite,03/06 08:00PM,pts,
CBB,A,1.22,Trevon Brazile,ARK,MIZZ,Points,Goblin,9.5,OVER,3.8284,13.3284,0.8,13.6,12.542,4,1,,03/07 12:00PM,pts,
CBB,A,1.22,Jaylen Carey,TENN,VAN,Rebounds,Goblin,4.5,OVER,2.4564,6.9564,0.95,7.6,6.182,5,0,Avg,03/07 02:00PM,reb,
CBB,A,1.2,Rihards Vavers,WSU,,Pts+Rebs+Asts,Goblin,16.5,OVER,3.710000000000001,20.21,0.95,20.4,18.1,5,0,,03/06 09:00PM,pra,
CBB,A,1.2,Dillon Mitchell,SJU,HALL,Pts+Asts,Standard,11.5,UNDER,-2.841799999999999,8.6582,0.75,7.4,10.391,1,4,Elite,03/06 09:00PM,pa,
CBB,A,1.2,Ja'Kobi Gillespie,TENN,VAN,Steals,Goblin,1.5,OVER,2.1636,3.6636,0.85,4.6,2.318,5,0,Avg,03/07 02:00PM,stl,
CBB,A,1.19,Meleek Thomas,ARK,MIZZ,Points,Goblin,10.5,OVER,4.0916,14.5916,0.75,14.8,14.208,4,1,,03/07 12:00PM,pts,
CBB,A,1.19,Tyler Nickel,VAN,TENN,3-PT Made,Standard,2.5,UNDER,-2.5,0,1,0,0,0,5,Elite,03/07 02:00PM,3pm,
CBB,A,1.18,Jordan Burks,UCF,WVU,Points,Goblin,9.5,OVER,5.946199999999999,15.4462,0.95,16.6,13.381,5,0,Elite,03/06 08:00PM,pts,
CBB,A,1.17,Dillon Mitchell,SJU,HALL,Pts+Rebs+Asts,Standard,19,UNDER,-3.843000000000002,15.157,0.7335,13.2,17.435,1,4,Elite,03/06 09:00PM,pra,
CBB,A,1.17,AJ Staton-McCray,HALL,SJU,Fantasy Score,Goblin,15,OVER,8.373999999999999,23.374,0.8,24.3,21.455,4,1,Above Avg,03/06 09:05PM,fantasy score,
CBB,A,1.17,Anthony Johnson,ASU,ISU,Pts+Rebs,Standard,13.5,OVER,3.616400000000002,17.1164,0.95,17.6,16.682,5,0,,03/07 02:00PM,pr,
CBB,A,1.16,Meleek Thomas,ARK,MIZZ,Points,Goblin,11.5,OVER,3.0916,14.5916,0.75,14.8,14.208,4,1,,03/07 12:00PM,pts,
CBB,A,1.16,Brenen Lorient,WVU,UCF,Fantasy Score,Goblin,20,OVER,3.9496,23.9496,0.6499999999999999,24.16,23.033,3,2,Weak,03/06 08:05PM,fantasy score,
CBB,A,1.16,Billy Richmond,ARK,MIZZ,Points,Goblin,13.5,OVER,3.328399999999998,16.8284,0.75,18.8,11.792,4,1,,03/07 12:00PM,pts,
CBB,A,1.15,AJ Staton-McCray,HALL,SJU,Points,Goblin,9.5,OVER,3.77,13.27,0.8,14.2,11.5,4,1,Above Avg,03/06 09:00PM,pts,
CBB,A,1.15,Felix Okpara,TENN,VAN,Points,Standard,7.5,OVER,3.670000000000002,11.17,0.75,13.8,7.7,5,0,Avg,03/07 02:00PM,pts,
CBB,A,1.14,Solo Ball,CONN,MARQ,Points,Goblin,10.5,OVER,2.411,12.911,0.6,12.4,13.905,3,2,Weak,03/07 12:30PM,pts,
CBB,A,1.14,Miles Byrd,SDSU,UNLV,Rebounds,Goblin,3.5,OVER,1.986599999999999,5.486599999999999,0.7,6,4.783,4,1,Weak,03/06 10:00PM,reb,
CBB,A,1.14,Trevon Brazile,ARK,MIZZ,Points,Goblin,10.5,OVER,2.8284,13.3284,0.8,13.6,12.542,4,1,,03/07 12:00PM,pts,
CBB,A,1.14,Darius Acuff,ARK,MIZZ,Points,Goblin,20.5,OVER,5.6266,26.1266,0.7,27.2,23.333,3,2,,03/07 12:00PM,pts,
CBB,A,1.13,Jamichael Stillwell,UCF,WVU,Fantasy Score,Goblin,19,OVER,6.543400000000002,25.5434,1,24.56,26.042,4,0,Elite,03/06 08:05PM,fantasy score,
CBB,A,1.12,Santiago Trouet,ASU,ISU,Pts+Rebs+Asts,Goblin,12.5,OVER,3.640000000000001,16.14,0.75,16.8,14.85,4,1,,03/07 02:00PM,pra,
CBB,A,1.12,Jordan Burks,UCF,WVU,Pts+Rebs,Goblin,14.5,OVER,6.471399999999999,20.9714,0.95,22.8,17.857,5,0,Elite,03/06 08:00PM,pr,
CBB,A,1.12,T.O. Barrett,MIZZ,ARK,Pts+Asts,Standard,13.5,OVER,2.777999999999999,16.278,0.6499999999999999,17.2,13.19,3,2,Weak,03/07 12:00PM,pa,
CBB,A,1.12,Themus Fulks,UCF,WVU,Points,Goblin,9.5,OVER,7.459999999999997,16.96,0.75,18.4,16,4,1,Elite,03/06 08:00PM,pts,
