nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_proj,minutes_bucket,actual_minutes,OVERALL_DEF_RANK,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight,min_last10_avg,min_last5_avg,min_season_avg_s4
1629614,Andrew Nembhard,IND,TOR,24.5,,points,Demon,OVER,A,7.92,3+,33.5,32-35.99,,5.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G-F,Points,32.15,1,4,0,0.2,5,Elite,7.92,7.92,1.0,33.5,33.0,32.14634146341464
1627742,Brandon Ingram,TOR,IND,17.5,,points,Goblin,OVER,A,7.91,3+,35.0,32-35.99,,21.0,21-30 Weak,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F,Points,34.08,5,0,0,1.0,21,Bad,7.91,7.91,1.0,35.0,34.8,34.07843137254902
1642267,Bub Carrington,WAS,MIA,19.5,11.0,points,Demon,OVER,A,7.86,3+,28.1,28-31.99,22.1,10.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,MISS,,-1,G,Points,28.12,0,5,0,0.0,10,Good,7.86,7.86,1.0,28.1,23.4,28.11764705882353
1628381,John Collins,LAC,MIN,24.5,,points,Demon,OVER,A,7.76,3+,28.4,28-31.99,,4.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F-C,Points,27.67,0,5,0,0.0,4,Elite,7.76,7.76,1.0,28.4,30.4,27.666666666666668
1630245,Ayo Dosunmu,MIN,LAC,15.5,,pra,Goblin,OVER,A,11.92,3+,28.0,28-31.99,,23.0,21-30 Weak,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,26.44,5,0,0,1.0,23,Bad,11.92,7.75,0.65,28.0,30.2,26.444444444444443
202695,Kawhi Leonard,LAC,MIN,34.5,,points,Demon,OVER,A,7.71,3+,29.5,28-31.99,,4.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F,Points,32.82,0,5,0,0.0,4,Elite,7.71,7.71,1.0,29.5,31.0,32.81578947368421
1630183,Jaden McDaniels,MIN,LAC,9.5,,points,Goblin,OVER,A,7.63,3+,32.3,32-35.99,,23.0,21-30 Weak,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F,Points,32.16,4,1,0,0.8,23,Bad,7.63,7.63,1.0,32.3,32.8,32.15686274509804
1630162,Anthony Edwards,MIN,LAC,24.5,,points,Goblin,OVER,A,7.6,3+,37.5,36+,,23.0,21-30 Weak,Goblin | 36+,OVER | 36+,36+ | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,35.44,5,0,0,1.0,23,Bad,7.6,7.6,1.0,37.5,37.8,35.44186046511628
1629628,RJ Barrett,TOR,IND,24.5,,points,Demon,OVER,A,7.55,3+,27.7,24-27.99,,21.0,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F-G,Points,29.34,0,5,0,0.0,21,Bad,7.55,7.55,1.0,27.7,26.4,29.344827586206897
1630245,Ayo Dosunmu,MIN,LAC,10.5,,points,Standard,OVER,A,7.5,3+,28.0,28-31.99,,23.0,21-30 Weak,Standard | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,26.44,4,1,0,0.8,23,Bad,7.5,7.5,1.0,28.0,30.2,26.444444444444443
1641731,Bilal Coulibaly,WAS,MIA,16.5,0.0,points,Demon,OVER,A,7.45,3+,25.7,24-27.99,,10.0,1-10 Strong,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,,,MISS,,-1,G,Points,26.68,0,5,0,0.0,10,Good,7.45,7.45,1.0,25.7,26.6,26.677419354838708
1627759,Jaylen Brown,BOS,NYK,35.5,,points,Demon,OVER,A,7.43,3+,35.0,32-35.99,,6.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G-F,Points,34.32,0,5,0,0.0,6,Elite,7.43,7.43,1.0,35.0,32.8,34.319148936170215
1630162,Anthony Edwards,MIN,LAC,39.5,,points,Demon,OVER,A,7.4,3+,37.5,36+,,23.0,21-30 Weak,Demon | 36+,OVER | 36+,36+ | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,35.44,0,5,0,0.0,23,Bad,7.4,7.4,1.0,37.5,37.8,35.44186046511628
1628401,Derrick White,BOS,NYK,23.5,,points,Demon,OVER,A,7.28,3+,35.3,32-35.99,,6.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Points,34.32,1,4,0,0.2,6,Elite,7.28,7.28,1.0,35.3,36.2,34.32
1642267,Bub Carrington,WAS,MIA,29.5,17.0,pra,Demon,OVER,A,11.14,3+,28.1,28-31.99,22.1,10.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,MISS,,-1,G,Pts+Rebs+Asts,28.12,0,5,0,0.0,10,Good,11.14,7.24,0.65,28.1,23.4,28.11764705882353
1627739,Kris Dunn,LAC,MIN,14.5,,points,Demon,OVER,A,7.23,3+,27.5,24-27.99,,4.0,1-10 Strong,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Points,27.25,1,4,0,0.2,4,Elite,7.23,7.23,1.0,27.5,27.2,27.254901960784316
1630551,Justin Champagnie,WAS,MIA,17.5,21.0,points,Demon,OVER,A,7.18,3+,22.7,<24,22.1,10.0,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,,,HIT,,1,G-F,Points,19.45,1,4,0,0.2,10,Good,7.18,7.18,1.0,22.7,21.4,19.4468085106383
1630245,Ayo Dosunmu,MIN,LAC,16.5,,pra,Standard,OVER,A,10.92,3+,28.0,28-31.99,,23.0,21-30 Weak,Standard | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,26.44,5,0,0,1.0,23,Bad,10.92,7.1,0.65,28.0,30.2,26.444444444444443
1626157,Karl-Anthony Towns,NYK,BOS,23.5,,points,Demon,OVER,A,7.06,3+,28.1,28-31.99,,6.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C-F,Points,31.44,1,4,0,0.2,6,Elite,7.06,7.06,1.0,28.1,30.6,31.4375
1641716,Jarace Walker,IND,TOR,7.5,,points,Goblin,OVER,A,7.03,3+,27.1,24-27.99,,5.0,1-10 Strong,Goblin | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F,Points,23.79,5,0,0,1.0,5,Elite,7.03,7.03,1.0,27.1,26.6,23.78846153846154
1628389,Bam Adebayo,MIA,WAS,26.5,,points,Demon,OVER,A,7.02,3+,32.6,32-35.99,,28.0,21-30 Weak,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,C-F,Points,31.18,0,5,0,0.0,28,Target,7.02,7.02,1.0,32.6,31.4,31.177777777777777
1630193,Immanuel Quickley,TOR,IND,24.5,,points,Demon,OVER,A,6.86,3+,32.6,32-35.99,,21.0,21-30 Weak,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,32.58,0,5,0,0.0,21,Bad,6.86,6.86,1.0,32.6,32.2,32.58
201572,Brook Lopez,LAC,MIN,14.5,,points,Demon,OVER,A,6.85,3+,20.3,<24,,4.0,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Points,17.77,1,4,0,0.2,4,Elite,6.85,6.85,1.0,20.3,23.2,17.772727272727273
1628384,OG Anunoby,NYK,BOS,13.5,,points,Goblin,OVER,A,6.82,3+,34.2,32-35.99,,6.0,1-10 Strong,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F-G,Points,33.05,5,0,0,1.0,6,Elite,6.82,6.82,1.0,34.2,34.8,33.04878048780488
202696,Nikola Vučević,BOS,NYK,9.5,,points,Goblin,OVER,A,6.81,3+,31.2,28-31.99,,6.0,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Points,30.8,5,0,0,1.0,6,Elite,6.81,6.81,1.0,31.2,30.6,30.79591836734694
1630567,Scottie Barnes,TOR,IND,24.5,,points,Demon,OVER,A,6.72,3+,34.4,32-35.99,,21.0,21-30 Weak,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F-G,Points,34.5,0,5,0,0.0,21,Bad,6.72,6.72,1.0,34.4,34.2,34.5
1630162,Anthony Edwards,MIN,LAC,25.5,,points,Goblin,OVER,A,6.6,3+,37.5,36+,,23.0,21-30 Weak,Goblin | 36+,OVER | 36+,36+ | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,35.44,5,0,0,1.0,23,Bad,6.6,6.6,1.0,37.5,37.8,35.44186046511628
1628973,Jalen Brunson,NYK,BOS,43.5,,pra,Demon,OVER,A,9.95,3+,34.8,32-35.99,,6.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,34.6,1,4,0,0.2,6,Elite,9.95,6.47,0.65,34.8,36.0,34.59574468085106
1628978,Donte DiVincenzo,MIN,LAC,19.5,,points,Demon,OVER,A,6.4,3+,29.9,28-31.99,,23.0,21-30 Weak,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,31.4,1,4,0,0.2,23,Bad,6.4,6.4,1.0,29.9,28.0,31.39622641509434
1627783,Pascal Siakam,IND,TOR,17.5,,points,Goblin,OVER,A,6.36,3+,34.4,32-35.99,,5.0,1-10 Strong,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F,Points,33.96,5,0,0,1.0,5,Elite,6.36,6.36,1.0,34.4,34.0,33.95918367346939
1628384,OG Anunoby,NYK,BOS,19.5,,pra,Goblin,OVER,A,9.63,3+,34.2,32-35.99,,6.0,1-10 Strong,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F-G,Pts+Rebs+Asts,33.05,5,0,0,1.0,6,Elite,9.63,6.26,0.65,34.2,34.8,33.04878048780488
1630572,Sandro Mamukelashvili,TOR,IND,7.5,,points,Goblin,OVER,A,6.25,3+,28.3,28-31.99,,21.0,21-30 Weak,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F-C,Points,22.75,5,0,0,1.0,21,Bad,6.25,6.25,1.0,28.3,26.8,22.745098039215687
1630202,Payton Pritchard,BOS,NYK,14.5,,points,Goblin,OVER,A,6.25,3+,33.0,32-35.99,,6.0,1-10 Strong,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Points,32.76,4,1,0,0.8,6,Elite,6.25,6.25,1.0,33.0,32.8,32.76470588235294
1626181,Norman Powell,MIA,WAS,26.5,,points,Demon,OVER,A,6.24,3+,30.5,28-31.99,,28.0,21-30 Weak,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,30.77,0,5,0,0.0,28,Target,6.24,6.24,1.0,30.5,29.8,30.772727272727277
203944,Julius Randle,MIN,LAC,14.5,,points,Goblin,OVER,A,6.2,3+,33.0,32-35.99,,23.0,21-30 Weak,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F-C,Points,33.55,4,1,0,0.8,23,Bad,6.2,6.2,1.0,33.0,34.6,33.54716981132076
1626157,Karl-Anthony Towns,NYK,BOS,8.5,,rebounds,Goblin,OVER,A,6.16,3+,28.1,28-31.99,,6.0,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C-F,Rebounds,31.44,5,0,0,1.0,6,Elite,6.16,6.16,1.0,28.1,30.6,31.4375
1630193,Immanuel Quickley,TOR,IND,11.5,,points,Goblin,OVER,A,6.14,3+,32.6,32-35.99,,21.0,21-30 Weak,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,32.58,4,1,0,0.8,21,Bad,6.14,6.14,1.0,32.6,32.2,32.58
1642347,Jamal Shead,TOR,IND,11.5,,points,Demon,OVER,A,6.14,3+,23.7,<24,,21.0,21-30 Weak,Demon | <24,OVER | <24,<24 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,22.23,0,5,0,0.0,21,Bad,6.14,6.14,1.0,23.7,21.6,22.22641509433962
1642277,Johnny Furphy,IND,TOR,10.5,,points,Demon,OVER,A,6.02,3+,22.1,<24,,5.0,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Points,18.38,1,4,0,0.2,5,Elite,6.02,6.02,1.0,22.1,21.8,18.38235294117647
202696,Nikola Vučević,BOS,NYK,19.5,,pra,Goblin,OVER,A,9.22,3+,31.2,28-31.99,,6.0,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,30.8,4,1,0,0.8,6,Elite,9.22,6.0,0.65,31.2,30.6,30.79591836734694
1628973,Jalen Brunson,NYK,BOS,29.5,,points,Demon,OVER,A,5.98,3+,34.8,32-35.99,,6.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Points,34.6,1,4,0,0.2,6,Elite,5.98,5.98,1.0,34.8,36.0,34.59574468085106
1629674,Neemias Queta,BOS,NYK,4.5,,rebounds,Goblin,OVER,A,5.98,3+,28.0,28-31.99,,6.0,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Rebounds,25.35,5,0,0,1.0,6,Elite,5.98,5.98,1.0,28.0,29.8,25.346938775510203
204456,T.J. McConnell,IND,TOR,14.5,,points,Demon,OVER,A,5.94,3+,16.4,<24,,5.0,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G,Points,17.05,1,4,0,0.2,5,Elite,5.94,5.94,1.0,16.4,16.0,17.05263157894737
1629614,Andrew Nembhard,IND,TOR,22.5,,points,Demon,OVER,A,5.92,3+,33.5,32-35.99,,5.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G-F,Points,32.15,1,4,0,0.2,5,Elite,5.92,5.92,1.0,33.5,33.0,32.14634146341464
1627742,Brandon Ingram,TOR,IND,19.5,,points,Goblin,OVER,A,5.91,3+,35.0,32-35.99,,21.0,21-30 Weak,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F,Points,34.08,4,1,0,0.8,21,Bad,5.91,5.91,1.0,35.0,34.8,34.07843137254902
1630643,Jay Huff,IND,TOR,14.5,,points,Demon,OVER,A,5.9,3+,17.1,<24,,5.0,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Points,19.56,1,4,0,0.2,5,Elite,5.9,5.9,1.0,17.1,22.8,19.557692307692307
