nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,allowed_dir,dir_ok,platform_ok,_opp_def_bucket,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket
1626181,Norman Powell,MIA,BOS,29.5,,points,Demon,OVER,A,9.75,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,30.67,0,5,0,0.0,6,Elite,9.75,9.75,1.0,Demon | NA,OVER | NA,NA | NA
1628401,Derrick White,BOS,MIA,24.5,,points,Demon,OVER,A,9.71,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,34.18,1,4,0,0.2,10,Good,9.71,9.71,1.0,Demon | NA,OVER | NA,NA | NA
1630180,Saddiq Bey,NOP,MIN,19.5,,pra,Goblin,OVER,A,9.65,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,30.41,4,1,0,0.8,4,Elite,9.65,10.13,1.05,Goblin | NA,OVER | NA,NA | NA
1628384,OG Anunoby,NYK,DET,19.5,,pra,Goblin,OVER,A,9.63,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-G,Pts+Rebs+Asts,33.05,5,0,0,1.0,3,Elite,9.63,10.11,1.05,Goblin | NA,OVER | NA,NA | NA
1628381,John Collins,LAC,SAC,24.5,,points,Demon,OVER,A,9.47,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-C,Points,27.53,0,5,0,0.0,26,Target,9.47,9.47,1.0,Demon | NA,OVER | NA,NA | NA
1631157,Ryan Rollins,MIL,IND,29.5,,points,Demon,OVER,A,9.46,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,31.94,0,5,0,0.0,21,Bad,9.46,9.46,1.0,Demon | NA,OVER | NA,NA | NA
1628969,Mikal Bridges,NYK,DET,24.5,,points,Demon,OVER,A,9.43,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,34.67,1,4,0,0.2,3,Elite,9.43,9.43,1.0,Demon | NA,OVER | NA,NA | NA
1630595,Cade Cunningham,DET,NYK,34.5,,points,Demon,OVER,A,9.4,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,35.3,0,5,0,0.0,6,Elite,9.4,9.4,1.0,Demon | NA,OVER | NA,NA | NA
1642907,Cedric Coward,MEM,POR,21.5,,points,Demon,OVER,A,9.33,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,26.72,0,5,0,0.0,25,Target,9.33,9.33,1.0,Demon | NA,OVER | NA,NA | NA
1630162,Anthony Edwards,MIN,NOP,39.5,,points,Demon,OVER,A,9.29,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,35.4,0,5,0,0.0,26,Target,9.29,9.29,1.0,Demon | NA,OVER | NA,NA | NA
1641796,Pelle Larsson,MIA,BOS,14.5,,pra,Goblin,OVER,A,9.15,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.27,5,0,0,1.0,6,Elite,9.15,9.61,1.05,Goblin | NA,OVER | NA,NA | NA
