Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.44,Jordan Pope,TEX,ARK,Points,Goblin,9.5,OVER,5.354799999999999,14.8548,0.95,16.2,13.524,5,0,Weak,03/04 07:00PM,pts,
CBB,A,1.42,Billy Richmond,ARK,TEX,Points,Goblin,9.5,OVER,9.151399999999999,18.6514,0.95,22.2,11.957,5,0,Avg,03/04 07:00PM,pts,
CBB,A,1.39,Nigel James,MARQ,PROV,Rebounds,Goblin,2.5,OVER,2.0328,4.5328,0.95,5,3.414,5,0,Weak,03/04 07:00PM,reb,
CBB,A,1.38,Jordan Pope,TEX,ARK,Points,Goblin,11.5,OVER,3.354799999999999,14.8548,0.95,16.2,13.524,5,0,Weak,03/04 07:00PM,pts,
CBB,A,1.32,Dailyn Swain,TEX,ARK,Points,Goblin,14.5,OVER,5.098000000000003,19.598,0.8,19.8,18.19,4,1,Weak,03/04 07:00PM,pts,
CBB,A,1.31,Chase Ross,MARQ,PROV,Fantasy Score,Goblin,22.5,OVER,4.336999999999996,26.837,0.8,24.58,29.955,4,1,Weak,03/04 07:05PM,fantasy score,
CBB,A,1.31,Nigel James,MARQ,PROV,Fantasy Score,Goblin,32,OVER,5.979199999999999,37.9792,0.8,39.4,31.321,4,1,Weak,03/04 07:05PM,fantasy score,
CBB,A,1.3,Amare Bynum,OSU,PSU,Points,Goblin,6.5,OVER,2.5306,9.0306,0.75,8.6,9.103,4,1,Weak,03/04 07:30PM,pts,
CBB,A,1.3,Solomon Washington,MD,WIS,Fantasy Score,Goblin,23,OVER,9.2378,32.2378,0.9,35.64,27.629,5,0,Avg,03/04 08:05PM,fantasy score,
CBB,A,1.3,Royce Parham,MARQ,PROV,Points,Goblin,12.5,OVER,3.199999999999999,15.7,0.7,16.6,12.25,3,2,Weak,03/04 07:00PM,pts,
CBB,A,1.29,Milos Uzan,HOU,BAY,Points,Goblin,8.5,OVER,3.800000000000001,12.3,0.8,13,11,4,1,Avg,03/04 09:00PM,pts,
CBB,A,1.28,Omer Mayer,PUR,NW,Points,Goblin,3.5,OVER,3.4824,6.9824,0.75,7.6,5.862,4,1,Avg,03/04 08:30PM,pts,
CBB,A,1.28,Jaylin Sellers,PROV,MARQ,Points,Goblin,17.5,OVER,4.02,21.52,0.8,22.2,19.1,4,1,Weak,03/04 07:00PM,pts,
CBB,A,1.28,Darius Acuff,ARK,TEX,Points,Goblin,19.5,OVER,6.976000000000003,26.476,0.8500000000000001,27.8,23.13,4,1,Avg,03/04 07:00PM,pts,
CBB,A,1.26,Milos Uzan,HOU,BAY,Assists,Goblin,2.5,OVER,2.2296,4.7296,0.9,5.2,4.048,5,0,Avg,03/04 09:00PM,ast,
CBB,A,1.26,Justin Pippen,CAL,GT,Rebounds,Goblin,2.5,OVER,2.179,4.679,0.8,4.8,3.895,4,1,Weak,03/04 07:00PM,reb,
CBB,A,1.26,Matas Vokietaitis,TEX,ARK,Points,Goblin,13.5,OVER,2.904199999999999,16.4042,0.75,16.8,15.571,4,1,Weak,03/04 07:00PM,pts,
CBB,A,1.25,Jordan Pope,TEX,ARK,Pts+Rebs+Asts,Goblin,15.5,OVER,2.972000000000001,18.472,0.85,20.2,16.81,5,0,Weak,03/04 07:00PM,pra,
CBB,A,1.25,Tre Donaldson,MIA,SMU,Fantasy Score,Goblin,27,OVER,5.801000000000002,32.801,0.8,33.32,33.29,4,1,Weak,03/04 07:05PM,fantasy score,
CBB,A,1.25,Dailyn Swain,TEX,ARK,Fantasy Score,Goblin,31,OVER,4.409800000000004,35.4098,0.8,33.86,35.924,4,1,Weak,03/04 07:05PM,fantasy score,
CBB,A,1.25,Jaylin Sellers,PROV,MARQ,Fantasy Score,Goblin,24.5,OVER,4.506,29.006,0.8,28.82,27.635,4,1,Weak,03/04 07:05PM,fantasy score,
CBB,A,1.25,Cole Certa,ND,STAN,Points,Goblin,13.5,OVER,6.6736,20.1736,0.9,23,13.818,5,0,Above Avg,03/04 09:00PM,pts,
CBB,A,1.24,Benny Gealer,STAN,ND,Points,Goblin,10.5,OVER,4.8338,15.3338,0.85,17.8,11.619,5,0,Avg,03/04 09:00PM,pts,
CBB,A,1.24,John Camden,CAL,GT,Points,Goblin,12.5,OVER,2.7752,15.2752,0.75,15.4,14.476,4,1,Weak,03/04 07:00PM,pts,
CBB,A,1.24,Ebuka Okorie,STAN,ND,Fantasy Score,Goblin,29,OVER,9.271799999999999,38.2718,0.9445,39.16,36.489,5,0,Avg,03/04 09:05PM,fantasy score,
CBB,A,1.24,Matas Vokietaitis,TEX,ARK,Fantasy Score,Goblin,23,OVER,4.534599999999998,27.5346,0.75,28.72,25.133,4,1,Weak,03/04 07:05PM,fantasy score,
CBB,A,1.24,Tre Donaldson,MIA,SMU,Points,Goblin,14.5,OVER,4.210000000000001,18.71,0.7,20,17.15,4,1,Weak,03/04 07:00PM,pts,
CBB,A,1.24,Deyton Albury,UNM,CSU,Points,Goblin,8.5,OVER,3.136199999999999,11.6362,0.8500000000000001,12,11.381,4,1,,03/04 10:00PM,pts,
