player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Jrue Holiday,POR,Fantasy Score,72.8,35.0,5.0,11.0,0.0,1.0,3.0,13.0,19.0,8.0,11.0,8.0,1.0,1.0,5.0,8.0,1.0,4.0,0.0,32.0
Ryan Rollins,MIL,Fantasy Score,58.0,13.0,8.0,12.0,0.0,3.0,1.0,4.0,11.0,2.0,7.0,2.0,3.0,4.0,2.0,4.0,1.0,7.0,4.0,35.0
Jerami Grant,POR,Fantasy Score,54.2,30.0,9.0,4.0,0.0,1.0,2.0,11.0,19.0,3.0,8.0,3.0,5.0,9.0,8.0,11.0,3.0,6.0,3.0,36.0
Jalen Brunson,NY,Fantasy Score,54.2,16.0,3.0,15.0,0.0,1.0,3.0,5.0,18.0,2.0,5.0,2.0,4.0,6.0,3.0,13.0,1.0,2.0,0.0,39.0
Jaylen Brown,BOS,Fantasy Score,53.8,20.0,11.0,7.0,0.0,0.0,3.0,7.0,19.0,1.0,4.0,1.0,5.0,6.0,6.0,15.0,1.0,10.0,1.0,34.0
Jabari Walker,PHI,Fantasy Score,51.5,22.0,10.0,2.0,1.0,0.0,1.0,7.0,12.0,4.0,7.0,4.0,4.0,6.0,3.0,5.0,3.0,7.0,2.0,28.0
Robert Williams III,POR,Fantasy Score,51.2,20.0,11.0,0.0,3.0,1.0,2.0,9.0,12.0,0.0,0.0,0.0,2.0,2.0,9.0,12.0,5.0,6.0,2.0,23.0
Jrue Holiday,POR,Pts+Rebs+Asts,51.0,35.0,5.0,11.0,0.0,1.0,3.0,13.0,19.0,8.0,11.0,8.0,1.0,1.0,5.0,8.0,1.0,4.0,0.0,32.0
Jrue Holiday,POR,PRA,51.0,35.0,5.0,11.0,0.0,1.0,3.0,13.0,19.0,8.0,11.0,8.0,1.0,1.0,5.0,8.0,1.0,4.0,0.0,32.0
Karl-Anthony Towns,NY,Fantasy Score,50.2,17.0,17.0,1.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,3.0,4.0,7.0,8.0,9.0,8.0,6.0,33.0
Kawhi Leonard,LAC,Fantasy Score,50.0,29.0,8.0,2.0,0.0,1.0,0.0,10.0,18.0,3.0,7.0,3.0,6.0,6.0,7.0,11.0,0.0,8.0,1.0,23.0
Tyrese Maxey,PHI,Fantasy Score,49.5,25.0,2.0,6.0,3.0,1.0,1.0,8.0,22.0,2.0,10.0,2.0,7.0,7.0,6.0,12.0,0.0,2.0,0.0,38.0
Onyeka Okongwu,ATL,Fantasy Score,47.5,21.0,8.0,1.0,2.0,3.0,2.0,9.0,14.0,3.0,7.0,3.0,0.0,2.0,6.0,7.0,3.0,5.0,2.0,31.0
Dyson Daniels,ATL,Fantasy Score,47.5,14.0,10.0,3.0,3.0,0.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,7.0,9.0,4.0,6.0,2.0,34.0
Bennedict Mathurin,LAC,Fantasy Score,47.5,23.0,8.0,4.0,1.0,1.0,1.0,8.0,11.0,1.0,3.0,1.0,6.0,7.0,7.0,8.0,0.0,8.0,4.0,22.0
Shai Gilgeous-Alexander,OKC,Fantasy Score,47.2,26.0,3.0,8.0,0.0,1.0,3.0,9.0,16.0,1.0,1.0,1.0,7.0,7.0,8.0,15.0,0.0,3.0,3.0,35.0
Jalen Johnson,ATL,Fantasy Score,47.2,20.0,5.0,9.0,0.0,2.0,3.0,7.0,17.0,1.0,2.0,1.0,5.0,7.0,6.0,15.0,0.0,5.0,2.0,34.0
Chet Holmgren,OKC,Fantasy Score,47.0,28.0,8.0,2.0,0.0,0.0,3.0,11.0,19.0,6.0,11.0,6.0,0.0,0.0,5.0,8.0,1.0,7.0,3.0,32.0
Jrue Holiday,POR,Pts+Asts,46.0,35.0,5.0,11.0,0.0,1.0,3.0,13.0,19.0,8.0,11.0,8.0,1.0,1.0,5.0,8.0,1.0,4.0,0.0,32.0
Keyonte George,UTAH,Fantasy Score,46.0,30.0,4.0,2.0,0.0,1.0,2.0,10.0,24.0,5.0,11.0,5.0,5.0,6.0,5.0,13.0,0.0,4.0,3.0,30.0
Derrick White,BOS,Fantasy Score,43.5,29.0,2.0,3.0,0.0,1.0,1.0,9.0,17.0,3.0,9.0,3.0,8.0,8.0,6.0,8.0,0.0,2.0,1.0,29.0
Jerami Grant,POR,PRA,43.0,30.0,9.0,4.0,0.0,1.0,2.0,11.0,19.0,3.0,8.0,3.0,5.0,9.0,8.0,11.0,3.0,6.0,3.0,36.0
Jerami Grant,POR,Pts+Rebs+Asts,43.0,30.0,9.0,4.0,0.0,1.0,2.0,11.0,19.0,3.0,8.0,3.0,5.0,9.0,8.0,11.0,3.0,6.0,3.0,36.0
Pascal Siakam,IND,Fantasy Score,41.8,29.0,5.0,1.0,0.0,0.0,0.0,8.0,14.0,1.0,3.0,1.0,12.0,14.0,7.0,11.0,1.0,4.0,2.0,30.0
Giannis Antetokounmpo,MIL,Fantasy Score,41.8,24.0,5.0,4.0,0.0,1.0,2.0,10.0,15.0,0.0,0.0,0.0,4.0,8.0,10.0,15.0,1.0,4.0,0.0,26.0
CJ McCollum,ATL,Fantasy Score,41.5,18.0,2.0,8.0,1.0,1.0,1.0,5.0,11.0,2.0,7.0,2.0,6.0,6.0,3.0,4.0,0.0,2.0,1.0,29.0
Jaylen Wells,MEM,Fantasy Score,40.8,24.0,3.0,2.0,0.0,2.0,1.0,8.0,15.0,4.0,8.0,4.0,4.0,5.0,4.0,7.0,0.0,3.0,3.0,31.0
Cam Spencer,MEM,Fantasy Score,40.8,12.0,7.0,7.0,2.0,0.0,0.0,4.0,10.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0,6.0,2.0,28.0
Jrue Holiday,POR,Pts+Rebs,40.0,35.0,5.0,11.0,0.0,1.0,3.0,13.0,19.0,8.0,11.0,8.0,1.0,1.0,5.0,8.0,1.0,4.0,0.0,32.0
Josh Hart,NY,Fantasy Score,39.5,10.0,12.0,3.0,0.0,0.0,1.0,4.0,11.0,0.0,3.0,0.0,2.0,2.0,4.0,8.0,0.0,12.0,3.0,25.0
LaMelo Ball,CHA,Fantasy Score,39.2,18.0,7.0,4.0,0.0,0.0,0.0,7.0,17.0,4.0,10.0,4.0,0.0,0.0,3.0,7.0,2.0,5.0,4.0,23.0
Jerami Grant,POR,Pts+Rebs,39.0,30.0,9.0,4.0,0.0,1.0,2.0,11.0,19.0,3.0,8.0,3.0,5.0,9.0,8.0,11.0,3.0,6.0,3.0,36.0
Kawhi Leonard,LAC,PRA,39.0,29.0,8.0,2.0,0.0,1.0,0.0,10.0,18.0,3.0,7.0,3.0,6.0,6.0,7.0,11.0,0.0,8.0,1.0,23.0
Kawhi Leonard,LAC,Pts+Rebs+Asts,39.0,29.0,8.0,2.0,0.0,1.0,0.0,10.0,18.0,3.0,7.0,3.0,6.0,6.0,7.0,11.0,0.0,8.0,1.0,23.0
Brandon Miller,CHA,Fantasy Score,38.2,18.0,5.0,2.0,0.0,3.0,1.0,8.0,13.0,2.0,5.0,2.0,0.0,0.0,6.0,8.0,0.0,5.0,4.0,27.0
Olivier-Maxence Prosper,MEM,Fantasy Score,38.2,17.0,9.0,1.0,0.0,2.0,2.0,5.0,13.0,2.0,5.0,2.0,5.0,10.0,3.0,8.0,6.0,3.0,3.0,33.0
Chet Holmgren,OKC,PRA,38.0,28.0,8.0,2.0,0.0,0.0,3.0,11.0,19.0,6.0,11.0,6.0,0.0,0.0,5.0,8.0,1.0,7.0,3.0,32.0
Chet Holmgren,OKC,Pts+Rebs+Asts,38.0,28.0,8.0,2.0,0.0,0.0,3.0,11.0,19.0,6.0,11.0,6.0,0.0,0.0,5.0,8.0,1.0,7.0,3.0,32.0
Jaylen Brown,BOS,PRA,38.0,20.0,11.0,7.0,0.0,0.0,3.0,7.0,19.0,1.0,4.0,1.0,5.0,6.0,6.0,15.0,1.0,10.0,1.0,34.0
Jaylen Brown,BOS,Pts+Rebs+Asts,38.0,20.0,11.0,7.0,0.0,0.0,3.0,7.0,19.0,1.0,4.0,1.0,5.0,6.0,6.0,15.0,1.0,10.0,1.0,34.0
GG Jackson,MEM,Fantasy Score,37.0,20.0,4.0,1.0,3.0,1.0,5.0,8.0,18.0,1.0,2.0,1.0,3.0,4.0,7.0,16.0,2.0,2.0,0.0,34.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,37.0,26.0,3.0,8.0,0.0,1.0,3.0,9.0,16.0,1.0,1.0,1.0,7.0,7.0,8.0,15.0,0.0,3.0,3.0,35.0
Kawhi Leonard,LAC,Pts+Rebs,37.0,29.0,8.0,2.0,0.0,1.0,0.0,10.0,18.0,3.0,7.0,3.0,6.0,6.0,7.0,11.0,0.0,8.0,1.0,23.0
Shai Gilgeous-Alexander,OKC,PRA,37.0,26.0,3.0,8.0,0.0,1.0,3.0,9.0,16.0,1.0,1.0,1.0,7.0,7.0,8.0,15.0,0.0,3.0,3.0,35.0
Javon Small,MEM,Fantasy Score,36.8,11.0,7.0,5.0,1.0,2.0,3.0,4.0,10.0,1.0,4.0,1.0,2.0,3.0,3.0,6.0,2.0,5.0,1.0,33.0
Isaiah Collier,UTAH,Fantasy Score,36.5,18.0,0.0,5.0,1.0,3.0,3.0,5.0,10.0,0.0,0.0,0.0,8.0,8.0,5.0,10.0,0.0,0.0,2.0,26.0
Keyonte George,UTAH,PRA,36.0,30.0,4.0,2.0,0.0,1.0,2.0,10.0,24.0,5.0,11.0,5.0,5.0,6.0,5.0,13.0,0.0,4.0,3.0,30.0
Chet Holmgren,OKC,Pts+Rebs,36.0,28.0,8.0,2.0,0.0,0.0,3.0,11.0,19.0,6.0,11.0,6.0,0.0,0.0,5.0,8.0,1.0,7.0,3.0,32.0
Keyonte George,UTAH,Pts+Rebs+Asts,36.0,30.0,4.0,2.0,0.0,1.0,2.0,10.0,24.0,5.0,11.0,5.0,5.0,6.0,5.0,13.0,0.0,4.0,3.0,30.0
Bennedict Mathurin,LAC,PRA,35.0,23.0,8.0,4.0,1.0,1.0,1.0,8.0,11.0,1.0,3.0,1.0,6.0,7.0,7.0,8.0,0.0,8.0,4.0,22.0
Jrue Holiday,POR,Points,35.0,35.0,5.0,11.0,0.0,1.0,3.0,13.0,19.0,8.0,11.0,8.0,1.0,1.0,5.0,8.0,1.0,4.0,0.0,32.0
