player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Darius Acuff Jr.,ARK,Fantasy Score,62.2,28.0,3.0,13.0,0.0,0.0,3.0,8.0,15.0,4.0,6.0,4.0,8.0,10.0,4.0,9.0,0.0,3.0,3.0,36.0
Chance Westry,UAB,Fantasy Score,60.5,20.0,8.0,11.0,1.0,1.0,1.0,6.0,13.0,0.0,2.0,0.0,8.0,8.0,6.0,11.0,5.0,3.0,2.0,37.0
Trevon Brazile,ARK,Fantasy Score,53.8,28.0,7.0,1.0,3.0,2.0,1.0,9.0,11.0,3.0,5.0,3.0,7.0,8.0,6.0,6.0,1.0,6.0,1.0,36.0
Tounde Yessoufou,BAY,Fantasy Score,53.0,20.0,12.0,2.0,1.0,2.0,4.0,7.0,13.0,1.0,5.0,1.0,5.0,6.0,6.0,8.0,3.0,9.0,2.0,38.0
Jaron Pierre Jr.,SMU,Fantasy Score,52.0,27.0,4.0,2.0,2.0,3.0,1.0,9.0,18.0,6.0,11.0,6.0,3.0,4.0,3.0,7.0,0.0,4.0,2.0,40.0
Malik Reneau,MIA,Fantasy Score,49.8,14.0,11.0,4.0,0.0,3.0,3.0,4.0,14.0,2.0,3.0,2.0,4.0,7.0,2.0,11.0,3.0,8.0,1.0,32.0
Kingston Flemings,HOU,Fantasy Score,45.2,21.0,3.0,7.0,1.0,2.0,2.0,7.0,14.0,1.0,3.0,1.0,6.0,7.0,6.0,11.0,0.0,3.0,1.0,37.0
Tre Donaldson,MIA,Fantasy Score,45.2,17.0,7.0,9.0,0.0,1.0,4.0,6.0,15.0,3.0,5.0,3.0,2.0,2.0,3.0,10.0,2.0,5.0,0.0,36.0
Darius Acuff Jr.,ARK,Pts+Rebs+Asts,44.0,28.0,3.0,13.0,0.0,0.0,3.0,8.0,15.0,4.0,6.0,4.0,8.0,10.0,4.0,9.0,0.0,3.0,3.0,36.0
Darius Acuff Jr.,ARK,PRA,44.0,28.0,3.0,13.0,0.0,0.0,3.0,8.0,15.0,4.0,6.0,4.0,8.0,10.0,4.0,9.0,0.0,3.0,3.0,36.0
Dailyn Swain,TEX,Fantasy Score,43.8,16.0,9.0,6.0,1.0,1.0,3.0,5.0,10.0,1.0,1.0,1.0,5.0,7.0,4.0,9.0,2.0,7.0,1.0,34.0
C.J. Cox,PUR,Fantasy Score,42.2,27.0,3.0,3.0,0.0,0.0,0.0,10.0,13.0,5.0,8.0,5.0,2.0,2.0,5.0,5.0,3.0,0.0,0.0,28.0
Darius Acuff Jr.,ARK,Pts+Asts,41.0,28.0,3.0,13.0,0.0,0.0,3.0,8.0,15.0,4.0,6.0,4.0,8.0,10.0,4.0,9.0,0.0,3.0,3.0,36.0
Chance Westry,UAB,Pts+Rebs+Asts,39.0,20.0,8.0,11.0,1.0,1.0,1.0,6.0,13.0,0.0,2.0,0.0,8.0,8.0,6.0,11.0,5.0,3.0,2.0,37.0
Chance Westry,UAB,PRA,39.0,20.0,8.0,11.0,1.0,1.0,1.0,6.0,13.0,0.0,2.0,0.0,8.0,8.0,6.0,11.0,5.0,3.0,2.0,37.0
Matas Vokietaitis,TEX,Fantasy Score,38.8,21.0,7.0,2.0,1.0,0.0,1.0,9.0,15.0,0.0,0.0,0.0,3.0,6.0,9.0,15.0,4.0,3.0,5.0,24.0
Nick Martinelli,NU,Fantasy Score,38.8,28.0,1.0,3.0,0.0,0.0,1.0,9.0,19.0,2.0,5.0,2.0,8.0,8.0,7.0,14.0,1.0,0.0,3.0,38.0
Boopie Miller,SMU,Fantasy Score,38.5,21.0,4.0,6.0,0.0,1.0,7.0,8.0,17.0,1.0,5.0,1.0,4.0,5.0,7.0,12.0,0.0,4.0,4.0,40.0
Xavier Amos,LUC,Fantasy Score,38.5,25.0,4.0,1.0,0.0,0.0,1.0,9.0,12.0,6.0,7.0,6.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,32.0
Evan Chatman,UAB,Fantasy Score,37.2,19.0,9.0,1.0,0.0,0.0,0.0,7.0,13.0,2.0,4.0,2.0,3.0,3.0,5.0,9.0,4.0,5.0,1.0,33.0
Trevon Brazile,ARK,Pts+Rebs+Asts,36.0,28.0,7.0,1.0,3.0,2.0,1.0,9.0,11.0,3.0,5.0,3.0,7.0,8.0,6.0,6.0,1.0,6.0,1.0,36.0
Trevon Brazile,ARK,PRA,36.0,28.0,7.0,1.0,3.0,2.0,1.0,9.0,11.0,3.0,5.0,3.0,7.0,8.0,6.0,6.0,1.0,6.0,1.0,36.0
Josiah Shackleford,UNT,Fantasy Score,36.0,11.0,10.0,1.0,1.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,3.0,6.0,4.0,5.0,4.0,6.0,0.0,21.0
David Terrell Jr.,UNT,Fantasy Score,35.8,15.0,5.0,3.0,0.0,3.0,1.0,7.0,17.0,0.0,3.0,0.0,1.0,4.0,7.0,14.0,1.0,4.0,1.0,35.0
Billy Richmond III,ARK,Fantasy Score,35.2,8.0,9.0,3.0,3.0,3.0,1.0,3.0,9.0,0.0,1.0,0.0,2.0,2.0,3.0,8.0,0.0,9.0,2.0,37.0
Trevon Brazile,ARK,Pts+Rebs,35.0,28.0,7.0,1.0,3.0,2.0,1.0,9.0,11.0,3.0,5.0,3.0,7.0,8.0,6.0,6.0,1.0,6.0,1.0,36.0
Trey Kaufman-Renn,PUR,Fantasy Score,35.0,11.0,10.0,2.0,0.0,0.0,4.0,5.0,9.0,0.0,0.0,0.0,1.0,2.0,5.0,9.0,2.0,8.0,2.0,29.0
Samet Yigitoglu,SMU,Fantasy Score,34.8,12.0,7.0,0.0,4.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,2.0,2.0,5.0,9.0,5.0,2.0,2.0,36.0
Tounde Yessoufou,BAY,Pts+Rebs+Asts,34.0,20.0,12.0,2.0,1.0,2.0,4.0,7.0,13.0,1.0,5.0,1.0,5.0,6.0,6.0,8.0,3.0,9.0,2.0,38.0
Ernest Udeh Jr.,MIA,Fantasy Score,34.0,8.0,10.0,0.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,3.0,7.0,3.0,27.0
Tounde Yessoufou,BAY,PRA,34.0,20.0,12.0,2.0,1.0,2.0,4.0,7.0,13.0,1.0,5.0,1.0,5.0,6.0,6.0,8.0,3.0,9.0,2.0,38.0
Robbie Avila,SLU,Fantasy Score,34.0,12.0,6.0,4.0,1.0,1.0,1.0,4.0,9.0,1.0,2.0,1.0,3.0,3.0,3.0,7.0,0.0,6.0,0.0,27.0
Kayde Dotson,LUC,Fantasy Score,34.0,19.0,4.0,1.0,0.0,1.0,1.0,6.0,14.0,5.0,8.0,5.0,2.0,2.0,1.0,6.0,0.0,4.0,1.0,35.0
