Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.29,Solomon Washington,MD,RUTG,Fantasy Score,Goblin,23.5,OVER,8.7378,32.2378,0.9,35.64,27.629,5,0,Avg,03/01 12:05PM,fantasy score,
CBB,A,1.27,Jeremy Fears,MSU,IND,Assists,Goblin,6.5,OVER,3.4214,9.9214,0.8,10.2,9.107,4,1,,03/01 03:45PM,ast,
CBB,A,1.26,Jordan Scott,MSU,IND,Fantasy Score,Goblin,14,OVER,4.603200000000001,18.6032,0.95,20.44,14.421,5,0,,03/01 03:50PM,fantasy score,
CBB,A,1.25,Jaxon Kohler,MSU,IND,Rebounds,Goblin,5.5,OVER,3.231400000000001,8.7314,0.7,9.2,9.107,4,1,,03/01 03:45PM,reb,
CBB,A,1.25,Brandon Maclin,DEP,MARQ,Points,Goblin,11.5,OVER,2.513999999999999,14.014,0.75,15.8,10.32,4,1,Weak,03/01 04:00PM,pts,
CBB,A,1.23,Carson Cooper,MSU,IND,Points,Goblin,7.5,OVER,4.19,11.69,0.75,12.4,10.5,4,1,,03/01 03:45PM,pts,
CBB,A,1.22,Tucker DeVries,IND,MSU,3-PT Made,Standard,2.5,UNDER,-2.5,0,1,0,0,0,5,Elite,03/01 03:45PM,3pm,
CBB,A,1.22,Jeremy Fears,MSU,IND,Fantasy Score,Goblin,25.5,OVER,9.9478,35.4478,0.8500000000000001,34.78,33.289,4,1,,03/01 03:50PM,fantasy score,
CBB,A,1.22,Jeremy Fears,MSU,IND,Points,Goblin,11.5,OVER,4.7714,16.2714,0.8,15.8,14.857,4,1,,03/01 03:45PM,pts,
CBB,A,1.22,NJ Benson,DEP,MARQ,Points,Goblin,11.5,OVER,3.2142,14.7142,0.65,17.4,11.321,4,1,Weak,03/01 04:00PM,pts,
CBB,A,1.19,John Mobley,OSU,PUR,3-PT Made,Standard,2.5,UNDER,-2.5,0,1,0,0,0,5,Elite,03/01 01:30PM,3pm,
CBB,A,1.19,Carson Cooper,MSU,IND,Points,Goblin,8.5,OVER,3.19,11.69,0.75,12.4,10.5,4,1,,03/01 03:45PM,pts,
CBB,A,1.18,Trey Kaufman-Renn,PUR,OSU,Points,Goblin,9.5,OVER,4.078199999999999,13.5782,0.75,14.2,12.741,4,1,Avg,03/01 01:30PM,pts,
