player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Nikola Jokic,DEN,Fantasy Score,79.2,35.0,13.0,9.0,2.0,1.0,5.0,15.0,26.0,1.0,4.0,1.0,4.0,6.0,14.0,22.0,5.0,8.0,1.0,37.0
Josh Giddey,CHI,Fantasy Score,75.5,20.0,14.0,10.0,1.0,2.0,4.0,7.0,14.0,5.0,11.0,5.0,1.0,1.0,2.0,3.0,3.0,11.0,0.0,32.0
Neemias Queta,BOS,Fantasy Score,69.8,27.0,17.0,2.0,3.0,1.0,0.0,10.0,14.0,0.0,0.0,0.0,7.0,10.0,10.0,14.0,10.0,7.0,4.0,27.0
Onyeka Okongwu,ATL,Fantasy Score,66.0,25.0,10.0,6.0,1.0,2.0,1.0,9.0,15.0,7.0,12.0,7.0,0.0,0.0,2.0,3.0,0.0,10.0,3.0,27.0
Cade Cunningham,DET,Fantasy Score,66.0,29.0,6.0,11.0,0.0,2.0,5.0,11.0,25.0,2.0,9.0,2.0,5.0,6.0,9.0,16.0,0.0,6.0,0.0,37.0
Victor Wembanyama,SA,Fantasy Score,59.8,25.0,13.0,2.0,4.0,0.0,7.0,8.0,17.0,1.0,7.0,1.0,8.0,9.0,7.0,10.0,1.0,12.0,2.0,34.0
Tyrese Maxey,PHI,Fantasy Score,58.2,33.0,3.0,6.0,2.0,1.0,0.0,12.0,34.0,4.0,11.0,4.0,5.0,6.0,8.0,23.0,1.0,2.0,1.0,43.0
Luka Doncic,LAL,Fantasy Score,57.8,28.0,5.0,9.0,1.0,1.0,1.0,10.0,16.0,4.0,8.0,4.0,4.0,7.0,6.0,8.0,0.0,5.0,1.0,29.0
Nikola Jokic,DEN,Pts+Rebs+Asts,57.0,35.0,13.0,9.0,2.0,1.0,5.0,15.0,26.0,1.0,4.0,1.0,4.0,6.0,14.0,22.0,5.0,8.0,1.0,37.0
Nikola Jokic,DEN,PRA,57.0,35.0,13.0,9.0,2.0,1.0,5.0,15.0,26.0,1.0,4.0,1.0,4.0,6.0,14.0,22.0,5.0,8.0,1.0,37.0
Shai Gilgeous-Alexander,OKC,Fantasy Score,54.0,30.0,4.0,5.0,0.0,4.0,3.0,12.0,20.0,1.0,5.0,1.0,5.0,6.0,11.0,15.0,0.0,4.0,2.0,33.0
Derrick White,BOS,Fantasy Score,53.5,21.0,6.0,8.0,2.0,2.0,4.0,6.0,16.0,5.0,11.0,5.0,4.0,4.0,1.0,5.0,2.0,4.0,4.0,39.0
Jaylen Brown,BOS,Fantasy Score,52.0,27.0,8.0,8.0,0.0,0.0,5.0,9.0,17.0,2.0,6.0,2.0,7.0,7.0,7.0,11.0,2.0,6.0,1.0,38.0
Donovan Clingan,POR,Fantasy Score,51.2,15.0,15.0,5.0,0.0,0.0,3.0,5.0,13.0,2.0,5.0,2.0,3.0,6.0,3.0,8.0,4.0,11.0,3.0,31.0
Danny Wolf,BKN,Fantasy Score,51.2,23.0,9.0,5.0,0.0,2.0,1.0,7.0,13.0,3.0,8.0,3.0,6.0,8.0,4.0,5.0,1.0,8.0,3.0,27.0
Mikal Bridges,NY,Fantasy Score,50.8,25.0,5.0,2.0,0.0,5.0,1.0,10.0,17.0,5.0,9.0,5.0,0.0,0.0,5.0,8.0,2.0,3.0,5.0,33.0
Andre Drummond,PHI,Fantasy Score,49.5,10.0,12.0,4.0,0.0,4.0,2.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,10.0,3.0,32.0
James Harden,CLE,Fantasy Score,49.2,22.0,9.0,8.0,0.0,0.0,5.0,5.0,9.0,4.0,7.0,4.0,8.0,12.0,1.0,2.0,0.0,9.0,2.0,36.0
Paolo Banchero,ORL,Fantasy Score,49.2,24.0,11.0,2.0,0.0,1.0,9.0,5.0,10.0,1.0,4.0,1.0,13.0,16.0,4.0,6.0,3.0,8.0,2.0,38.0
Nique Clifford,SAC,Fantasy Score,48.2,26.0,7.0,4.0,1.0,1.0,3.0,11.0,18.0,1.0,2.0,1.0,3.0,4.0,10.0,16.0,2.0,5.0,3.0,42.0
Nikola Jokic,DEN,Pts+Rebs,48.0,35.0,13.0,9.0,2.0,1.0,5.0,15.0,26.0,1.0,4.0,1.0,4.0,6.0,14.0,22.0,5.0,8.0,1.0,37.0
Evan Mobley,CLE,Fantasy Score,47.8,17.0,13.0,2.0,1.0,0.0,2.0,6.0,12.0,0.0,2.0,0.0,5.0,10.0,6.0,10.0,4.0,9.0,2.0,27.0
Walter Clayton Jr.,MEM,Fantasy Score,47.2,7.0,3.0,14.0,1.0,4.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,34.0
Jeremiah Fears,NO,Fantasy Score,46.2,28.0,3.0,4.0,2.0,0.0,5.0,10.0,15.0,5.0,6.0,5.0,3.0,3.0,5.0,9.0,0.0,3.0,1.0,26.0
Cade Cunningham,DET,Pts+Rebs+Asts,46.0,29.0,6.0,11.0,0.0,2.0,5.0,11.0,25.0,2.0,9.0,2.0,5.0,6.0,9.0,16.0,0.0,6.0,0.0,37.0
Neemias Queta,BOS,Pts+Rebs+Asts,46.0,27.0,17.0,2.0,3.0,1.0,0.0,10.0,14.0,0.0,0.0,0.0,7.0,10.0,10.0,14.0,10.0,7.0,4.0,27.0
Cade Cunningham,DET,PRA,46.0,29.0,6.0,11.0,0.0,2.0,5.0,11.0,25.0,2.0,9.0,2.0,5.0,6.0,9.0,16.0,0.0,6.0,0.0,37.0
Neemias Queta,BOS,PRA,46.0,27.0,17.0,2.0,3.0,1.0,0.0,10.0,14.0,0.0,0.0,0.0,7.0,10.0,10.0,14.0,10.0,7.0,4.0,27.0
Jalen Duren,DET,Fantasy Score,46.0,16.0,10.0,1.0,1.0,2.0,1.0,6.0,12.0,0.0,0.0,0.0,4.0,6.0,6.0,12.0,3.0,7.0,2.0,34.0
VJ Edgecombe,PHI,Fantasy Score,45.8,23.0,5.0,3.0,1.0,2.0,2.0,8.0,21.0,5.0,11.0,5.0,2.0,3.0,3.0,10.0,3.0,2.0,3.0,40.0
Michael Porter Jr.,BKN,Fantasy Score,45.8,26.0,5.0,1.0,0.0,3.0,2.0,10.0,17.0,5.0,8.0,5.0,1.0,2.0,5.0,9.0,1.0,4.0,3.0,30.0
Josh Hart,NY,Fantasy Score,45.5,10.0,10.0,7.0,0.0,1.0,1.0,4.0,14.0,1.0,6.0,1.0,1.0,2.0,3.0,8.0,3.0,7.0,2.0,30.0
Rudy Gobert,MIN,Fantasy Score,45.2,7.0,15.0,4.0,1.0,3.0,1.0,3.0,8.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,5.0,10.0,4.0,38.0
Anthony Edwards,MIN,Fantasy Score,44.8,21.0,3.0,6.0,2.0,1.0,2.0,9.0,19.0,3.0,9.0,3.0,0.0,2.0,6.0,10.0,0.0,3.0,2.0,39.0
Jordan Miller,LAC,Fantasy Score,44.5,19.0,2.0,8.0,0.0,3.0,0.0,5.0,6.0,1.0,1.0,1.0,8.0,11.0,4.0,5.0,1.0,1.0,2.0,32.0
Jalen Brunson,NY,Fantasy Score,44.5,24.0,4.0,7.0,0.0,0.0,3.0,7.0,16.0,4.0,7.0,4.0,6.0,7.0,3.0,9.0,0.0,4.0,4.0,32.0
Tobias Harris,DET,Fantasy Score,44.2,23.0,7.0,1.0,1.0,2.0,0.0,10.0,18.0,1.0,4.0,1.0,2.0,2.0,9.0,14.0,2.0,5.0,1.0,33.0
Neemias Queta,BOS,Pts+Rebs,44.0,27.0,17.0,2.0,3.0,1.0,0.0,10.0,14.0,0.0,0.0,0.0,7.0,10.0,10.0,14.0,10.0,7.0,4.0,27.0
Josh Giddey,CHI,PRA,44.0,20.0,14.0,10.0,1.0,2.0,4.0,7.0,14.0,5.0,11.0,5.0,1.0,1.0,2.0,3.0,3.0,11.0,0.0,32.0
Nikola Jokic,DEN,Pts+Asts,44.0,35.0,13.0,9.0,2.0,1.0,5.0,15.0,26.0,1.0,4.0,1.0,4.0,6.0,14.0,22.0,5.0,8.0,1.0,37.0
Josh Giddey,CHI,Pts+Rebs+Asts,44.0,20.0,14.0,10.0,1.0,2.0,4.0,7.0,14.0,5.0,11.0,5.0,1.0,1.0,2.0,3.0,3.0,11.0,0.0,32.0
