player_norm,espn_athlete_id
antoine semenyo,273292
jeremy doku,283672
omar marmoush,303745
savinho,304470
reigan heskey,378369
ryan mcaidoo,395463
tyrone samba,417985
stefan ortega,151855
matz sels,179497
angus gunn,181299
john victor,233241
keehan willows,351250
aaron bott,366239
willy boly,152349
morato,201304
ola aina,206227
nikola milenkovic,238990
neco williams,291638
luca netz,303765
jair paula,338876
murillo,338894
zach abbott,348303
nicolo savona,388024
ibrahim sangare,213718
elliot anderson,238472
ryan yates,241253
morgan gibbs-white,243396
nicolas dominguez,254118
james mcatee,298518
jimmy sinclair,366249
archie whitehall,374133
chris wood,134190
taiwo awoniyi,194686
callum hudson-odoi,261419
dan ndoye,275842
lorenzo lucca,282564
igor jesus,322658
dilane bakwa,297157
omari hutchinson,322771
eric da silva moreira,372025
zyan blake,375234
jason steele,111114
tom mcgill,248761
bart verbruggen,291609
nils ramming,376499
adam webster,17828
lewis dunk,147106
joel veltman,170597
olivier boscagli,216017
igor julio,234143
ferdi kadioglu,238318
jan paul van hecke,282583
maxim de cuyper,301327
charlie tasker,371698
freddie simmonds,372020
james milner,26843
pascal groß,132659
diego gomez,333402
solly march,223445
matt o'riley,261087
kaoru mitoma,274278
mats wieffer,282186
yasin ayari,304242
jack hinshelwood,328011
carlos baleba,338814
harry howell,378530
danny welbeck,115271
georginio rutter,278061
yankuba minteh,348787
stefanos tzimas,357165
charalambos kostoulas,387655
nehemiah oriola,399697
fraser forster,93193
christos mandas,265140
djordje petrovic,289824
adam smith,122268
marcos senesi,233945
james hill,279155
bafode diakite,282675
adrien truffert,305684
matai akinmboni,337023
julio soler,339797
owen bevan,348298
alex jimenez,367861
veljko milosavljevic,377736
david brooks,72487
ryan christie,93435
tyler adams,222776
lewis cook,223452
marcus tavernier,243364
alex scott,314790
alex toth,360149
malcom dacosta,415281
charlie stevens,417995
evanilson,102368
enes unal,218122
justin kluivert,245916
amine adli,291613
ben gannon doak,332948
rayan,357719
junior kroupi,361809
remy rees-dottin,398123
kepa arrizabalaga,169532
david raya,196176
alexei rojas,341729
tommy setford,343573
jack porter,390095
gabriel magalhaes,236322
ben white,241077
william saliba,277385
jurrien timber,282716
piero hincapie,292062
riccardo calafiori,298329
cristhian mosquera,328497
josh nichols,351059
myles lewis-skelly,352758
marli salmon,400284
christian nørgaard,178077
martin ødegaard,203669
mikel merino,209581
declan rice,238262
eberechi eze,251400
martin zubimendi,287266
max dowman,397263
ife ibrahim,399894
leandro trossard,174980
gabriel jesus,217289
kai havertz,231182
viktor gyokeres,258906
gabriel martinelli,269844
bukayo saka,280555
noni madueke,293236
ceadach o’neill,381341
andre annous,390975
brando bailey-joseph,411237
john ruddy,42359
mark gillespie,141705
nick pope,161715
aaron ramsdale,236015
aidan harris,353304
adam harrison,371336
lewis hall,106139
kieran trippier,143637
emil krafth,172922
fabian schar,179233
dan burn,198138
sven botman,274633
tino livramento,299641
malick thiaw,303444
alex murphy,346874
leo shahar,374219
jacob murphy,172836
joelinton,202232
bruno guimaraes,218522
harvey barnes,243386
joe willock,259517
sandro tonali,261047
jacob ramsey,286090
lewis miley,349078
adedamola alabi,412170
yoane wissa,224077
anthony gordon,268782
anthony elanga,296622
nick woltemade,298349
william osula,319431
sean neave,358245
park seung-soo,371584
freddie woodman,194121
alisson becker,196876
giorgi mamardashvili,274742
harvey davies,315879
armin pecsi,345673
kornel misciur,389424
joe gomez,102053
andrew robertson,104943
virgil van dijk,157892
conor bradley,250183
ibrahima konate,251634
jeremie frimpong,281119
calvin ramsay,291353
milos kerkez,323110
rhys williams,340762
carter pinnington,350664
amara nallo,373758
wellity lucky,379855
giovanni leoni,380082
wataru endo,152479
curtis jones,190257
alexis mac allister,249299
dominik szoboszlai,257206
ryan gravenberch,274632
florian wirtz,303748
stefan bajcetic,330605
tommy pilling,330608
trey nyoni,356075
kieran morrison,357162
michael laffey,380624
mohamed salah,173896
federico chiesa,234306
alexander isak,235662
cody gakpo,249524
hugo ekitike,304901
kaide gordon,312241
trent kone-doherty,342686
jayden danns,354737
keyrol figueroa,371434
rio ngumoha,379588
karl darlow,130877
alex cairns,164148
lucas perri,252406
illan meslier,265921
sam byram,223454
james justin,231863
joe rodon,232325
ethan ampadu,241317
jayden bogle,243408
pascal struijk,246771
gabriel gudmundsson,250166
sebastiaan bornauw,271130
jaka bijol,274649
ilia gruev,30116
daniel james,203072
sean longstaff,251658
ao tanaka,253173
brenden aaronson,259653
anton stach,304802
facundo buonanotte,318284
charlie crew,354206
sam chambers,390040
dominic calvert-lewin,197717
joel piroe,245562
lukas nmecha,258956
noah okafor,270641
wilfried gnonto,297784
marco bizot,132233
emiliano martinez,109962
james wright,235319
sam proctor,368316
ronnie hollingshead,370724
rhys oakley,409811
lucas digne,160115
tyrone mings,181312
victor lindelof,204679
ezri konsa,231859
matty cash,234698
pau torres,251100
ian maatsen,281125
travis patterson,329187
andres garcia,356080
tj carroll,379703
leon routh,393671
ross barkley,152469
john mcginn,162843
youri tielemans,193297
emiliano buendia,214375
boubacar kamara,250936
harvey elliott,280806
amadou onana,304799
lamare bogarde,310607
douglas luiz,320074
george hemmings,366248
mohamed kone,385004
bradley burrowes,393425
ollie watkins,198825
leon bailey,224809
tammy abraham,236209
jadon sancho,259836
morgan rogers,265653
alysson,382839
brian madjo,401451
tom heaton,42250
altay bayindir,274272
senne lammens,301425
harry maguire,157073
luke shaw,167127
lisandro martinez,233937
diogo dalot,238902
matthijs de ligt,239349
noussair mazraoui,239350
tyrell malacia,259863
leny yoro,340206
tyler fredricson,347052
ayden heaven,356044
patrick dorgu,366781
diego leon,387634
godwill kukonki,393747
bruno fernandes,13282
casemiro,173666
jack fletcher,205081
mason mount,231167
manuel ugarte,241468
kobbie mainoo,328466
jack moorhouse,369884
tyler fletcher,393138
matheus cunha,259902
bryan mbeumo,271170
joshua zirkzee,276327
benjamin sesko,289155
amad,291630
shea lacey,358180
chido obi,375738
bendito mantato,379856
francesco rossi,89216
marco sportiello,174915
marco carnesecchi,284804
berat djimsiti,165291
sead kolasinac,170553
davide zappacosta,182627
mitchel bakker,267573
raoul bellanova,268452
odilon kossounou,284822
lorenzo bernasconi,303988
