player,team,prop_type,actual
Taison Chatman,OSU,PRA,11.0
Taison Chatman,OSU,Pts+Rebs,8.0
Taison Chatman,OSU,Pts+Asts,8.0
Taison Chatman,OSU,Rebs+Asts,6.0
Taison Chatman,OSU,Blks+Stls,1.0
Colin White,OSU,Points,3.0
Colin White,OSU,Rebounds,4.0
Colin White,OSU,Assists,1.0
Colin White,OSU,Blocked Shots,0.0
Colin White,OSU,Steals,1.0
Colin White,OSU,Turnovers,0.0
Colin White,OSU,FG Made,1.0
Colin White,OSU,FG Attempted,2.0
Colin White,OSU,3-PT Made,1.0
Colin White,OSU,3-PT Attempted,2.0
Colin White,OSU,Two Pointers Made,0.0
Colin White,OSU,Two Pointers Attempted,0.0
Colin White,OSU,Free Throws Made,0.0
Colin White,OSU,Free Throws Attempted,2.0
Colin White,OSU,Offensive Rebounds,1.0
Colin White,OSU,Defensive Rebounds,3.0
Colin White,OSU,Personal Fouls,4.0
Colin White,OSU,Fantasy Score,12.0
Colin White,OSU,Pts+Rebs+Asts,8.0
Colin White,OSU,PRA,8.0
Colin White,OSU,Pts+Rebs,7.0
Colin White,OSU,Pts+Asts,4.0
Colin White,OSU,Rebs+Asts,5.0
Colin White,OSU,Blks+Stls,1.0
Ivan Njegovan,OSU,Points,6.0
Ivan Njegovan,OSU,Rebounds,3.0
Ivan Njegovan,OSU,Assists,0.0
Ivan Njegovan,OSU,Blocked Shots,0.0
Ivan Njegovan,OSU,Steals,0.0
Ivan Njegovan,OSU,Turnovers,0.0
Ivan Njegovan,OSU,FG Made,2.0
Ivan Njegovan,OSU,FG Attempted,2.0
Ivan Njegovan,OSU,3-PT Made,0.0
Ivan Njegovan,OSU,3-PT Attempted,0.0
Ivan Njegovan,OSU,Two Pointers Made,2.0
Ivan Njegovan,OSU,Two Pointers Attempted,2.0
Ivan Njegovan,OSU,Free Throws Made,2.0
Ivan Njegovan,OSU,Free Throws Attempted,2.0
Ivan Njegovan,OSU,Offensive Rebounds,1.0
Ivan Njegovan,OSU,Defensive Rebounds,2.0
Ivan Njegovan,OSU,Personal Fouls,2.0
Ivan Njegovan,OSU,Fantasy Score,9.8
Ivan Njegovan,OSU,Pts+Rebs+Asts,9.0
Ivan Njegovan,OSU,PRA,9.0
Ivan Njegovan,OSU,Pts+Rebs,9.0
Ivan Njegovan,OSU,Pts+Asts,6.0
Ivan Njegovan,OSU,Rebs+Asts,3.0
Ivan Njegovan,OSU,Blks+Stls,0.0
Gabe Cupps,OSU,Points,2.0
Gabe Cupps,OSU,Rebounds,0.0
Gabe Cupps,OSU,Assists,1.0
Gabe Cupps,OSU,Blocked Shots,0.0
Gabe Cupps,OSU,Steals,0.0
Gabe Cupps,OSU,Turnovers,2.0
Gabe Cupps,OSU,FG Made,1.0
Gabe Cupps,OSU,FG Attempted,3.0
Gabe Cupps,OSU,3-PT Made,0.0
Gabe Cupps,OSU,3-PT Attempted,2.0
Gabe Cupps,OSU,Two Pointers Made,1.0
Gabe Cupps,OSU,Two Pointers Attempted,1.0
Gabe Cupps,OSU,Free Throws Made,0.0
Gabe Cupps,OSU,Free Throws Attempted,0.0
Gabe Cupps,OSU,Offensive Rebounds,0.0
Gabe Cupps,OSU,Defensive Rebounds,0.0
Gabe Cupps,OSU,Personal Fouls,1.0
Gabe Cupps,OSU,Fantasy Score,2.5
Gabe Cupps,OSU,Pts+Rebs+Asts,3.0
Gabe Cupps,OSU,PRA,3.0
Gabe Cupps,OSU,Pts+Rebs,2.0
Gabe Cupps,OSU,Pts+Asts,3.0
Gabe Cupps,OSU,Rebs+Asts,1.0
Gabe Cupps,OSU,Blks+Stls,0.0
Jordan Scott,MSU,Points,12.0
Jordan Scott,MSU,Rebounds,4.0
Jordan Scott,MSU,Assists,3.0
Jordan Scott,MSU,Blocked Shots,1.0
Jordan Scott,MSU,Steals,0.0
Jordan Scott,MSU,Turnovers,1.0
Jordan Scott,MSU,FG Made,4.0
Jordan Scott,MSU,FG Attempted,7.0
Jordan Scott,MSU,3-PT Made,1.0
Jordan Scott,MSU,3-PT Attempted,2.0
Jordan Scott,MSU,Two Pointers Made,3.0
Jordan Scott,MSU,Two Pointers Attempted,5.0
Jordan Scott,MSU,Free Throws Made,3.0
Jordan Scott,MSU,Free Throws Attempted,5.0
