player,team,prop_type,actual
Chris Cenac Jr.,HOU,Points,9.0
Chris Cenac Jr.,HOU,Rebounds,7.0
Chris Cenac Jr.,HOU,Assists,0.0
Chris Cenac Jr.,HOU,Blocked Shots,0.0
Chris Cenac Jr.,HOU,Steals,1.0
Chris Cenac Jr.,HOU,Turnovers,1.0
Chris Cenac Jr.,HOU,FG Made,4.0
Chris Cenac Jr.,HOU,FG Attempted,13.0
Chris Cenac Jr.,HOU,3-PT Made,1.0
Chris Cenac Jr.,HOU,3-PT Attempted,4.0
Chris Cenac Jr.,HOU,Two Pointers Made,3.0
Chris Cenac Jr.,HOU,Two Pointers Attempted,9.0
Chris Cenac Jr.,HOU,Free Throws Made,0.0
Chris Cenac Jr.,HOU,Free Throws Attempted,0.0
Chris Cenac Jr.,HOU,Offensive Rebounds,3.0
Chris Cenac Jr.,HOU,Defensive Rebounds,4.0
Chris Cenac Jr.,HOU,Personal Fouls,1.0
Chris Cenac Jr.,HOU,Fantasy Score,19.8
Chris Cenac Jr.,HOU,Pts+Rebs+Asts,16.0
Chris Cenac Jr.,HOU,PRA,16.0
Chris Cenac Jr.,HOU,Pts+Rebs,16.0
Chris Cenac Jr.,HOU,Pts+Asts,9.0
Chris Cenac Jr.,HOU,Rebs+Asts,7.0
Chris Cenac Jr.,HOU,Blks+Stls,1.0
Joseph Tugler,HOU,Points,4.0
Joseph Tugler,HOU,Rebounds,3.0
Joseph Tugler,HOU,Assists,0.0
Joseph Tugler,HOU,Blocked Shots,2.0
Joseph Tugler,HOU,Steals,0.0
Joseph Tugler,HOU,Turnovers,1.0
Joseph Tugler,HOU,FG Made,1.0
Joseph Tugler,HOU,FG Attempted,2.0
Joseph Tugler,HOU,3-PT Made,0.0
Joseph Tugler,HOU,3-PT Attempted,0.0
Joseph Tugler,HOU,Two Pointers Made,1.0
Joseph Tugler,HOU,Two Pointers Attempted,2.0
Joseph Tugler,HOU,Free Throws Made,2.0
Joseph Tugler,HOU,Free Throws Attempted,2.0
Joseph Tugler,HOU,Offensive Rebounds,2.0
Joseph Tugler,HOU,Defensive Rebounds,1.0
Joseph Tugler,HOU,Personal Fouls,2.0
Joseph Tugler,HOU,Fantasy Score,11.2
Joseph Tugler,HOU,Pts+Rebs+Asts,7.0
Joseph Tugler,HOU,PRA,7.0
Joseph Tugler,HOU,Pts+Rebs,7.0
Joseph Tugler,HOU,Pts+Asts,4.0
Joseph Tugler,HOU,Rebs+Asts,3.0
Joseph Tugler,HOU,Blks+Stls,2.0
Kingston Flemings,HOU,Points,16.0
Kingston Flemings,HOU,Rebounds,2.0
Kingston Flemings,HOU,Assists,2.0
Kingston Flemings,HOU,Blocked Shots,0.0
Kingston Flemings,HOU,Steals,1.0
Kingston Flemings,HOU,Turnovers,1.0
Kingston Flemings,HOU,FG Made,6.0
Kingston Flemings,HOU,FG Attempted,18.0
Kingston Flemings,HOU,3-PT Made,1.0
Kingston Flemings,HOU,3-PT Attempted,3.0
Kingston Flemings,HOU,Two Pointers Made,5.0
Kingston Flemings,HOU,Two Pointers Attempted,15.0
Kingston Flemings,HOU,Free Throws Made,3.0
Kingston Flemings,HOU,Free Throws Attempted,3.0
Kingston Flemings,HOU,Offensive Rebounds,0.0
Kingston Flemings,HOU,Defensive Rebounds,2.0
Kingston Flemings,HOU,Personal Fouls,2.0
Kingston Flemings,HOU,Fantasy Score,28.0
Kingston Flemings,HOU,Pts+Rebs+Asts,20.0
Kingston Flemings,HOU,PRA,20.0
Kingston Flemings,HOU,Pts+Rebs,18.0
Kingston Flemings,HOU,Pts+Asts,18.0
Kingston Flemings,HOU,Rebs+Asts,4.0
Kingston Flemings,HOU,Blks+Stls,1.0
Milos Uzan,HOU,Points,7.0
Milos Uzan,HOU,Rebounds,0.0
Milos Uzan,HOU,Assists,3.0
Milos Uzan,HOU,Blocked Shots,0.0
Milos Uzan,HOU,Steals,0.0
Milos Uzan,HOU,Turnovers,1.0
Milos Uzan,HOU,FG Made,3.0
Milos Uzan,HOU,FG Attempted,7.0
Milos Uzan,HOU,3-PT Made,1.0
Milos Uzan,HOU,3-PT Attempted,4.0
Milos Uzan,HOU,Two Pointers Made,2.0
Milos Uzan,HOU,Two Pointers Attempted,3.0
Milos Uzan,HOU,Free Throws Made,0.0
Milos Uzan,HOU,Free Throws Attempted,0.0
Milos Uzan,HOU,Offensive Rebounds,0.0
Milos Uzan,HOU,Defensive Rebounds,0.0
Milos Uzan,HOU,Personal Fouls,1.0
Milos Uzan,HOU,Fantasy Score,11.5
Milos Uzan,HOU,Pts+Rebs+Asts,10.0
Milos Uzan,HOU,PRA,10.0
Milos Uzan,HOU,Pts+Rebs,7.0
Milos Uzan,HOU,Pts+Asts,10.0
Milos Uzan,HOU,Rebs+Asts,3.0
Milos Uzan,HOU,Blks+Stls,0.0
Emanuel Sharp,HOU,Points,5.0
Emanuel Sharp,HOU,Rebounds,4.0
Emanuel Sharp,HOU,Assists,2.0
Emanuel Sharp,HOU,Blocked Shots,0.0
Emanuel Sharp,HOU,Steals,1.0
Emanuel Sharp,HOU,Turnovers,1.0
