player,team,prop_type,actual
Julian Champagnie,SA,Points,17.0
Julian Champagnie,SA,Rebounds,6.0
Julian Champagnie,SA,Assists,1.0
Julian Champagnie,SA,Blocked Shots,2.0
Julian Champagnie,SA,Steals,1.0
Julian Champagnie,SA,Turnovers,1.0
Julian Champagnie,SA,FG Made,6.0
Julian Champagnie,SA,FG Attempted,12.0
Julian Champagnie,SA,3-PT Made,5.0
Julian Champagnie,SA,3-PT Attempted,8.0
Julian Champagnie,SA,Two Pointers Made,1.0
Julian Champagnie,SA,Two Pointers Attempted,4.0
Julian Champagnie,SA,Free Throws Made,0.0
Julian Champagnie,SA,Free Throws Attempted,0.0
Julian Champagnie,SA,Offensive Rebounds,0.0
Julian Champagnie,SA,Defensive Rebounds,6.0
Julian Champagnie,SA,Personal Fouls,3.0
Julian Champagnie,SA,Fantasy Score,38.5
Julian Champagnie,SA,Pts+Rebs+Asts,24.0
Julian Champagnie,SA,PRA,24.0
Julian Champagnie,SA,Pts+Rebs,23.0
Julian Champagnie,SA,Pts+Asts,18.0
Julian Champagnie,SA,Rebs+Asts,7.0
Julian Champagnie,SA,Blks+Stls,3.0
Victor Wembanyama,SA,Points,21.0
Victor Wembanyama,SA,Rebounds,17.0
Victor Wembanyama,SA,Assists,4.0
Victor Wembanyama,SA,Blocked Shots,6.0
Victor Wembanyama,SA,Steals,1.0
Victor Wembanyama,SA,Turnovers,3.0
Victor Wembanyama,SA,FG Made,6.0
Victor Wembanyama,SA,FG Attempted,16.0
Victor Wembanyama,SA,3-PT Made,2.0
Victor Wembanyama,SA,3-PT Attempted,5.0
Victor Wembanyama,SA,Two Pointers Made,4.0
Victor Wembanyama,SA,Two Pointers Attempted,11.0
Victor Wembanyama,SA,Free Throws Made,7.0
Victor Wembanyama,SA,Free Throws Attempted,8.0
Victor Wembanyama,SA,Offensive Rebounds,8.0
Victor Wembanyama,SA,Defensive Rebounds,9.0
Victor Wembanyama,SA,Personal Fouls,4.0
Victor Wembanyama,SA,Fantasy Score,72.2
Victor Wembanyama,SA,Pts+Rebs+Asts,42.0
Victor Wembanyama,SA,PRA,42.0
Victor Wembanyama,SA,Pts+Rebs,38.0
Victor Wembanyama,SA,Pts+Asts,25.0
Victor Wembanyama,SA,Rebs+Asts,21.0
Victor Wembanyama,SA,Blks+Stls,7.0
De'Aaron Fox,SA,Points,10.0
De'Aaron Fox,SA,Rebounds,7.0
De'Aaron Fox,SA,Assists,7.0
De'Aaron Fox,SA,Blocked Shots,0.0
De'Aaron Fox,SA,Steals,2.0
De'Aaron Fox,SA,Turnovers,2.0
De'Aaron Fox,SA,FG Made,4.0
De'Aaron Fox,SA,FG Attempted,17.0
De'Aaron Fox,SA,3-PT Made,0.0
De'Aaron Fox,SA,3-PT Attempted,5.0
De'Aaron Fox,SA,Two Pointers Made,4.0
De'Aaron Fox,SA,Two Pointers Attempted,12.0
De'Aaron Fox,SA,Free Throws Made,2.0
De'Aaron Fox,SA,Free Throws Attempted,4.0
De'Aaron Fox,SA,Offensive Rebounds,0.0
De'Aaron Fox,SA,Defensive Rebounds,7.0
De'Aaron Fox,SA,Personal Fouls,2.0
De'Aaron Fox,SA,Fantasy Score,36.8
De'Aaron Fox,SA,Pts+Rebs+Asts,24.0
De'Aaron Fox,SA,PRA,24.0
De'Aaron Fox,SA,Pts+Rebs,17.0
De'Aaron Fox,SA,Pts+Asts,17.0
De'Aaron Fox,SA,Rebs+Asts,14.0
De'Aaron Fox,SA,Blks+Stls,2.0
Devin Vassell,SA,Points,28.0
Devin Vassell,SA,Rebounds,2.0
Devin Vassell,SA,Assists,4.0
Devin Vassell,SA,Blocked Shots,1.0
Devin Vassell,SA,Steals,0.0
Devin Vassell,SA,Turnovers,1.0
Devin Vassell,SA,FG Made,10.0
Devin Vassell,SA,FG Attempted,14.0
Devin Vassell,SA,3-PT Made,7.0
Devin Vassell,SA,3-PT Attempted,11.0
Devin Vassell,SA,Two Pointers Made,3.0
Devin Vassell,SA,Two Pointers Attempted,3.0
Devin Vassell,SA,Free Throws Made,1.0
Devin Vassell,SA,Free Throws Attempted,2.0
Devin Vassell,SA,Offensive Rebounds,1.0
Devin Vassell,SA,Defensive Rebounds,1.0
Devin Vassell,SA,Personal Fouls,2.0
Devin Vassell,SA,Fantasy Score,46.0
Devin Vassell,SA,Pts+Rebs+Asts,34.0
Devin Vassell,SA,PRA,34.0
Devin Vassell,SA,Pts+Rebs,30.0
Devin Vassell,SA,Pts+Asts,32.0
Devin Vassell,SA,Rebs+Asts,6.0
Devin Vassell,SA,Blks+Stls,1.0
Stephon Castle,SA,Points,16.0
Stephon Castle,SA,Rebounds,4.0
Stephon Castle,SA,Assists,11.0
Stephon Castle,SA,Blocked Shots,1.0
Stephon Castle,SA,Steals,1.0
Stephon Castle,SA,Turnovers,4.0
Stephon Castle,SA,FG Made,7.0
Stephon Castle,SA,FG Attempted,16.0
Stephon Castle,SA,3-PT Made,1.0
Stephon Castle,SA,3-PT Attempted,1.0
Stephon Castle,SA,Two Pointers Made,6.0
Stephon Castle,SA,Two Pointers Attempted,15.0
Stephon Castle,SA,Free Throws Made,1.0
Stephon Castle,SA,Free Throws Attempted,3.0
Stephon Castle,SA,Offensive Rebounds,0.0
Stephon Castle,SA,Defensive Rebounds,4.0
Stephon Castle,SA,Personal Fouls,2.0
Stephon Castle,SA,Fantasy Score,50.5
Stephon Castle,SA,Pts+Rebs+Asts,31.0
Stephon Castle,SA,PRA,31.0
Stephon Castle,SA,Pts+Rebs,20.0
Stephon Castle,SA,Pts+Asts,27.0
Stephon Castle,SA,Rebs+Asts,15.0
Stephon Castle,SA,Blks+Stls,2.0
Harrison Barnes,SA,Points,3.0
Harrison Barnes,SA,Rebounds,2.0
Harrison Barnes,SA,Assists,1.0
Harrison Barnes,SA,Blocked Shots,0.0
Harrison Barnes,SA,Steals,0.0
Harrison Barnes,SA,Turnovers,0.0
Harrison Barnes,SA,FG Made,1.0
Harrison Barnes,SA,FG Attempted,4.0
Harrison Barnes,SA,3-PT Made,1.0
Harrison Barnes,SA,3-PT Attempted,4.0
Harrison Barnes,SA,Two Pointers Made,0.0
Harrison Barnes,SA,Two Pointers Attempted,0.0
Harrison Barnes,SA,Free Throws Made,0.0
Harrison Barnes,SA,Free Throws Attempted,0.0
Harrison Barnes,SA,Offensive Rebounds,0.0
Harrison Barnes,SA,Defensive Rebounds,2.0
Harrison Barnes,SA,Personal Fouls,0.0
Harrison Barnes,SA,Fantasy Score,7.5
Harrison Barnes,SA,Pts+Rebs+Asts,6.0
Harrison Barnes,SA,PRA,6.0
Harrison Barnes,SA,Pts+Rebs,5.0
Harrison Barnes,SA,Pts+Asts,4.0
Harrison Barnes,SA,Rebs+Asts,3.0
Harrison Barnes,SA,Blks+Stls,0.0
Keldon Johnson,SA,Points,9.0
Keldon Johnson,SA,Rebounds,4.0
Keldon Johnson,SA,Assists,0.0
Keldon Johnson,SA,Blocked Shots,0.0
Keldon Johnson,SA,Steals,1.0
Keldon Johnson,SA,Turnovers,0.0
Keldon Johnson,SA,FG Made,4.0
Keldon Johnson,SA,FG Attempted,11.0
Keldon Johnson,SA,3-PT Made,1.0
Keldon Johnson,SA,3-PT Attempted,4.0
Keldon Johnson,SA,Two Pointers Made,3.0
