player,team,prop_type,actual
Cameron Boozer,DUKE,Points,24.0
Cameron Boozer,DUKE,Rebounds,13.0
Cameron Boozer,DUKE,Assists,2.0
Cameron Boozer,DUKE,Blocked Shots,0.0
Cameron Boozer,DUKE,Steals,3.0
Cameron Boozer,DUKE,Turnovers,0.0
Cameron Boozer,DUKE,FG Made,5.0
Cameron Boozer,DUKE,FG Attempted,8.0
Cameron Boozer,DUKE,3-PT Made,2.0
Cameron Boozer,DUKE,3-PT Attempted,2.0
Cameron Boozer,DUKE,Two Pointers Made,3.0
Cameron Boozer,DUKE,Two Pointers Attempted,6.0
Cameron Boozer,DUKE,Free Throws Made,12.0
Cameron Boozer,DUKE,Free Throws Attempted,14.0
Cameron Boozer,DUKE,Offensive Rebounds,4.0
Cameron Boozer,DUKE,Defensive Rebounds,9.0
Cameron Boozer,DUKE,Personal Fouls,0.0
Cameron Boozer,DUKE,Fantasy Score,60.8
Cameron Boozer,DUKE,Pts+Rebs+Asts,39.0
Cameron Boozer,DUKE,PRA,39.0
Cameron Boozer,DUKE,Pts+Rebs,37.0
Cameron Boozer,DUKE,Pts+Asts,26.0
Cameron Boozer,DUKE,Rebs+Asts,15.0
Cameron Boozer,DUKE,Blks+Stls,3.0
Patrick Ngongba II,DUKE,Points,13.0
Patrick Ngongba II,DUKE,Rebounds,3.0
Patrick Ngongba II,DUKE,Assists,2.0
Patrick Ngongba II,DUKE,Blocked Shots,0.0
Patrick Ngongba II,DUKE,Steals,0.0
Patrick Ngongba II,DUKE,Turnovers,3.0
Patrick Ngongba II,DUKE,FG Made,4.0
Patrick Ngongba II,DUKE,FG Attempted,5.0
Patrick Ngongba II,DUKE,3-PT Made,0.0
Patrick Ngongba II,DUKE,3-PT Attempted,0.0
Patrick Ngongba II,DUKE,Two Pointers Made,4.0
Patrick Ngongba II,DUKE,Two Pointers Attempted,5.0
Patrick Ngongba II,DUKE,Free Throws Made,5.0
Patrick Ngongba II,DUKE,Free Throws Attempted,6.0
Patrick Ngongba II,DUKE,Offensive Rebounds,1.0
Patrick Ngongba II,DUKE,Defensive Rebounds,2.0
Patrick Ngongba II,DUKE,Personal Fouls,4.0
Patrick Ngongba II,DUKE,Fantasy Score,22.8
Patrick Ngongba II,DUKE,Pts+Rebs+Asts,18.0
Patrick Ngongba II,DUKE,PRA,18.0
