projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_shots_on_goal_(combo),last2_shots_on_goal_(combo),last3_shots_on_goal_(combo),last1_hits,last2_hits,last3_hits,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_points,last2_points,last3_points,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,last1_assists,last2_assists,last3_assists,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_goals,last2_goals,last3_goals,last1_plus/minus,last2_plus/minus,last3_plus/minus
10428180,57769,Adrian Kempe,LA,F,Shots On Goal,4.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8477960,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.0,3.1,2.5,2.567,30,12.3,12.45,9.45,9.05,19.443,19.21,,,,17.5,9.5,14.0,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,
10428190,173242,Alex Laferriere,LA,F,Shots On Goal,4.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8482155,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.4,2.8,2.55,2.833,30,8.3,6.3,6.575,7.383,18.261,18.439,,,,15.5,0.0,18.5,,,,,,,,,,,,,5,0,7,,,,,,,,,,,,,,,,,,,,,
10428199,302130,Artemi Panarin,LA,F,Shots On Goal,4.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8478550,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,2.2,2.7,2.8,3.3,30,8.9,10.75,11.75,12.15,21.231,21.093,,,,16.0,1.5,9.5,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,
10428227,218256,Kirill Marchenko,CBJ,F,Shots On Goal,4.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8480893,,,,,,,,,,2.6,2.5,2.45,2.3,30,7.9,8.65,8.225,8.317,16.753,18.168,,,,6.5,8.0,3.0,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,
10428254,218289,Zach Werenski,CBJ,D,Shots On Goal,4.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8478460,,,,,,,,,,2.6,3.7,4.0,3.533,30,12.7,11.45,10.45,10.5,23.715,26.626,,,,17.5,17.5,11.0,,,,,,,,,,,,,3,5,2,,,,,,,,,,,,,,,,,,,,,
10424925,302130,Artemi Panarin,LA,F,Shots On Goal,3.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8478550,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,2.2,2.7,2.8,3.3,30,8.9,10.75,11.75,12.15,21.231,21.093,,,,16.0,1.5,9.5,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,
10424988,218289,Zach Werenski,CBJ,D,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8478460,,,,,,,,,,2.6,3.7,4.0,3.533,30,12.7,11.45,10.45,10.5,23.715,26.626,,,,17.5,17.5,11.0,,,,,,,,,,,,,3,5,2,,,,,,,,,,,,,,,,,,,,,
10428171,218255,Adam Fantilli,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8484166,,,,,,,,,,2.6,2.5,2.65,2.667,30,13.5,11.45,9.925,9.6,15.598,17.916,,,,12.5,12.5,19.0,,,,,,,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,
10428181,57769,Adrian Kempe,LA,F,Shots On Goal,3.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8477960,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.0,3.1,2.5,2.567,30,12.3,12.45,9.45,9.05,19.443,19.21,,,,17.5,9.5,14.0,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,
10428189,173242,Alex Laferriere,LA,F,Shots On Goal,3.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8482155,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.4,2.8,2.55,2.833,30,8.3,6.3,6.575,7.383,18.261,18.439,,,,15.5,0.0,18.5,,,,,,,,,,,,,5,0,7,,,,,,,,,,,,,,,,,,,,,
10428226,218256,Kirill Marchenko,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8480893,,,,,,,,,,2.6,2.5,2.45,2.3,30,7.9,8.65,8.225,8.317,16.753,18.168,,,,6.5,8.0,3.0,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,
10428236,86998,Quinton Byfield,LA,F,Shots On Goal,3.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8482124,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,2.6,1.7,2.0,1.933,30,8.1,6.25,7.2,6.133,19.215,19.808,,,,8.0,3.0,22.0,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,
10428245,59042,Trevor Moore,LA,F,Shots On Goal,3.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8479675,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,2.8,2.0,2.1,1.833,30,6.8,4.3,4.6,4.983,16.3,15.97,,,,7.5,9.5,6.0,,,,,,,,,,,,,5,3,4,,,,,,,,,,,,,,,,,,,,,
10428304,221574,Brandt Clarke,LA,D,Shots On Goal,3.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8482730,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,1.8,2.0,2.05,2.067,30,8.9,7.1,6.775,6.4,21.947,20.526,,,,13.0,11.0,6.0,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,
10429714,57978,Boone Jenner,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8476432,,,,,,,,,,2.8,2.7,2.9,2.692,26,5.8,6.65,8.4,8.5,17.98,17.985,,,,4.5,6.0,0.0,,,,,,,,,,,,,3,4,0,,,,,,,,,,,,,,,,,,,,,
10429715,265265,Charlie Coyle,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8475745,,,,,,,,,,2.4,1.6,1.15,1.4,30,12.2,8.5,5.275,5.267,15.864,16.214,,,,22.5,11.0,8.0,,,,,,,,,,,,,3,4,2,,,,,,,,,,,,,,,,,,,,,
10429728,172391,Ivan Provorov,CBJ,D,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8478500,,,,,,,,,,0.6,1.0,1.25,1.4,30,2.9,3.0,3.125,4.5,23.535,23.523,,,,0.0,5.0,6.5,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
10429734,287698,Mason Marchment,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8478975,,,,,,,,,,2.2,2.2,1.95,1.867,30,7.5,9.5,7.975,7.133,14.841,14.855,,,,9.5,3.0,15.5,,,,,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,
10429737,218259,Sean Monahan,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8477497,,,,,,,,,,1.0,2.0,1.85,2.1,30,9.1,11.0,11.225,10.083,17.014,19.14,,,,5.0,13.0,5.0,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,
10432035,305144,Conor Garland,CBJ,F,Shots On Goal,3.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8478856,,,,,,,,,,1.8,1.7,1.85,1.967,30,7.7,6.35,6.475,6.117,18.157,17.546,,,,9.5,1.5,1.5,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
10424916,57769,Adrian Kempe,LA,F,Shots On Goal,2.5,goblin,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8477960,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.0,3.1,2.5,2.567,30,12.3,12.45,9.45,9.05,19.443,19.21,,,,17.5,9.5,14.0,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,
