projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id
10404529,268295,Beckett Sennecke,ANA,F,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484762
10404548,218311,Dylan Holloway,STL,F,Shots On Goal,2.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8482077
10404572,268035,Jimmy Snuggerud,STL,F,Shots On Goal,2.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8483516
10404580,173423,Leo Carlsson,ANA,F,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484153
10409578,218287,Alex Killorn,ANA,F,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8473986
10409591,267737,Chris Kreider,ANA,F,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8475184
10409601,215935,Cutter Gauthier,ANA,F,Shots On Goal,2.5,goblin,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8483445
10409615,218355,Jackson LaCombe,ANA,D,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8481605
10409618,221656,Jacob Trouba,ANA,D,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8476885
10409643,87297,Mason McTavish,ANA,F,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8482745
10409648,218232,Pavel Buchnevich,STL,F,Shots On Goal,2.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8477402
10409654,58601,Robert Thomas,STL,F,Shots On Goal,2.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8480023
10409971,221656,Jacob Trouba,ANA,D,Blocked Shots,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,blocked_shots,SKATER,STL,1,8476885
10409991,267739,Mikael Granlund,ANA,F,Shots On Goal,2.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8475798
