rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,sample_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge
1,A,Kirill Kaprizov,MIN,COL,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,95.8%,100.0%,100.0%,85.0%,80.0%,5,10,20,30,3.80,3.80,3.90,3.77,-1.7,-1.7,3,4,1,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.188,0.453,22.09,22.38,1.21240,0.4575
2,A,Valeri Nichushkin,COL,MIN,1,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,99.0%,100.0%,100.0%,100.0%,90.0%,5,10,20,30,2.60,3.10,2.80,3.07,-1.9,-1.4,1,1,4,30,SECONDARY,PP_OCC,ELITE,6,2.891,0.000,0.000,0.698,0.075,21.19,17.93,1.18880,0.4900
3,A,Quinn Hughes,MIN,COL,0,SKATER,D,Shots On Goal,shots_on_goal,4.5,UNDER,93.2%,100.0%,90.0%,85.0%,90.0%,5,10,20,30,3.20,2.50,2.70,2.63,-1.3,-2.0,5,5,0,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.250,0.531,27.09,27.98,1.18440,0.4325
4,A,Valeri Nichushkin,COL,MIN,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,97.9%,100.0%,100.0%,95.0%,86.7%,5,10,20,30,2.60,3.10,2.80,3.07,-0.9,-0.4,1,1,4,30,SECONDARY,PP_OCC,ELITE,6,2.891,0.000,0.000,0.698,0.075,21.19,17.93,1.17670,0.4792
5,A,Cale Makar,COL,MIN,1,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.065,0.371,26.74,25.05,1.17000,0.5000
6,A,Cale Makar,COL,MIN,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.065,0.371,26.74,25.05,1.17000,0.5000
7,A,Cale Makar,COL,MIN,1,SKATER,D,Blocked Shots,blocked_shots,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.065,0.371,26.74,25.05,1.17000,0.5000
8,A,Connor Bedard,CHI,DAL,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,2.40,2.40,2.60,2.40,-3.1,-3.1,4,0,3,30,ELITE,PP_REGULAR,ELITE,3,2.742,0.000,0.000,1.163,0.347,20.66,20.93,1.16280,0.4400
9,A,Jack Eichel,VGK,EDM,1,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,97.8%,100.0%,100.0%,90.0%,93.3%,5,10,20,30,2.80,2.70,2.75,2.83,-2.7,-2.8,2,4,2,30,ELITE,PP1_STAR,WEAK,27,3.429,0.000,0.000,1.273,0.436,18.94,21.33,1.15570,0.4783
10,A,Jason Robertson,DAL,CHI,1,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,1.60,1.60,1.85,2.43,-3.9,-3.9,0,1,3,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.194,0.500,16.42,19.95,1.15280,0.4400
