projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10513515,218355,Jackson LaCombe,ANA,D,Time On Ice,24.5,standard,False,TOR,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,time_on_ice,SKATER,TOR,0,8481605,3.531,0.0,0.0,3.156,0.0,0.0,64.0,31.0,WEAK,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.5,5,5,10,0.4,8,12,20,0.4667,30,0.5217,OVER,0.0217,D,D,SECONDARY,PP_REGULAR,0.703,0.125,0.219,24.48
10513516,218276,Auston Matthews,TOR,F,Time On Ice,21.5,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,time_on_ice,SKATER,ANA,1,8479318,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.4,4,6,10,0.45,9,11,20,0.3667,30,0.4042,UNDER,0.0958,C,F,SECONDARY,PP_OCC,0.881,0.441,0.186,20.93
10513517,218277,Morgan Rielly,TOR,D,Time On Ice,21,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,time_on_ice,SKATER,ANA,1,8476853,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.4,4,6,10,0.4,8,12,20,0.4667,30,0.4867,UNDER,0.0133,D,D,DEPTH,PP_OCC,0.516,0.129,0.097,21.48
10533347,218276,Auston Matthews,TOR,F,Faceoffs Won,10,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,faceoffs_won,SKATER,ANA,1,8479318,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,SECONDARY,PP_OCC,0.881,0.441,0.186,20.93
10533355,58166,John Tavares,TOR,F,Faceoffs Won,9.5,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,faceoffs_won,SKATER,ANA,1,8475166,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,SECONDARY,PP_OCC,0.8,0.338,0.169,17.9
10532918,189024,Ross Johnston,ANA,F,Hits,3,standard,False,TOR,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,hits,SKATER,TOR,0,8477527,3.531,0.0,0.0,3.156,0.0,0.0,64.0,31.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,L,F,SHUTDOWN,NO_PP,0.226,0.048,0.0,9.75
10532920,267668,Dakota Joshua,TOR,F,Hits,3,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,hits,SKATER,ANA,1,8478057,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,DEPTH,NO_PP,0.279,0.163,0.0,12.23
10532919,218304,Simon Benoit,TOR,D,Hits,2.5,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,hits,SKATER,ANA,1,8481122,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,D,D,SHUTDOWN,NO_PP,0.07,0.0,0.0,17.17
10532930,222986,Steven Lorentz,TOR,F,Hits,1.5,standard,False,ANA,ANA,TOR,2026-03-12T19:00:00.000-04:00,135121,2026-03-12T21:01:55Z,hits,SKATER,ANA,1,8478904,3.508,0.0,0.0,3.349,0.0,0.0,63.0,30.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,SHUTDOWN,NO_PP,0.246,0.07,0.0,11.68
10513500,218282,Colton Parayko,STL,D,Time On Ice,21.5,standard,False,CAR,STL,CAR,2026-03-12T19:00:00.000-04:00,135126,2026-03-12T21:01:55Z,time_on_ice,SKATER,CAR,0,8476892,2.905,0.0,0.0,3.556,0.0,0.0,63.0,7.0,ELITE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.7,7,3,10,0.65,13,7,20,0.6667,30,0.6492,OVER,0.1492,D,D,SHUTDOWN,NO_PP,0.237,0.017,0.0,22.38
10513501,218224,Sebastian Aho,CAR,F,Time On Ice,19.5,standard,False,STL,STL,CAR,2026-03-12T19:00:00.000-04:00,135126,2026-03-12T21:01:55Z,time_on_ice,SKATER,STL,1,8478427,3.365,0.0,0.0,2.635,0.0,0.0,63.0,25.0,WEAK,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.4,4,6,10,0.45,9,11,20,0.4667,30,0.4142,UNDER,0.0858,C,F,ELITE,PP_REGULAR,1.031,0.359,0.344,19.77
10513499,58601,Robert Thomas,STL,F,Time On Ice,19,standard,False,CAR,STL,CAR,2026-03-12T19:00:00.000-04:00,135126,2026-03-12T21:01:55Z,time_on_ice,SKATER,CAR,0,8480023,2.905,0.0,0.0,3.556,0.0,0.0,63.0,7.0,ELITE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.2,1,4,5,0.3,3,7,10,0.55,11,9,20,0.6333,30,0.3308,UNDER,0.1692,C,F,SECONDARY,PP_OCC,0.894,0.319,0.191,18.85
