assists_avg_L10,assists_avg_L20,assists_avg_L5,assists_avg_season,assists_games_played,blocked_shots_avg_L10,blocked_shots_avg_L20,blocked_shots_avg_L5,blocked_shots_avg_season,blocked_shots_games_played,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_L5,fantasy_score_avg_season,fantasy_score_games_played,games_fetched,goals_allowed_avg_L10,goals_allowed_avg_L20,goals_allowed_avg_L5,goals_allowed_avg_season,goals_allowed_games_played,goals_avg_L10,goals_avg_L20,goals_avg_L5,goals_avg_season,goals_games_played,hits_avg_L10,hits_avg_L20,hits_avg_L5,hits_avg_season,hits_games_played,last1_assists,last1_blocked_shots,last1_fantasy_score,last1_goals,last1_goals_allowed,last1_hits,last1_points,last1_save_pct,last1_saves,last1_shots_against,last1_shots_on_goal,last1_toi_min,last2_assists,last2_blocked_shots,last2_fantasy_score,last2_goals,last2_goals_allowed,last2_hits,last2_points,last2_save_pct,last2_saves,last2_shots_against,last2_shots_on_goal,last2_toi_min,last3_assists,last3_blocked_shots,last3_fantasy_score,last3_goals,last3_goals_allowed,last3_hits,last3_points,last3_save_pct,last3_saves,last3_shots_against,last3_shots_on_goal,last3_toi_min,nhl_player_id,player_role,points_avg_L10,points_avg_L20,points_avg_L5,points_avg_season,points_games_played,save_pct_avg_L10,save_pct_avg_L20,save_pct_avg_L5,save_pct_avg_season,save_pct_games_played,saves_avg_L10,saves_avg_L20,saves_avg_L5,saves_avg_season,saves_games_played,shots_against_avg_L10,shots_against_avg_L20,shots_against_avg_L5,shots_against_avg_season,shots_against_games_played,shots_on_goal_avg_L10,shots_on_goal_avg_L20,shots_on_goal_avg_L5,shots_on_goal_avg_season,shots_on_goal_games_played,toi_min_avg_L10,toi_min_avg_L20,toi_min_avg_L5,toi_min_avg_season,toi_min_games_played
1.3,1.0,1.8,0.9,30,0.0,0.0,0.0,0.0,30,17.75,14.05,16.8,14.867,30,30,,,,,,0.9,0.55,0.6,0.633,30,0.0,0.0,0.0,0.0,30,1,0,14.5,1,,0,2,,,,1,21.02,2,0,14.5,0,,0,2,,,,3,18.27,1,0,17.5,1,,0,2,,,,3,17.37,8477956,SKATER,2.2,1.55,2.4,1.533,30,,,,,,,,,,,,,,,,2.7,3.1,2.0,3.533,30,18.946,19.842,18.692,20.674,30
0.4,0.4,0.4,0.367,30,0.0,0.0,0.0,0.0,30,8.0,8.025,7.8,6.717,30,30,,,,,,0.3,0.35,0.2,0.267,30,0.0,0.0,0.0,0.0,30,0,0,4.5,0,,0,0,,,,3,16.0,0,0,0.0,0,,0,0,,,,0,16.0,1,0,22.0,1,,0,2,,,,6,15.12,8471215,SKATER,0.7,0.75,0.6,0.633,30,,,,,,,,,,,,,,,,2.4,2.15,2.8,1.833,30,17.254,17.424,16.22,16.817,30
0.6,0.5,0.6,0.433,30,0.0,0.0,0.0,0.0,30,9.5,7.825,10.1,7.917,30,30,,,,,,0.4,0.3,0.4,0.3,30,0.0,0.0,0.0,0.0,30,1,0,5.0,0,,0,1,,,,0,18.77,1,0,17.5,1,,0,2,,,,3,16.15,1,0,11.0,0,,0,1,,,,4,18.83,8477496,SKATER,1.0,0.8,1.0,0.733,30,,,,,,,,,,,,,,,,2.2,1.95,2.6,2.233,30,17.403,17.139,17.646,18.199,30
0.4,0.3,0.2,0.233,30,0.0,0.0,0.0,0.0,30,4.3,3.4,4.1,2.883,30,30,,,,,,0.1,0.05,0.2,0.033,30,0.0,0.0,0.0,0.0,30,1,0,6.5,0,,0,1,,,,1,19.85,0,0,0.0,0,,0,0,,,,0,20.67,0,0,11.0,1,,0,1,,,,2,19.12,8477365,SKATER,0.5,0.35,0.4,0.267,30,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.967,30,18.881,18.334,19.408,16.843,30
0.0,0.05,0.0,0.067,30,0.0,0.0,0.0,0.0,30,2.15,2.075,0.0,2.267,30,30,,,,,,0.1,0.05,0.0,0.067,30,0.0,0.0,0.0,0.0,30,0,0,0.0,0,,0,0,,,,0,10.78,0,0,0.0,0,,0,0,,,,0,10.33,0,0,0.0,0,,0,0,,,,0,7.72,8480355,SKATER,0.1,0.1,0.0,0.133,30,,,,,,,,,,,,,,,,0.9,0.95,0.0,0.933,30,10.247,9.319,9.336,9.858,30
0.2,0.1,0.4,0.1,30,0.0,0.0,0.0,0.0,30,4.25,2.5,7.3,2.283,30,30,,,,,,0.2,0.1,0.4,0.067,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,7.45,1,0,17.5,1,,0,2,,,,3,10.78,1,0,14.5,1,,0,2,,,,1,13.58,8479661,SKATER,0.4,0.2,0.8,0.167,30,,,,,,,,,,,,,,,,1.1,0.8,1.4,0.833,30,9.58,9.857,9.964,10.228,30
0.3,0.6,0.4,0.533,30,0.0,0.0,0.0,0.0,30,4.95,7.85,4.4,7.283,30,30,,,,,,0.0,0.1,0.0,0.133,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,15.65,0,0,6.0,0,,0,0,,,,4,26.38,1,0,5.0,0,,0,1,,,,0,26.52,8474600,SKATER,0.3,0.7,0.4,0.667,30,,,,,,,,,,,,,,,,2.3,2.7,1.6,2.367,30,24.133,25.376,23.84,24.608,30
0.7,0.65,0.8,0.667,30,0.0,0.0,0.0,0.0,30,11.45,10.45,12.7,10.5,30,30,,,,,,0.3,0.15,0.6,0.233,30,0.0,0.0,0.0,0.0,30,1,0,17.5,1,,0,2,,,,3,23.45,2,0,17.5,0,,0,2,,,,5,25.72,0,0,11.0,1,,0,1,,,,2,25.07,8478460,SKATER,1.0,0.8,1.4,0.9,30,,,,,,,,,,,,,,,,3.7,4.0,2.6,3.533,30,23.715,26.063,23.342,26.626,30
0.7,0.6,0.8,0.433,30,0.0,0.0,0.0,0.0,30,9.65,10.375,10.5,9.917,30,30,,,,,,0.3,0.35,0.4,0.4,30,0.0,0.0,0.0,0.0,30,2,0,10.0,0,,0,2,,,,0,13.6,1,0,9.5,0,,0,1,,,,3,17.27,0,0,1.5,0,,0,0,,,,1,18.08,8476887,SKATER,1.0,0.95,1.2,0.833,30,,,,,,,,,,,,,,,,2.5,3.05,2.2,3.033,30,18.309,18.351,17.268,18.342,30
0.1,0.15,0.0,0.267,30,0.0,0.0,0.0,0.0,30,11.45,9.925,13.5,9.6,30,30,,,,,,0.9,0.65,1.2,0.533,30,0.0,0.0,0.0,0.0,30,0,0,12.5,1,,0,1,,,,3,19.15,0,0,12.5,1,,0,1,,,,3,16.82,0,0,19.0,2,,0,2,,,,2,13.9,8484166,SKATER,1.0,0.8,1.2,0.8,30,,,,,,,,,,,,,,,,2.5,2.65,2.6,2.667,30,15.598,16.695,15.684,17.916,30
0.2,0.25,0.2,0.2,30,0.0,0.0,0.0,0.0,30,3.15,5.975,2.2,5.783,30,30,,,,,,0.1,0.3,0.0,0.267,30,0.0,0.0,0.0,0.0,30,0,0,0.0,0,,0,0,,,,0,14.22,0,0,6.0,0,,0,0,,,,4,13.1,0,0,0.0,0,,0,0,,,,0,11.15,8479671,SKATER,0.3,0.55,0.2,0.467,30,,,,,,,,,,,,,,,,0.9,1.55,0.8,1.767,30,14.348,14.747,14.0,14.826,30
0.6,0.5,0.8,0.533,30,0.0,0.0,0.0,0.0,30,7.6,6.65,8.9,6.967,30,30,,,,,,0.2,0.2,0.2,0.2,30,0.0,0.0,0.0,0.0,30,1,0,9.5,0,,0,1,,,,3,24.97,0,0,3.0,0,,0,0,,,,2,25.4,1,0,8.0,0,,0,1,,,,2,22.03,8479410,SKATER,0.8,0.7,1.0,0.733,30,,,,,,,,,,,,,,,,2.0,1.7,2.2,1.8,30,24.103,24.081,23.714,24.126,30
0.6,0.6,0.8,0.733,30,0.0,0.0,0.0,0.0,30,12.0,10.175,14.9,11.267,30,30,,,,,,0.6,0.4,0.8,0.4,30,0.0,0.0,0.0,0.0,30,0,0,11.0,1,,0,1,,,,2,17.55,2,0,33.5,2,,0,4,,,,5,18.7,0,0,4.5,0,,0,0,,,,3,17.25,8479343,SKATER,1.2,1.0,1.6,1.133,30,,,,,,,,,,,,,,,,2.8,2.65,3.0,2.933,30,17.991,18.8,18.692,19.156,30
0.5,0.6,0.4,0.5,30,0.0,0.0,0.0,0.0,30,13.7,13.15,11.9,13.45,30,30,,,,,,0.8,0.65,0.6,0.7,30,0.0,0.0,0.0,0.0,30,0,0,11.0,1,,0,1,,,,2,15.12,1,0,8.0,0,,0,1,,,,2,16.68,0,0,17.0,1,,0,1,,,,6,17.12,8471214,SKATER,1.3,1.25,1.0,1.2,30,,,,,,,,,,,,,,,,3.2,3.3,3.4,3.567,30,17.541,17.511,16.598,17.863,30
0.8,0.5,0.4,0.6,30,0.0,0.0,0.0,0.0,30,12.55,9.675,12.9,9.483,30,30,,,,,,0.6,0.55,0.8,0.467,30,0.0,0.0,0.0,0.0,30,1,0,6.5,0,,0,1,,,,1,13.17,0,0,33.0,3,,0,3,,,,6,17.55,1,0,8.0,0,,0,1,,,,2,16.48,8478440,SKATER,1.4,1.05,1.2,1.067,30,,,,,,,,,,,,,,,,2.5,1.85,3.0,1.833,30,16.946,16.779,16.48,17.045,30
0.4,0.35,0.6,0.3,30,0.0,0.0,0.0,0.0,30,4.6,4.35,5.7,4.1,30,30,,,,,,0.1,0.1,0.0,0.1,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,17.42,0,0,0.0,0,,0,0,,,,0,14.57,2,0,13.0,0,,0,2,,,,2,14.02,8480855,SKATER,0.5,0.45,0.6,0.4,30,,,,,,,,,,,,,,,,1.2,1.2,1.8,1.2,30,14.171,14.184,14.634,13.899,30
0.1,0.15,0.2,0.167,30,0.0,0.0,0.0,0.0,30,3.9,3.45,4.4,3.25,30,30,,,,,,0.2,0.15,0.2,0.133,30,0.0,0.0,0.0,0.0,30,0,0,0.0,0,,0,0,,,,0,15.45,1,0,8.0,0,,0,1,,,,2,16.75,0,0,1.5,0,,0,0,,,,1,11.98,8475343,SKATER,0.3,0.3,0.4,0.3,30,,,,,,,,,,,,,,,,1.2,1.0,1.2,0.9,30,14.298,14.582,14.946,14.521,30
0.1,0.2,0.0,0.4,30,0.0,0.0,0.0,0.0,30,3.55,3.575,2.1,4.167,30,30,,,,,,0.1,0.05,0.0,0.033,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,25.87,0,0,6.0,0,,0,0,,,,4,21.67,0,0,1.5,0,,0,0,,,,1,22.4,8478911,SKATER,0.2,0.25,0.0,0.433,30,,,,,,,,,,,,,,,,1.5,1.45,1.4,1.267,30,20.654,20.451,22.528,20.158,30
0.2,0.2,0.2,0.167,30,0.0,0.0,0.0,0.0,30,2.2,2.85,2.5,2.633,30,30,,,,,,0.0,0.1,0.0,0.1,30,0.0,0.0,0.0,0.0,30,0,0,0.0,0,,0,0,,,,0,11.57,0,0,1.5,0,,0,0,,,,1,13.72,0,0,1.5,0,,0,0,,,,1,10.88,8479520,SKATER,0.2,0.3,0.2,0.267,30,,,,,,,,,,,,,,,,0.8,0.7,1.0,0.667,30,12.998,12.664,12.774,12.677,30
0.7,0.55,0.8,0.667,30,0.0,0.0,0.0,0.0,30,10.9,9.65,12.9,10.517,30,30,,,,,,0.4,0.3,0.4,0.367,30,0.0,0.0,0.0,0.0,30,0,0,0.0,0,,0,0,,,,0,23.75,0,0,6.0,0,,0,0,,,,4,25.68,2,0,16.0,0,,0,2,,,,4,24.18,8480839,SKATER,1.1,0.85,1.2,1.033,30,,,,,,,,,,,,,,,,2.8,3.0,3.8,2.833,30,23.83,23.819,25.244,23.873,30
0.3,0.4,0.0,0.467,30,0.0,0.0,0.0,0.0,30,4.85,5.45,4.3,5.9,30,30,,,,,,0.1,0.15,0.2,0.133,30,0.0,0.0,0.0,0.0,30,0,0,11.0,1,,0,1,,,,2,21.65,0,0,3.0,0,,0,0,,,,2,22.4,0,0,4.5,0,,0,0,,,,3,24.77,8478396,SKATER,0.4,0.55,0.2,0.6,30,,,,,,,,,,,,,,,,1.7,1.5,1.8,1.667,30,21.65,22.304,22.088,21.727,30
0.5,0.8,0.0,0.633,30,0.0,0.0,0.0,0.0,30,12.15,11.725,5.8,11.683,30,30,,,,,,0.7,0.45,0.2,0.533,30,0.0,0.0,0.0,0.0,30,0,0,11.0,1,,0,1,,,,2,21.47,0,0,6.0,0,,0,0,,,,4,18.18,0,0,3.0,0,,0,0,,,,2,21.2,8478403,SKATER,1.2,1.25,0.2,1.167,30,,,,,,,,,,,,,,,,2.7,2.75,2.8,2.833,30,18.939,19.1,19.546,19.861,30
0.1,0.25,0.2,0.267,30,0.0,0.0,0.0,0.0,30,12.15,11.475,5.5,11.4,30,30,,,,,,0.8,0.65,0.0,0.633,30,0.0,0.0,0.0,0.0,30,0,0,4.5,0,,0,0,,,,3,19.38,0,0,6.0,0,,0,0,,,,4,22.43,1,0,9.5,0,,0,1,,,,3,15.72,8479420,SKATER,0.9,0.9,0.2,0.9,30,,,,,,,,,,,,,,,,3.5,3.35,3.0,3.333,30,18.729,18.947,19.044,18.657,30
0.4,0.7,0.6,0.6,30,0.0,0.0,0.0,0.0,30,6.65,8.525,7.3,7.333,30,30,,,,,,0.3,0.3,0.2,0.267,30,0.0,0.0,0.0,0.0,30,2,0,25.5,1,,0,3,,,,5,19.77,0,0,3.0,0,,0,0,,,,2,16.37,0,0,0.0,0,,0,0,,,,0,15.78,8480802,SKATER,0.7,1.0,0.8,0.867,30,,,,,,,,,,,,,,,,1.5,1.75,1.8,1.467,30,17.398,19.065,17.07,18.682,30
0.0,0.05,0.0,0.036,28,0.0,0.0,0.0,0.0,28,1.35,1.6,1.2,1.518,28,28,,,,,,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0,0,0.0,0,,0,0,,,,0,6.32,0,0,0.0,0,,0,0,,,,0,18.07,0,0,3.0,0,,0,0,,,,2,15.87,8478468,SKATER,0.0,0.05,0.0,0.036,28,,,,,,,,,,,,,,,,0.9,0.9,0.8,0.893,28,16.403,17.776,15.42,17.972,28
