SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,PLAYER_NORM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA
2025-26,401810563,2026-02-01,LAL,1966,LeBron James,lebron james,35,22,5,6,1,0,1,9.0,15.0,2.0,6.0,2.0,6.0
2025-26,401810563,2026-02-01,LAL,4592691,Jake LaRavia,jake laravia,23,5,2,2,1,1,2,2.0,7.0,1.0,6.0,0.0,0.0
2025-26,401810563,2026-02-01,LAL,4278129,Deandre Ayton,deandre ayton,32,13,5,1,1,0,0,6.0,6.0,0.0,0.0,1.0,1.0
2025-26,401810563,2026-02-01,LAL,2990992,Marcus Smart,marcus smart,30,7,0,3,1,0,2,2.0,9.0,1.0,4.0,2.0,2.0
2025-26,401810563,2026-02-01,LAL,3945274,Luka Doncic,luka doncic,37,30,15,8,0,0,3,10.0,23.0,5.0,14.0,5.0,6.0
2025-26,401810563,2026-02-01,LAL,2960236,Maxi Kleber,maxi kleber,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
2025-26,401810563,2026-02-01,LAL,4066648,Rui Hachimura,rui hachimura,29,11,3,1,0,0,1,5.0,11.0,1.0,5.0,0.0,0.0
2025-26,401810563,2026-02-01,LAL,4278077,Jarred Vanderbilt,jarred vanderbilt,20,1,2,0,1,0,0,0.0,4.0,0.0,3.0,1.0,2.0
2025-26,401810563,2026-02-01,LAL,4431695,Drew Timme,drew timme,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,LAL,4897943,Dalton Knecht,dalton knecht,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,LAL,4397077,Jaxson Hayes,jaxson hayes,12,2,2,0,0,2,0,1.0,2.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,LAL,3137259,Gabe Vincent,gabe vincent,18,8,1,0,0,0,1,3.0,5.0,2.0,4.0,0.0,0.0
2025-26,401810563,2026-02-01,LAL,4683686,Nick Smith Jr.,nick smith,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,3934719,OG Anunoby,og anunoby,34,25,8,3,3,0,1,9.0,15.0,4.0,8.0,3.0,4.0
2025-26,401810563,2026-02-01,NY,3136195,Karl-Anthony Towns,karl anthony towns,32,11,13,4,2,0,3,5.0,11.0,0.0,1.0,1.0,2.0
2025-26,401810563,2026-02-01,NY,3062679,Josh Hart,josh hart,36,20,4,2,0,1,0,8.0,11.0,3.0,4.0,1.0,1.0
2025-26,401810563,2026-02-01,NY,3147657,Mikal Bridges,mikal bridges,30,10,0,2,1,0,0,5.0,12.0,0.0,6.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,3934672,Jalen Brunson,jalen brunson,37,12,7,13,1,0,1,4.0,15.0,2.0,6.0,2.0,2.0
2025-26,401810563,2026-02-01,NY,4395623,Trey Jemison III,trey jemison,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,4702159,Dillon Jones,dillon jones,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,5289900,Mohamed Diawara,mohamed diawara,5,3,0,0,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,4351852,Mitchell Robinson,mitchell robinson,23,0,7,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,4871141,Ariel Hukporti,ariel hukporti,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810563,2026-02-01,NY,3914044,Landry Shamet,landry shamet,26,23,3,1,0,0,0,8.0,13.0,6.0,10.0,1.0,2.0
