SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630183,0022500089,2025-10-22,MIN @ POR,W,29,6,12,0.5,3,4,0.75,3,4,0.75,0,5,5,2,1,3,3,4,18,3,1
22025,1630183,0022500019,2025-10-24,MIN @ LAL,L,27,5,12,0.417,0,4,0.0,0,0,0.0,1,1,2,0,0,1,0,5,10,-14,1
22025,1630183,0022500110,2025-10-26,MIN vs. IND,W,35,3,13,0.231,1,6,0.167,4,6,0.667,3,2,5,1,1,2,0,4,11,-6,1
22025,1630183,0022500008,2025-10-27,MIN vs. DEN,L,35,10,16,0.625,1,3,0.333,4,4,1.0,0,3,3,1,0,4,2,1,25,-13,1
22025,1630183,0022500136,2025-10-29,MIN vs. LAL,L,41,11,19,0.579,3,4,0.75,5,5,1.0,3,4,7,1,1,0,2,1,30,10,1
22025,1630183,0022500143,2025-11-01,MIN @ CHA,W,32,6,10,0.6,2,2,1.0,0,0,0.0,0,4,4,6,0,0,3,6,14,5,1
22025,1630183,0022500156,2025-11-03,MIN @ BKN,W,29,9,11,0.818,2,3,0.667,2,3,0.667,0,3,3,3,2,1,2,5,22,23,1
22025,1630183,0022500175,2025-11-05,MIN @ NYK,L,32,4,10,0.4,3,5,0.6,2,2,1.0,1,3,4,3,0,0,3,4,13,-7,1
22025,1630183,0022500036,2025-11-07,MIN vs. UTA,W,27,9,14,0.643,3,3,1.0,1,2,0.5,3,4,7,1,3,2,2,2,22,35,1
22025,1630183,0022500197,2025-11-09,MIN @ SAC,W,26,8,10,0.8,2,3,0.667,3,3,1.0,1,4,5,3,0,2,2,4,21,15,1
22025,1630183,0022500205,2025-11-10,MIN @ UTA,W,35,6,13,0.462,1,2,0.5,3,3,1.0,0,6,6,3,2,0,1,4,16,8,1
22025,1630183,0022500044,2025-11-14,MIN vs. SAC,W,31,6,9,0.667,0,2,0.0,1,1,1.0,1,3,4,3,0,0,4,3,13,4,1
22025,1630183,0022500232,2025-11-15,MIN vs. DEN,L,33,7,15,0.467,1,3,0.333,0,0,0.0,1,3,4,3,2,2,0,5,15,-18,1
22025,1630183,0022500246,2025-11-17,MIN vs. DAL,W,23,4,6,0.667,3,4,0.75,4,5,0.8,0,5,5,3,2,1,3,0,15,15,1
22025,1630183,0022500053,2025-11-21,MIN @ PHX,L,40,5,12,0.417,0,5,0.0,3,3,1.0,3,2,5,2,4,0,1,4,13,9,1
