SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630168,0022500082,2025-10-22,ATL vs. TOR,L,30,8,12,0.667,1,2,0.5,1,1,1.0,2,4,6,1,0,0,0,2,18,-19,1
22025,1630168,0022500090,2025-10-24,ATL @ ORL,W,33,5,10,0.5,1,3,0.333,6,7,0.857,0,4,4,3,1,3,2,5,17,-11,1
22025,1630168,0022500101,2025-10-25,ATL vs. OKC,L,35,5,12,0.417,1,5,0.2,0,0,0.0,1,11,12,4,1,1,0,4,11,-22,1
22025,1630168,0022500115,2025-10-27,ATL @ CHI,L,29,8,11,0.727,2,3,0.667,0,4,0.0,1,9,10,2,1,1,0,2,18,4,1
22025,1630168,0022500130,2025-10-29,ATL @ BKN,W,28,4,10,0.4,1,4,0.25,3,4,0.75,5,9,14,2,0,0,0,5,12,16,1
22025,1630168,0022500020,2025-10-31,ATL @ IND,W,26,5,8,0.625,2,4,0.5,2,4,0.5,2,7,9,2,0,2,1,4,14,15,1
22025,1630168,0022500151,2025-11-02,ATL @ CLE,L,26,2,7,0.286,1,2,0.5,2,4,0.5,2,3,5,2,0,0,4,4,7,2,1
22025,1630168,0022500166,2025-11-04,ATL vs. ORL,W,27,3,5,0.6,2,4,0.5,6,7,0.857,1,6,7,3,1,1,1,4,14,-1,1
22025,1630168,0022500030,2025-11-07,ATL vs. TOR,L,26,2,12,0.167,0,3,0.0,3,3,1.0,4,7,11,0,1,0,2,4,7,-11,1
22025,1630168,0022500185,2025-11-08,ATL vs. LAL,W,32,6,14,0.429,0,3,0.0,0,0,0.0,2,6,8,4,3,2,2,1,12,22,1
22025,1630168,0022500206,2025-11-10,ATL @ LAC,W,26,4,10,0.4,0,3,0.0,2,2,1.0,2,4,6,3,0,0,1,3,10,15,1
22025,1630168,0022500223,2025-11-12,ATL @ SAC,W,21,6,7,0.857,2,3,0.667,7,8,0.875,1,2,3,2,1,0,3,3,21,15,1
22025,1630168,0022500227,2025-11-13,ATL @ UTA,W,35,11,18,0.611,8,14,0.571,2,2,1.0,2,9,11,2,2,3,4,5,32,16,1
22025,1630168,0022500239,2025-11-16,ATL @ PHX,W,37,9,15,0.6,3,9,0.333,6,6,1.0,0,4,4,5,2,2,2,3,27,-5,1
22025,1630168,0022500251,2025-11-18,ATL vs. DET,L,34,8,13,0.615,4,7,0.571,1,1,1.0,0,1,1,3,1,2,5,6,21,-22,1
22025,1630168,0022500267,2025-11-20,ATL @ SAS,L,25,6,11,0.545,3,5,0.6,0,0,0.0,2,5,7,5,0,0,2,2,15,-19,1
22025,1630168,0022500276,2025-11-23,ATL vs. CHA,W,35,8,18,0.444,2,7,0.286,2,2,1.0,0,7,7,3,0,0,1,3,20,1,1
22025,1630168,0022500057,2025-11-25,ATL @ WAS,L,20,8,14,0.571,3,6,0.5,1,2,0.5,1,2,3,0,0,1,1,3,20,-22,1
22025,1630168,0022500069,2025-11-28,ATL vs. CLE,W,34,8,14,0.571,2,5,0.4,0,1,0.0,0,7,7,4,2,2,2,5,18,9,1
22025,1630168,0022500304,2025-11-30,ATL @ PHI,W,47,5,14,0.357,0,7,0.0,0,0,0.0,3,10,13,6,1,0,4,3,10,9,1
22025,1630168,0022500309,2025-12-01,ATL @ DET,L,36,9,18,0.5,2,9,0.222,0,0,0.0,3,3,6,4,1,3,3,4,20,-3,1
22025,1630168,0022500327,2025-12-03,ATL vs. LAC,L,34,3,12,0.25,1,6,0.167,0,1,0.0,2,7,9,5,0,0,2,3,7,-19,1
22025,1630168,0022500340,2025-12-05,ATL vs. DEN,L,28,4,8,0.5,3,6,0.5,2,2,1.0,2,4,6,2,1,0,1,1,13,-18,1
22025,1630168,0022500351,2025-12-06,ATL @ WAS,W,36,10,17,0.588,0,4,0.0,1,1,1.0,5,4,9,6,2,3,3,3,21,7,1
22025,1630168,0022501210,2025-12-12,ATL @ DET,L,28,4,10,0.4,0,3,0.0,6,8,0.75,0,3,3,3,2,4,5,4,14,-20,1
22025,1630168,0022501217,2025-12-14,ATL vs. PHI,W,36,6,17,0.353,5,9,0.556,3,4,0.75,3,12,15,4,1,2,4,4,20,10,1
22025,1630168,0022500371,2025-12-18,ATL @ CHA,L,36,5,10,0.5,0,3,0.0,2,2,1.0,1,3,4,1,3,1,1,2,12,-4,1
22025,1630168,0022500383,2025-12-19,ATL vs. SAS,L,31,3,11,0.273,1,5,0.2,0,0,0.0,2,6,8,5,2,0,1,4,7,-26,1
22025,1630168,0022500396,2025-12-21,ATL vs. CHI,L,40,10,18,0.556,3,7,0.429,0,0,0.0,0,7,7,6,1,1,0,2,23,2,1
22025,1630168,0022500411,2025-12-23,ATL vs. CHI,L,36,4,9,0.444,0,2,0.0,2,2,1.0,1,6,7,3,0,0,1,6,10,-6,1
22025,1630168,0022500423,2025-12-26,ATL vs. MIA,L,35,5,16,0.313,0,5,0.0,2,2,1.0,3,5,8,4,1,0,1,2,12,-15,1
22025,1630168,0022500435,2025-12-27,ATL vs. NYK,L,36,10,16,0.625,6,10,0.6,5,7,0.714,3,11,14,1,1,0,0,6,31,0,1
22025,1630168,0022500455,2025-12-29,ATL @ OKC,L,35,8,16,0.5,3,6,0.5,7,8,0.875,2,12,14,6,1,0,4,3,26,-18,1
22025,1630168,0022500463,2025-12-31,ATL vs. MIN,W,27,6,13,0.462,2,5,0.4,3,3,1.0,3,5,8,5,0,0,0,3,17,3,1
22025,1630168,0022500479,2026-01-02,ATL @ NYK,W,30,9,16,0.563,3,6,0.5,2,4,0.5,2,7,9,2,3,2,2,4,23,11,1
22025,1630168,0022500488,2026-01-03,ATL @ TOR,L,30,2,9,0.222,0,3,0.0,0,0,0.0,0,3,3,4,1,1,2,3,4,-16,1
22025,1630168,0022500504,2026-01-05,ATL @ TOR,L,36,7,13,0.538,2,3,0.667,1,2,0.5,4,8,12,3,4,0,1,3,17,-4,1
22025,1630168,0022500537,2026-01-09,ATL @ DEN,W,35,6,14,0.429,3,7,0.429,0,0,0.0,1,4,5,5,2,1,2,2,15,32,1
22025,1630168,0022500556,2026-01-11,ATL @ GSW,W,33,6,14,0.429,3,6,0.5,3,4,0.75,5,7,12,8,2,0,1,4,18,8,1
22025,1630168,0022500569,2026-01-13,ATL @ LAL,L,33,3,8,0.375,0,3,0.0,1,2,0.5,1,7,8,4,0,1,1,4,7,-22,1
22025,1630168,0022500585,2026-01-15,ATL @ POR,L,37,10,21,0.476,5,15,0.333,1,1,1.0,3,6,9,2,3,1,4,5,26,-19,1
22025,1630168,0022500594,2026-01-17,ATL vs. BOS,L,33,8,14,0.571,3,6,0.5,2,2,1.0,3,4,7,3,1,0,3,3,21,-25,1
22025,1630168,0022500014,2026-01-19,ATL vs. MIL,L,34,0,6,0.0,0,3,0.0,4,4,1.0,4,6,10,4,2,1,1,5,4,-9,1
22025,1630168,0022500623,2026-01-21,ATL @ MEM,W,28,6,10,0.6,4,8,0.5,2,3,0.667,2,7,9,1,1,2,7,6,18,-3,1
