SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629674,0022500083,2025-10-22,BOS vs. PHI,L,25,7,8,0.875,0,0,0.0,3,4,0.75,2,6,8,0,0,0,2,6,17,2,1
22025,1629674,0022500018,2025-10-24,BOS @ NYK,L,22,3,5,0.6,0,0,0.0,2,3,0.667,2,5,7,1,0,1,2,3,8,-2,1
22025,1629674,0022500106,2025-10-26,BOS @ DET,L,26,2,4,0.5,0,0,0.0,0,0,0.0,3,3,6,3,2,3,2,5,4,12,1
22025,1629674,0022500117,2025-10-27,BOS @ NOP,W,22,3,8,0.375,0,0,0.0,0,0,0.0,7,4,11,0,0,4,1,3,6,10,1
22025,1629674,0022500128,2025-10-29,BOS vs. CLE,W,26,3,5,0.6,0,1,0.0,4,6,0.667,5,8,13,3,3,0,1,1,10,25,1
22025,1629674,0022500021,2025-10-31,BOS @ PHI,W,19,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,1,0,3,0,3,4,-3,1
22025,1629674,0022500146,2025-11-01,BOS vs. HOU,L,15,4,6,0.667,0,1,0.0,1,1,1.0,1,3,4,1,0,0,0,1,9,-7,1
22025,1629674,0022500158,2025-11-03,BOS vs. UTA,L,26,4,4,1.0,0,0,0.0,1,3,0.333,1,7,8,1,2,0,2,2,9,15,1
22025,1629674,0022500174,2025-11-05,BOS vs. WAS,W,24,7,7,1.0,0,0,0.0,1,2,0.5,4,8,12,5,1,1,0,4,15,23,1
22025,1629674,0022500028,2025-11-07,BOS @ ORL,L,30,2,8,0.25,0,0,0.0,1,2,0.5,3,5,8,2,1,2,0,4,5,7,1
22025,1629674,0022500193,2025-11-09,BOS @ ORL,W,26,3,6,0.5,0,0,0.0,2,4,0.5,4,2,6,0,0,1,1,6,8,0,1
22025,1629674,0022500209,2025-11-11,BOS @ PHI,L,29,4,8,0.5,0,1,0.0,0,0,0.0,4,6,10,2,0,2,2,2,8,1,1
22025,1629674,0022500216,2025-11-12,BOS vs. MEM,W,20,6,6,1.0,0,0,0.0,1,1,1.0,2,6,8,2,1,1,0,2,13,27,1
22025,1629674,0022500233,2025-11-16,BOS vs. LAC,W,33,7,16,0.438,0,0,0.0,0,1,0.0,6,3,9,3,1,1,0,2,14,16,1
22025,1629674,0022500250,2025-11-18,BOS @ BKN,W,23,3,5,0.6,0,0,0.0,0,0,0.0,2,5,7,2,0,3,0,5,6,5,1
22025,1629674,0022500049,2025-11-21,BOS vs. BKN,L,29,8,12,0.667,0,0,0.0,0,0,0.0,5,7,12,3,0,1,0,5,16,-5,1
22025,1629674,0022500277,2025-11-23,BOS vs. ORL,W,6,3,3,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,2,6,-2,1
22025,1629674,0022500293,2025-11-29,BOS @ MIN,L,29,7,8,0.875,0,0,0.0,5,8,0.625,8,10,18,0,0,2,2,4,19,0,1
22025,1629674,0022500320,2025-12-02,BOS vs. NYK,W,21,4,4,1.0,0,0,0.0,0,0,0.0,2,4,6,0,0,0,0,0,8,-8,1
22025,1629674,0022500334,2025-12-04,BOS @ WAS,W,21,7,9,0.778,0,0,0.0,3,4,0.75,2,2,4,2,1,4,1,4,17,29,1
22025,1629674,0022500338,2025-12-05,BOS vs. LAL,W,26,5,8,0.625,0,0,0.0,0,0,0.0,1,5,6,2,2,0,0,2,10,8,1
22025,1629674,0022500358,2025-12-07,BOS @ TOR,W,34,4,7,0.571,0,0,0.0,3,4,0.75,6,5,11,4,1,2,2,3,11,12,1
22025,1629674,0022501206,2025-12-11,BOS @ MIL,L,25,3,6,0.5,0,0,0.0,3,6,0.5,5,5,10,0,0,0,1,2,9,-13,1
22025,1629674,0022501222,2025-12-15,BOS vs. DET,L,34,3,5,0.6,0,0,0.0,0,0,0.0,1,6,7,1,2,1,0,1,6,5,1
22025,1629674,0022500381,2025-12-19,BOS vs. MIA,W,25,4,6,0.667,0,0,0.0,2,3,0.667,2,1,3,3,1,1,1,1,10,5,1
22025,1629674,0022500388,2025-12-20,BOS @ TOR,W,22,7,7,1.0,0,0,0.0,0,1,0.0,2,3,5,0,1,0,1,4,14,-12,1
22025,1629674,0022500403,2025-12-22,BOS vs. IND,W,23,3,5,0.6,0,0,0.0,2,4,0.5,2,6,8,2,0,0,1,3,8,-3,1
22025,1629674,0022500426,2025-12-26,BOS @ IND,W,21,2,4,0.5,0,0,0.0,4,6,0.667,2,5,7,3,1,2,0,1,8,-3,1
22025,1629674,0022500444,2025-12-28,BOS @ POR,L,29,5,9,0.556,0,0,0.0,1,2,0.5,4,4,8,0,1,2,3,5,11,2,1
22025,1629674,0022500459,2025-12-30,BOS @ UTA,W,29,6,7,0.857,0,0,0.0,0,0,0.0,0,3,3,0,3,1,1,4,12,-5,1
22025,1629674,0022500474,2026-01-01,BOS @ SAC,W,23,5,6,0.833,0,0,0.0,3,5,0.6,0,5,5,0,1,3,1,0,13,-2,1
22025,1629674,0022500493,2026-01-03,BOS @ LAC,W,23,4,8,0.5,0,1,0.0,0,0,0.0,1,8,9,1,0,1,0,3,8,15,1
22025,1629674,0022500503,2026-01-05,BOS vs. CHI,W,25,6,9,0.667,0,0,0.0,1,1,1.0,6,7,13,1,1,1,1,1,13,11,1
22025,1629674,0022500520,2026-01-07,BOS vs. DEN,L,24,3,8,0.375,0,0,0.0,0,0,0.0,10,10,20,0,0,0,0,3,6,-16,1
22025,1629674,0022500532,2026-01-09,BOS vs. TOR,W,27,4,6,0.667,0,0,0.0,2,2,1.0,3,3,6,0,2,0,0,2,10,0,1
22025,1629674,0022500545,2026-01-10,BOS vs. SAS,L,24,4,6,0.667,0,0,0.0,1,2,0.5,4,9,13,2,0,2,1,1,9,3,1
22025,1629674,0022500559,2026-01-12,BOS @ IND,L,32,7,9,0.778,0,0,0.0,1,3,0.333,2,6,8,2,2,1,3,0,15,-12,1
22025,1629674,0022500580,2026-01-15,BOS @ MIA,W,20,4,5,0.8,0,0,0.0,1,2,0.5,2,7,9,0,1,1,2,5,9,-1,1
22025,1629674,0022500594,2026-01-17,BOS @ ATL,W,24,5,7,0.714,0,0,0.0,4,5,0.8,1,6,7,1,1,1,1,2,14,39,1
22025,1629674,0022500017,2026-01-19,BOS @ DET,L,28,1,2,0.5,0,0,0.0,8,10,0.8,1,7,8,1,3,1,2,4,10,15,1
22025,1629674,0022500621,2026-01-21,BOS vs. IND,W,29,6,10,0.6,0,0,0.0,5,5,1.0,4,5,9,0,1,5,2,3,17,8,1
22025,1629674,0022500637,2026-01-23,BOS @ BKN,W,28,2,3,0.667,0,0,0.0,2,2,1.0,3,2,5,3,1,1,1,6,6,2,1
