SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628368,0022500188,2025-11-08,SAS vs. NOP,W,31,9,14,0.643,2,5,0.4,4,5,0.8,2,1,3,3,1,0,2,3,24,9,1
22025,1628368,0022500202,2025-11-10,SAS @ CHI,W,37,8,14,0.571,1,6,0.167,4,4,1.0,1,3,4,5,0,0,6,3,21,-3,1
22025,1628368,0022500220,2025-11-12,SAS vs. GSW,L,36,5,14,0.357,1,5,0.2,2,2,1.0,1,4,5,5,0,0,6,3,13,-2,1
22025,1628368,0022500047,2025-11-14,SAS vs. GSW,L,33,10,22,0.455,4,8,0.5,0,0,0.0,3,1,4,10,3,1,4,3,24,1,1
22025,1628368,0022500234,2025-11-16,SAS vs. SAC,W,35,11,20,0.55,4,8,0.5,2,2,1.0,0,2,2,11,1,0,2,1,28,20,1
22025,1628368,0022500252,2025-11-18,SAS vs. MEM,W,33,10,20,0.5,3,8,0.375,3,4,0.75,0,1,1,3,2,1,2,3,26,7,1
22025,1628368,0022500267,2025-11-20,SAS vs. ATL,W,31,9,16,0.563,2,4,0.5,6,10,0.6,2,3,5,9,3,0,2,4,26,-7,1
22025,1628368,0022500281,2025-11-23,SAS @ PHX,L,33,5,11,0.455,2,6,0.333,14,16,0.875,0,5,5,3,0,0,2,4,26,-2,1
22025,1628368,0022500067,2025-11-26,SAS @ POR,W,33,11,25,0.44,3,8,0.375,12,12,1.0,1,5,6,8,3,1,3,3,37,21,1
22025,1628368,0022500076,2025-11-28,SAS @ DEN,W,34,6,19,0.316,1,6,0.167,2,3,0.667,0,1,1,12,1,1,3,0,15,-4,1
22025,1628368,0022500306,2025-11-30,SAS @ MIN,L,32,10,15,0.667,2,4,0.5,3,3,1.0,0,2,2,4,1,0,3,1,25,-7,1
22025,1628368,0022500322,2025-12-02,SAS vs. MEM,W,31,8,19,0.421,4,8,0.5,9,10,0.9,2,2,4,4,3,0,3,3,29,4,1
22025,1628368,0022500326,2025-12-03,SAS @ ORL,W,29,11,20,0.55,3,7,0.429,6,9,0.667,1,4,5,5,0,0,7,3,31,10,1
22025,1628368,0022500341,2025-12-05,SAS @ CLE,L,33,9,19,0.474,2,7,0.286,5,6,0.833,0,5,5,9,1,0,4,2,25,-19,1
22025,1628368,0022500366,2025-12-08,SAS @ NOP,W,30,4,11,0.364,2,5,0.4,4,4,1.0,0,4,4,7,1,0,4,0,14,-4,1
22025,1628368,0022501204,2025-12-10,SAS @ LAL,W,31,8,17,0.471,4,8,0.5,0,0,0.0,0,4,4,3,2,0,1,1,20,21,1
22025,1628368,0022501230,2025-12-13,SAS @ OKC,W,37,8,15,0.533,3,7,0.429,3,4,0.75,1,1,2,4,2,1,1,4,22,7,1
22025,1628368,0022500370,2025-12-18,SAS vs. WAS,W,25,1,8,0.125,1,4,0.25,3,4,0.75,1,2,3,3,3,0,2,1,6,11,1
22025,1628368,0022500383,2025-12-19,SAS @ ATL,W,22,4,11,0.364,0,3,0.0,0,0,0.0,1,4,5,8,1,0,2,3,8,15,1
22025,1628368,0022500399,2025-12-21,SAS @ WAS,W,33,10,19,0.526,5,7,0.714,2,3,0.667,1,6,7,6,0,1,0,3,27,-1,1
22025,1628368,0022500417,2025-12-23,SAS vs. OKC,W,34,3,9,0.333,0,4,0.0,0,4,0.0,0,3,3,9,0,0,0,2,6,18,1
22025,1628368,0022500010,2025-12-25,SAS @ OKC,W,33,12,19,0.632,3,4,0.75,2,2,1.0,2,2,4,3,1,1,1,3,29,6,1
22025,1628368,0022500456,2025-12-29,SAS vs. CLE,L,32,4,13,0.308,1,6,0.167,5,6,0.833,0,2,2,3,1,0,2,2,14,-13,1
22025,1628368,0022500467,2025-12-31,SAS vs. NYK,W,38,11,21,0.524,1,8,0.125,3,4,0.75,0,1,1,7,3,0,0,1,26,7,1
22025,1628368,0022500476,2026-01-02,SAS @ IND,W,32,10,19,0.526,2,9,0.222,2,3,0.667,2,5,7,4,1,0,3,2,24,7,1
22025,1628368,0022500490,2026-01-03,SAS vs. POR,L,35,7,14,0.5,2,4,0.5,3,4,0.75,1,5,6,4,3,0,0,4,19,-12,1
22025,1628368,0022500512,2026-01-06,SAS @ MEM,L,30,4,18,0.222,1,8,0.125,0,0,0.0,1,4,5,8,0,1,2,1,9,-18,1
22025,1628368,0022500523,2026-01-07,SAS vs. LAL,W,34,5,14,0.357,0,6,0.0,4,4,1.0,0,3,3,5,1,0,3,2,14,12,1
22025,1628368,0022500545,2026-01-10,SAS @ BOS,W,36,9,16,0.563,1,6,0.167,2,2,1.0,1,8,9,6,1,0,2,1,21,-3,1
22025,1628368,0022500552,2026-01-11,SAS @ MIN,L,34,6,19,0.316,0,6,0.0,0,0,0.0,0,8,8,4,1,0,2,1,12,7,1
22025,1628368,0022500568,2026-01-13,SAS @ OKC,L,34,5,9,0.556,2,5,0.4,2,2,1.0,0,5,5,5,1,0,2,5,14,-12,1
22025,1628368,0022500582,2026-01-15,SAS vs. MIL,W,23,6,10,0.6,3,4,0.75,3,6,0.5,1,3,4,4,0,0,4,0,18,15,1
22025,1628368,0022500598,2026-01-17,SAS vs. MIN,W,37,10,17,0.588,2,5,0.4,3,4,0.75,0,3,3,12,0,1,2,4,25,-8,1
