SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1641708,0022500001,2025-10-21,HOU @ OKC,L,39,8,17,0.471,0,7,0.0,2,2,1.0,2,2,4,5,1,1,4,3,18,-11,1
22025,1641708,0022500093,2025-10-24,HOU vs. DET,L,30,2,8,0.25,0,1,0.0,6,10,0.6,1,3,4,1,0,0,2,5,10,-6,1
22025,1641708,0022500116,2025-10-27,HOU vs. BKN,W,25,5,10,0.5,0,1,0.0,2,3,0.667,0,4,4,8,1,0,0,3,12,33,1
22025,1641708,0022500131,2025-10-29,HOU @ TOR,W,40,7,13,0.538,0,1,0.0,4,5,0.8,3,6,9,7,2,0,4,3,18,17,1
22025,1641708,0022500146,2025-11-01,HOU @ BOS,W,32,6,12,0.5,1,1,1.0,4,6,0.667,3,6,9,8,0,0,3,0,17,27,1
22025,1641708,0022500160,2025-11-03,HOU vs. DAL,W,39,11,18,0.611,1,3,0.333,4,7,0.571,3,2,5,4,1,1,3,2,27,3,1
22025,1641708,0022500176,2025-11-05,HOU @ MEM,W,39,13,26,0.5,1,3,0.333,1,1,1.0,4,6,10,7,2,0,2,3,28,22,1
22025,1641708,0022500032,2025-11-07,HOU @ SAS,L,39,4,12,0.333,2,4,0.5,4,4,1.0,3,4,7,3,1,1,3,3,14,-6,1
22025,1641708,0022500191,2025-11-09,HOU @ MIL,W,37,6,13,0.462,0,1,0.0,2,3,0.667,4,4,8,5,3,1,3,2,14,0,1
22025,1641708,0022500218,2025-11-12,HOU vs. WAS,W,35,8,11,0.727,1,2,0.5,1,2,0.5,1,0,1,8,3,1,2,0,18,17,1
22025,1641708,0022500042,2025-11-14,HOU vs. POR,W,32,6,17,0.353,0,4,0.0,7,7,1.0,1,1,2,4,1,1,0,1,19,24,1
22025,1641708,0022500236,2025-11-16,HOU vs. ORL,W,39,4,13,0.308,0,1,0.0,4,4,1.0,2,8,10,2,0,0,1,2,12,7,1
22025,1641708,0022500255,2025-11-19,HOU @ CLE,W,40,6,14,0.429,0,1,0.0,0,0,0.0,3,6,9,6,5,0,1,4,12,8,1
22025,1641708,0022500054,2025-11-21,HOU vs. DEN,L,43,10,18,0.556,1,2,0.5,1,1,1.0,4,3,7,2,2,0,3,3,22,-10,1
22025,1641708,0022500290,2025-11-24,HOU @ PHX,W,37,10,16,0.625,1,1,1.0,7,7,1.0,2,5,7,8,0,1,4,4,28,25,1
22025,1641708,0022500066,2025-11-26,HOU @ GSW,W,38,4,12,0.333,0,3,0.0,2,2,1.0,4,10,14,3,1,0,2,4,10,2,1
22025,1641708,0022500301,2025-11-30,HOU @ UTA,W,31,2,8,0.25,0,0,0.0,1,3,0.333,2,6,8,9,1,0,3,2,5,18,1
