SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629013,0022500003,2025-10-22,NYK vs. CLE,W,14,2,4,0.5,2,3,0.667,3,3,1.0,0,2,2,1,1,0,1,1,9,-5,1
22025,1629013,0022500018,2025-10-24,NYK vs. BOS,W,14,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,0,0,0,2,1,3,-8,1
22025,1629013,0022500108,2025-10-26,NYK @ MIA,L,16,0,4,0.0,0,4,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-9,1
22025,1629013,0022500125,2025-10-28,NYK @ MIL,L,30,5,11,0.455,4,9,0.444,2,2,1.0,2,1,3,1,1,0,1,1,16,3,1
22025,1629013,0022500023,2025-10-31,NYK @ CHI,L,15,1,5,0.2,1,5,0.2,1,2,0.5,1,0,1,0,1,0,0,1,4,-7,1
22025,1629013,0022500153,2025-11-02,NYK vs. CHI,W,18,3,6,0.5,3,3,1.0,0,0,0.0,0,1,1,1,0,0,0,1,9,17,1
22025,1629013,0022500159,2025-11-03,NYK vs. WAS,W,25,3,8,0.375,2,6,0.333,3,3,1.0,1,4,5,0,0,1,1,0,11,-6,1
22025,1629013,0022500175,2025-11-05,NYK vs. MIN,W,12,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,5,1
22025,1629013,0022500192,2025-11-09,NYK vs. BKN,W,21,2,5,0.4,2,4,0.5,2,4,0.5,0,1,1,3,0,0,0,1,8,7,1
22025,1629013,0022500208,2025-11-11,NYK vs. MEM,W,21,3,5,0.6,2,4,0.5,2,2,1.0,1,0,1,0,1,0,0,4,10,-11,1
22025,1629013,0022500215,2025-11-12,NYK vs. ORL,L,27,4,6,0.667,1,3,0.333,2,3,0.667,0,3,3,1,1,0,0,1,11,-3,1
22025,1629013,0022500039,2025-11-14,NYK vs. MIA,W,37,12,19,0.632,6,12,0.5,6,6,1.0,1,1,2,3,0,0,1,3,36,11,1
22025,1629013,0022500244,2025-11-17,NYK @ MIA,L,39,2,11,0.182,1,7,0.143,5,6,0.833,0,3,3,4,0,1,0,2,10,14,1
22025,1629013,0022500262,2025-11-19,NYK @ DAL,W,23,3,6,0.5,2,3,0.667,1,3,0.333,1,2,3,1,1,1,1,1,9,-10,1
22025,1629013,0022500269,2025-11-22,NYK @ ORL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,6,1
22025,1629013,0022500584,2026-01-15,NYK @ GSW,L,16,2,7,0.286,2,7,0.286,0,0,0.0,0,0,0,0,1,0,0,1,6,-8,1
22025,1629013,0022500596,2026-01-17,NYK vs. PHX,L,14,1,3,0.333,0,2,0.0,3,3,1.0,0,1,1,0,0,1,1,1,5,-2,1
22025,1629013,0022500016,2026-01-19,NYK vs. DAL,L,23,2,5,0.4,1,4,0.25,1,3,0.333,0,1,1,1,1,0,0,2,6,-4,1
22025,1629013,0022500622,2026-01-21,NYK vs. BKN,W,15,6,7,0.857,6,6,1.0,0,0,0.0,0,1,1,2,2,1,0,0,18,23,1
22025,1629013,0022500643,2026-01-24,NYK @ PHI,W,25,4,9,0.444,3,7,0.429,1,2,0.5,1,3,4,2,0,0,1,1,12,3,1
22025,1629013,0022500665,2026-01-27,NYK vs. SAC,W,17,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,3,2,0,1,2,2,1,1
22025,1629013,0022500675,2026-01-28,NYK @ TOR,W,21,3,10,0.3,3,9,0.333,0,0,0.0,1,3,4,1,1,0,1,3,9,20,1
22025,1629013,0022500690,2026-01-30,NYK vs. POR,W,19,1,6,0.167,1,4,0.25,0,0,0.0,1,0,1,2,0,0,0,1,3,10,1
22025,1629013,0022500708,2026-02-01,NYK vs. LAL,W,26,8,13,0.615,6,10,0.6,1,2,0.5,1,2,3,1,0,0,0,2,23,-1,1
22025,1629013,0022500718,2026-02-03,NYK @ WAS,W,21,5,8,0.625,4,6,0.667,0,0,0.0,0,0,0,1,0,0,0,0,14,23,1
22025,1629013,0022500726,2026-02-04,NYK vs. DEN,W,36,6,15,0.4,4,10,0.4,0,0,0.0,1,1,2,3,0,0,1,2,16,22,1
22025,1629013,0022500742,2026-02-06,NYK @ DET,L,21,2,7,0.286,1,5,0.2,0,0,0.0,2,0,2,3,0,0,0,2,5,-21,1
22025,1629013,0022500757,2026-02-08,NYK @ BOS,W,28,1,5,0.2,1,4,0.25,0,0,0.0,1,3,4,3,1,0,0,2,3,-1,1
22025,1629013,0022500771,2026-02-10,NYK vs. IND,L,38,6,14,0.429,4,11,0.364,1,3,0.333,0,2,2,1,0,1,0,2,17,1,1
22025,1629013,0022500780,2026-02-11,NYK @ PHI,W,24,4,6,0.667,1,3,0.333,0,0,0.0,0,1,1,5,1,0,1,2,9,26,1
