SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629656,0022500083,2025-10-22,PHI @ BOS,W,32,3,8,0.375,2,5,0.4,2,4,0.5,0,5,5,5,0,0,5,3,10,18,1
22025,1629656,0022500102,2025-10-25,PHI vs. CHA,W,30,7,14,0.5,5,8,0.625,5,5,1.0,1,2,3,4,0,0,2,4,24,-5,1
22025,1629656,0022500114,2025-10-27,PHI vs. ORL,W,26,3,8,0.375,3,4,0.75,5,6,0.833,0,5,5,3,0,0,2,6,14,4,1
22025,1629656,0022500123,2025-10-28,PHI @ WAS,W,39,7,17,0.412,3,10,0.3,6,6,1.0,1,6,7,3,3,2,2,2,23,19,1
22025,1629656,0022500021,2025-10-31,PHI vs. BOS,L,33,6,13,0.462,2,7,0.286,2,4,0.5,0,2,2,3,1,0,3,1,16,-15,1
22025,1629656,0022500149,2025-11-02,PHI @ BKN,W,32,7,13,0.538,4,8,0.5,4,6,0.667,1,5,6,13,1,1,4,1,22,32,1
22025,1629656,0022500167,2025-11-04,PHI @ CHI,L,30,4,11,0.364,0,5,0.0,2,3,0.667,1,2,3,4,4,1,4,2,10,-13,1
22025,1629656,0022500171,2025-11-05,PHI @ CLE,L,32,9,15,0.6,1,5,0.2,8,9,0.889,1,2,3,3,0,0,4,4,27,4,1
22025,1629656,0022500184,2025-11-08,PHI vs. TOR,W,28,4,8,0.5,3,6,0.5,2,2,1.0,0,2,2,2,0,0,3,3,13,2,1
22025,1629656,0022500195,2025-11-09,PHI vs. DET,L,30,4,8,0.5,2,5,0.4,3,3,1.0,0,5,5,4,1,0,3,1,13,-7,1
22025,1629656,0022500209,2025-11-11,PHI vs. BOS,W,28,6,10,0.6,3,6,0.5,3,3,1.0,0,6,6,4,0,1,4,2,18,0,1
22025,1629656,0022500041,2025-11-14,PHI @ DET,L,32,3,10,0.3,1,5,0.2,2,2,1.0,0,1,1,5,1,1,2,1,9,6,1
22025,1629656,0022500243,2025-11-17,PHI vs. LAC,W,36,6,10,0.6,3,6,0.5,4,5,0.8,0,2,2,3,1,2,0,2,19,12,1
22025,1629656,0022500258,2025-11-19,PHI vs. TOR,L,32,7,15,0.467,4,8,0.5,3,3,1.0,0,2,2,2,2,0,1,2,21,-5,1
22025,1629656,0022500266,2025-11-20,PHI @ MIL,W,39,4,12,0.333,3,9,0.333,3,4,0.75,0,4,4,4,0,0,1,0,14,8,1
22025,1629656,0022500275,2025-11-23,PHI vs. MIA,L,35,6,14,0.429,2,7,0.286,1,1,1.0,0,0,0,3,0,1,2,5,15,-12,1
22025,1629656,0022500058,2025-11-25,PHI vs. ORL,L,27,1,9,0.111,0,4,0.0,6,6,1.0,0,3,3,4,0,0,3,2,8,-34,1
22025,1629656,0022500070,2025-11-28,PHI @ BKN,W,43,8,20,0.4,0,6,0.0,3,4,0.75,2,1,3,9,2,0,5,0,19,5,1
22025,1629656,0022500304,2025-11-30,PHI vs. ATL,L,47,8,15,0.533,4,8,0.5,8,8,1.0,4,6,10,4,2,0,3,4,28,2,1
22025,1629656,0022500333,2025-12-04,PHI vs. GSW,W,38,5,13,0.385,0,5,0.0,2,3,0.667,2,3,5,6,1,0,1,2,12,5,1
22025,1629656,0022500348,2025-12-05,PHI @ MIL,W,29,7,9,0.778,6,7,0.857,2,2,1.0,1,3,4,5,0,0,5,1,22,15,1
22025,1629656,0022500362,2025-12-07,PHI vs. LAL,L,29,2,7,0.286,1,6,0.167,2,2,1.0,3,5,8,3,0,0,0,0,7,1,1
22025,1629656,0022501211,2025-12-12,PHI vs. IND,W,39,3,9,0.333,2,7,0.286,2,2,1.0,1,8,9,4,1,1,1,0,10,13,1
22025,1629656,0022501217,2025-12-14,PHI @ ATL,L,39,4,14,0.286,4,10,0.4,2,2,1.0,0,2,2,7,2,0,2,0,14,-5,1
22025,1629656,0022500382,2025-12-19,PHI @ NYK,W,18,1,4,0.25,1,4,0.25,2,2,1.0,0,1,1,1,1,1,2,1,5,-4,1
22025,1629656,0022500387,2025-12-20,PHI vs. DAL,W,25,2,9,0.222,0,3,0.0,2,2,1.0,0,2,2,7,2,0,1,0,6,-8,1
22025,1629656,0022500427,2025-12-26,PHI @ CHI,L,26,1,4,0.25,0,3,0.0,0,0,0.0,0,1,1,2,0,0,0,1,2,-21,1
22025,1629656,0022500442,2025-12-28,PHI @ OKC,L,22,3,10,0.3,3,9,0.333,4,4,1.0,0,2,2,3,0,0,1,4,13,-22,1
22025,1629656,0022500458,2025-12-30,PHI @ MEM,W,38,4,9,0.444,2,6,0.333,1,2,0.5,0,3,3,3,3,0,0,0,11,18,1
22025,1629656,0022500473,2026-01-01,PHI @ DAL,W,38,7,9,0.778,5,7,0.714,0,0,0.0,0,7,7,2,1,3,0,3,19,19,1
22025,1629656,0022500487,2026-01-03,PHI @ NYK,W,34,4,10,0.4,2,7,0.286,0,0,0.0,1,5,6,5,3,2,1,2,10,4,1
22025,1629656,0022500507,2026-01-05,PHI vs. DEN,L,40,4,8,0.5,3,7,0.429,5,6,0.833,0,4,4,2,0,1,2,4,16,9,1
22025,1629656,0022500518,2026-01-07,PHI vs. WAS,W,26,5,9,0.556,1,3,0.333,5,5,1.0,1,0,1,1,2,0,2,1,16,-1,1
22025,1629656,0022500533,2026-01-09,PHI @ ORL,W,29,2,5,0.4,1,4,0.25,1,1,1.0,1,0,1,3,1,1,1,2,6,11,1
22025,1629656,0022500550,2026-01-11,PHI @ TOR,L,35,4,9,0.444,1,4,0.25,4,5,0.8,2,5,7,1,1,0,4,4,13,4,1
22025,1629656,0022500560,2026-01-12,PHI @ TOR,W,16,2,3,0.667,1,2,0.5,1,1,1.0,0,4,4,2,0,0,1,4,6,4,1
22025,1629656,0022500572,2026-01-14,PHI vs. CLE,L,22,3,7,0.429,2,5,0.4,0,0,0.0,2,3,5,0,1,0,1,2,8,-10,1
22025,1629656,0022500589,2026-01-16,PHI vs. CLE,L,32,5,12,0.417,2,7,0.286,2,3,0.667,0,7,7,4,0,0,0,3,14,-4,1
22025,1629656,0022500609,2026-01-19,PHI vs. IND,W,20,1,7,0.143,0,3,0.0,3,4,0.75,2,1,3,1,1,0,1,1,5,8,1
22025,1629656,0022500613,2026-01-20,PHI vs. PHX,L,27,3,7,0.429,1,3,0.333,5,6,0.833,0,4,4,5,3,0,3,2,12,-11,1
22025,1629656,0022500628,2026-01-22,PHI vs. HOU,W,19,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,3,1,0,1,3,3,-11,1
22025,1629656,0022500643,2026-01-24,PHI vs. NYK,L,19,2,6,0.333,0,4,0.0,0,0,0.0,0,3,3,3,0,1,0,1,4,0,1
22025,1629656,0022500657,2026-01-26,PHI @ CHA,L,26,5,11,0.455,0,2,0.0,4,5,0.8,0,3,3,5,1,0,2,2,14,-7,1
22025,1629656,0022500699,2026-01-31,PHI vs. NOP,W,16,2,3,0.667,0,1,0.0,0,0,0.0,1,3,4,2,0,0,0,0,4,-3,1
22025,1629656,0022500715,2026-02-02,PHI @ LAC,W,28,5,8,0.625,2,5,0.4,2,2,1.0,0,2,2,4,0,0,0,2,14,4,1
22025,1629656,0022500724,2026-02-03,PHI @ GSW,W,23,4,9,0.444,2,6,0.333,0,0,0.0,2,3,5,3,1,0,1,0,10,7,1
