SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629638,0022500082,2025-10-22,ATL vs. TOR,L,28,2,15,0.133,1,5,0.2,5,6,0.833,1,3,4,4,1,1,1,2,10,-2,1
22025,1629638,0022500090,2025-10-24,ATL @ ORL,W,31,8,18,0.444,1,10,0.1,2,2,1.0,0,1,1,4,1,0,1,0,19,-1,1
22025,1629638,0022500101,2025-10-25,ATL vs. OKC,L,30,6,10,0.6,3,6,0.5,2,2,1.0,1,2,3,2,2,1,2,0,17,-18,1
22025,1629638,0022500115,2025-10-27,ATL @ CHI,L,30,6,11,0.545,4,6,0.667,1,2,0.5,2,1,3,3,1,0,0,3,17,-13,1
22025,1629638,0022500130,2025-10-29,ATL @ BKN,W,32,7,17,0.412,2,8,0.25,2,2,1.0,0,3,3,3,2,3,1,1,18,-2,1
22025,1629638,0022500020,2025-10-31,ATL @ IND,W,32,8,14,0.571,1,5,0.2,4,5,0.8,1,2,3,3,2,0,3,1,21,17,1
22025,1629638,0022500151,2025-11-02,ATL @ CLE,L,34,3,11,0.273,0,4,0.0,10,11,0.909,0,3,3,5,0,1,5,3,16,-12,1
22025,1629638,0022500166,2025-11-04,ATL vs. ORL,W,32,6,11,0.545,3,5,0.6,5,6,0.833,0,1,1,2,0,1,7,4,20,5,1
22025,1629638,0022500030,2025-11-07,ATL vs. TOR,L,30,7,14,0.5,3,6,0.5,3,4,0.75,0,2,2,3,0,0,3,3,20,-13,1
22025,1629638,0022500223,2025-11-12,ATL @ SAC,W,22,5,11,0.455,1,4,0.25,3,3,1.0,1,5,6,5,0,2,4,1,14,44,1
22025,1629638,0022500227,2025-11-13,ATL @ UTA,W,30,4,11,0.364,1,3,0.333,7,8,0.875,1,1,2,5,2,2,2,0,16,15,1
22025,1629638,0022500239,2025-11-16,ATL @ PHX,W,35,9,18,0.5,3,9,0.333,5,7,0.714,1,2,3,4,2,0,2,2,26,22,1
22025,1629638,0022500251,2025-11-18,ATL vs. DET,L,37,9,20,0.45,1,9,0.111,5,6,0.833,0,3,3,3,0,0,0,4,24,-19,1
22025,1629638,0022500267,2025-11-20,ATL @ SAS,L,34,13,17,0.765,8,10,0.8,4,4,1.0,1,3,4,5,0,3,2,3,38,-7,1
22025,1629638,0022500270,2025-11-22,ATL @ NOP,W,36,4,11,0.364,2,6,0.333,0,0,0.0,1,4,5,3,1,0,1,2,10,11,1
22025,1629638,0022500276,2025-11-23,ATL vs. CHA,W,39,8,17,0.471,3,7,0.429,4,6,0.667,2,3,5,4,1,1,1,4,23,-7,1
22025,1629638,0022500057,2025-11-25,ATL @ WAS,L,32,3,9,0.333,2,6,0.333,0,0,0.0,0,2,2,4,0,0,3,1,8,-20,1
22025,1629638,0022500069,2025-11-28,ATL vs. CLE,W,35,10,22,0.455,5,13,0.385,5,5,1.0,0,3,3,1,1,1,1,2,30,18,1
22025,1629638,0022500304,2025-11-30,ATL @ PHI,W,44,11,22,0.5,6,11,0.545,6,6,1.0,2,6,8,7,1,1,4,5,34,19,1
22025,1629638,0022500309,2025-12-01,ATL @ DET,L,35,10,19,0.526,6,10,0.6,0,0,0.0,0,3,3,1,2,0,2,1,26,4,1
22025,1629638,0022500327,2025-12-03,ATL vs. LAC,L,31,7,18,0.389,2,7,0.286,5,7,0.714,1,4,5,3,1,0,1,2,21,-17,1
22025,1629638,0022500340,2025-12-05,ATL vs. DEN,L,34,10,17,0.588,5,9,0.556,5,5,1.0,2,3,5,1,0,0,1,3,30,0,1
22025,1629638,0022500351,2025-12-06,ATL @ WAS,W,32,7,15,0.467,3,10,0.3,0,0,0.0,2,2,4,4,3,0,3,3,17,2,1
22025,1629638,0022501210,2025-12-12,ATL @ DET,L,31,6,14,0.429,4,10,0.4,6,6,1.0,0,2,2,0,0,0,2,3,22,-21,1
22025,1629638,0022501217,2025-12-14,ATL vs. PHI,W,34,3,18,0.167,2,5,0.4,4,4,1.0,2,5,7,6,1,0,2,3,12,9,1
22025,1629638,0022500371,2025-12-18,ATL @ CHA,L,34,11,18,0.611,4,9,0.444,2,2,1.0,1,7,8,2,0,0,3,2,28,23,1
22025,1629638,0022500383,2025-12-19,ATL vs. SAS,L,33,7,18,0.389,2,10,0.2,7,9,0.778,1,1,2,4,0,0,3,1,23,-27,1
22025,1629638,0022500396,2025-12-21,ATL vs. CHI,L,29,3,12,0.25,1,6,0.167,2,3,0.667,0,1,1,2,1,2,3,5,9,7,1
22025,1629638,0022500411,2025-12-23,ATL vs. CHI,L,34,9,19,0.474,2,8,0.25,1,2,0.5,0,1,1,2,2,0,0,1,21,-20,1
22025,1629638,0022500423,2025-12-26,ATL vs. MIA,L,32,6,14,0.429,2,5,0.4,1,1,1.0,0,4,4,3,1,1,2,1,15,-6,1
22025,1629638,0022500435,2025-12-27,ATL vs. NYK,L,30,8,18,0.444,5,12,0.417,4,4,1.0,0,0,0,1,1,0,0,1,25,4,1
