player,team,prop_type,actual,SOG,G,A,PTS,HIT,BS,PIM,PM,PPP,FOW,TOI
Mathieu Olivier,CBJ,PIM,27.0,0.0,1.0,1.0,2.0,,0.0,27.0,1.0,,,
Tyler Kleven,OTT,PIM,17.0,0.0,1.0,0.0,1.0,,0.0,17.0,2.0,,,
Jamie Drysdale,PHI,PIM,7.0,0.0,0.0,0.0,0.0,,2.0,7.0,2.0,,,
Martin Fehervary,WSH,Blocked Shots,6.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,,,
Avery Hayes,PIT,PIM,5.0,0.0,0.0,0.0,0.0,,1.0,5.0,-2.0,,,
Alexander Kerfoot,UTA,PIM,5.0,0.0,1.0,1.0,2.0,,3.0,5.0,0.0,,,
Damon Severson,CBJ,PIM,5.0,0.0,1.0,1.0,2.0,,0.0,5.0,1.0,,,
Charle-Edouard D'Astous,TB,PIM,5.0,0.0,0.0,0.0,0.0,,2.0,5.0,0.0,,,
Max Domi,TOR,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,,,
Olli Maatta,CGY,Blocked Shots,5.0,0.0,0.0,1.0,1.0,,5.0,0.0,-1.0,,,
Jakob Chychrun,WSH,Blocked Shots,5.0,0.0,0.0,1.0,1.0,,5.0,0.0,-1.0,,,
Ian Cole,UTA,PIM,5.0,0.0,0.0,1.0,1.0,,1.0,5.0,1.0,,,
Travis Sanheim,PHI,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-1.0,,,
Nikita Kucherov,TB,Points,4.0,0.0,0.0,4.0,4.0,,0.0,0.0,3.0,,,
Nikita Kucherov,TB,Assists,4.0,0.0,0.0,4.0,4.0,,0.0,0.0,3.0,,,
Shane Pinto,OTT,PIM,4.0,0.0,1.0,2.0,3.0,,1.0,4.0,2.0,,,
Jack Hughes,NJ,Points,4.0,0.0,3.0,1.0,4.0,,0.0,2.0,1.0,,,
Josh Anderson,MTL,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Arseny Gritsyuk,NJ,PIM,4.0,0.0,0.0,1.0,1.0,,0.0,4.0,1.0,,,
Tyson Jost,NSH,PIM,4.0,0.0,0.0,0.0,0.0,,0.0,4.0,-1.0,,,
Mikey Anderson,LA,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-2.0,,,
Brayden Pachal,CGY,PIM,4.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,,,
K'Andre Miller,CAR,PIM,4.0,0.0,0.0,1.0,1.0,,0.0,4.0,-1.0,,,
Justin Sourdif,WSH,PIM,4.0,0.0,0.0,0.0,0.0,,1.0,4.0,1.0,,,
Jamie Oleksiak,SEA,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-1.0,,,
Cale Fleury,SEA,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,,,
Owen Power,BUF,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Nick Perbix,NSH,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Shane Pinto,OTT,Points,3.0,0.0,1.0,2.0,3.0,,1.0,4.0,2.0,,,
Alexander Wennberg,SJ,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Nikita Kucherov,TB,Plus/Minus,3.0,0.0,0.0,4.0,4.0,,0.0,0.0,3.0,,,
Adam Pelech,NYI,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,,
Kiefer Sherwood,SJ,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,,
Mario Ferraro,SJ,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Juraj Slafkovsky,MTL,Points,3.0,0.0,2.0,1.0,3.0,,1.0,0.0,1.0,,,
Zach Werenski,CBJ,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Jesper Bratt,NJ,Points,3.0,0.0,1.0,2.0,3.0,,0.0,0.0,0.0,,,
Joel Farabee,CGY,Points,3.0,0.0,2.0,1.0,3.0,,0.0,0.0,1.0,,,
Morgan Frost,CGY,Points,3.0,0.0,1.0,2.0,3.0,,1.0,0.0,1.0,,,
Jack Hughes,NJ,Goals,3.0,0.0,3.0,1.0,4.0,,0.0,2.0,1.0,,,
MacKenzie Weegar,UTA,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,,,
Shane Wright,SEA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Nick DeSimone,UTA,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,2.0,,,
Alexander Kerfoot,UTA,Blocked Shots,3.0,0.0,1.0,1.0,2.0,,3.0,5.0,0.0,,,
Nick Schmaltz,UTA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Jalen Chatfield,CAR,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Marcus Pettersson,VAN,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Mark Scheifele,WPG,Points,3.0,0.0,1.0,2.0,3.0,,2.0,0.0,1.0,,,
Seth Jarvis,CAR,Points,3.0,0.0,1.0,2.0,3.0,,1.0,0.0,2.0,,,
Sebastian Aho,CAR,Points,3.0,0.0,0.0,3.0,3.0,,0.0,2.0,1.0,,,
Nick Suzuki,MTL,Points,3.0,0.0,1.0,2.0,3.0,,0.0,2.0,0.0,,,
Sebastian Aho,CAR,Assists,3.0,0.0,0.0,3.0,3.0,,0.0,2.0,1.0,,,
Brandt Clarke,LA,Blocked Shots,3.0,0.0,0.0,2.0,2.0,,3.0,0.0,2.0,,,
Alexandre Carrier,MTL,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,,,
Michael Kesselring,BUF,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,,,
Rasmus Dahlin,BUF,Plus/Minus,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Tom Wilson,WSH,PIM,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,-2.0,,,
Nick Cousins,OTT,Assists,2.0,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,,,
Jamie Drysdale,PHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,7.0,2.0,,,
