date,event_id,team_abbr,opponent_abbr,espn_athlete_id,player_name,MIN,PTS,REB,AST,STL,BLK,TO,FG,FGA,3PT,3PTA,FT,FTA
2026-02-22,401825534,OSU,,5196946,Amare Bynum,29.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825534,OSU,,5109790,Christoph Tilly,29.0,10.0,8.0,1.0,2.0,1.0,0.0,,,,,,
2026-02-22,401825534,OSU,,5105837,Bruce Thornton,40.0,32.0,4.0,2.0,2.0,0.0,0.0,,,,,,
2026-02-22,401825534,OSU,,4701846,Puff Johnson,20.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825534,OSU,,4685646,Taison Chatman,32.0,5.0,3.0,3.0,0.0,1.0,1.0,,,,,,
2026-02-22,401825534,OSU,,5101675,Colin White,25.0,3.0,4.0,1.0,1.0,0.0,0.0,,,,,,
2026-02-22,401825534,OSU,,5239599,Ivan Njegovan,14.0,6.0,3.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825534,OSU,,4845387,Gabe Cupps,11.0,2.0,0.0,1.0,0.0,0.0,2.0,,,,,,
2026-02-22,401825534,OSU,,4895776,Devin Royal,,,,,,,,,,,,,
2026-02-22,401825534,OSU,,4894236,Josh Ojianwuna,,,,,,,,,,,,,
2026-02-22,401825534,OSU,,4702994,Brandon Noel,,,,,,,,,,,,,
2026-02-22,401825534,OSU,,5290629,Mathieu Grujicic,,,,,,,,,,,,,
2026-02-22,401825534,OSU,,5290626,Myles Herro,,,,,,,,,,,,,
2026-02-22,401825534,OSU,,5239598,Braylen Nash,,,,,,,,,,,,,
2026-02-22,401825534,OSU,,5060708,John Mobley Jr.,,,,,,,,,,,,,
2026-02-22,401825534,MSU,,5196931,Jordan Scott,31.0,12.0,4.0,3.0,0.0,1.0,1.0,,,,,,
2026-02-22,401825534,MSU,,5105815,Jaxon Kohler,17.0,9.0,10.0,0.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825534,MSU,,4872740,Coen Carr,32.0,5.0,8.0,1.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825534,MSU,,5105817,Carson Cooper,34.0,20.0,11.0,3.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825534,MSU,,4711255,Jeremy Fears Jr.,35.0,11.0,1.0,8.0,2.0,0.0,4.0,,,,,,
2026-02-22,401825534,MSU,,5239562,Jesse McCulloch,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825534,MSU,,5101798,Cam Ward,15.0,4.0,4.0,0.0,0.0,1.0,0.0,,,,,,
2026-02-22,401825534,MSU,,4873111,Kur Teng,23.0,5.0,1.0,1.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825534,MSU,,4703411,Trey Fort,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825534,MSU,,4610138,Denham Wojcik,5.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825534,MSU,,5239564,Colin Walton,,,,,,,,,,,,,
2026-02-22,401825534,MSU,,5239563,Brennan Walton,,,,,,,,,,,,,
2026-02-22,401825534,MSU,,4685668,Kaleb Glenn,,,,,,,,,,,,,
2026-02-22,401825534,MSU,,5105818,Nick Sanders,,,,,,,,,,,,,
2026-02-22,401825534,MSU,,5060733,Divine Ugochukwu,,,,,,,,,,,,,
2026-02-22,401825535,IOWA,,5176283,Cam Manyawu,19.0,4.0,7.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825535,IOWA,,4873203,Cooper Koch,40.0,6.0,0.0,3.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825535,IOWA,,5241364,Bennett Stirtz,40.0,23.0,1.0,2.0,1.0,0.0,3.0,,,,,,
2026-02-22,401825535,IOWA,,5241363,Tavion Banks,23.0,10.0,1.0,1.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825535,IOWA,,5176280,Kael Combs,25.0,4.0,4.0,3.0,2.0,0.0,0.0,,,,,,
2026-02-22,401825535,IOWA,,5177211,Alvaro Folgueiras,21.0,11.0,6.0,4.0,1.0,0.0,1.0,,,,,,
2026-02-22,401825535,IOWA,,5311842,Tate Sage,23.0,11.0,7.0,0.0,0.0,1.0,2.0,,,,,,
2026-02-22,401825535,IOWA,,5241366,Isaia Howard,9.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,,,
2026-02-22,401825535,IOWA,,5311841,Trey Thompson,,,,,,,,,,,,,
2026-02-22,401825535,IOWA,,5241367,Joey Matteoni,,,,,,,,,,,,,
2026-02-22,401825535,IOWA,,5311843,Trevin Jirak,,,,,,,,,,,,,
2026-02-22,401825535,IOWA,,5311840,Peyton McCollum,,,,,,,,,,,,,
2026-02-22,401825535,IOWA,,5239551,Jacob Koch,,,,,,,,,,,,,
2026-02-22,401825535,IOWA,,5105589,Brendan Hausen,,,,,,,,,,,,,
2026-02-22,401825535,WIS,,5312048,Aleksas Bieliauskas,14.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825535,WIS,,4895783,Nolan Winter,33.0,18.0,5.0,0.0,0.0,1.0,1.0,,,,,,
2026-02-22,401825535,WIS,,5109019,Andrew Rohde,32.0,6.0,2.0,4.0,3.0,0.0,1.0,,,,,,
2026-02-22,401825535,WIS,,5103630,John Blackwell,30.0,13.0,2.0,1.0,1.0,1.0,2.0,,,,,,
2026-02-22,401825535,WIS,,4702654,Nick Boyd,36.0,27.0,9.0,10.0,1.0,0.0,1.0,,,,,,
2026-02-22,401825535,WIS,,5240971,Austin Rapp,29.0,14.0,3.0,0.0,0.0,0.0,2.0,,,,,,
2026-02-22,401825535,WIS,,5110430,Jack Robison,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,
2026-02-22,401825535,WIS,,5252600,Hayden Jones,8.0,2.0,1.0,1.0,0.0,1.0,0.0,,,,,,
2026-02-22,401825535,WIS,,5144103,Zach Kinziger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-22,401825535,WIS,,5105820,Braeden Carrington,18.0,0.0,2.0,1.0,0.0,0.0,1.0,,,,,,
2026-02-22,401825535,WIS,,5239655,Riccardo Greppi,,,,,,,,,,,,,
2026-02-22,401825535,WIS,,5215270,Will Garlock,,,,,,,,,,,,,
2026-02-22,401825535,WIS,,5105894,Elijah Gray,,,,,,,,,,,,,
2026-02-22,401825535,WIS,,5174807,Jack Janicki,,,,,,,,,,,,,
2026-02-22,401825535,WIS,,5105863,Isaac Gard,,,,,,,,,,,,,
