player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Kam Williams,UK,Two Pointers Attempted,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0
Kam Williams,UK,Two Pointers Made,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0
Elijah Strong,SCAR,Defensive Rebounds,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0
Elijah Strong,SCAR,Offensive Rebounds,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0
Elijah Strong,SCAR,Free Throws Attempted,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0
Ilias Kamardine,MISS,Offensive Rebounds,0.0,16.0,6.0,3.0,0.0,3.0,1.0,8.0,16.0,0.0,2.0,0.0,0.0,0.0,8.0,14.0,0.0,6.0,2.0,37.0
Ilias Kamardine,MISS,Free Throws Attempted,0.0,16.0,6.0,3.0,0.0,3.0,1.0,8.0,16.0,0.0,2.0,0.0,0.0,0.0,8.0,14.0,0.0,6.0,2.0,37.0
Ilias Kamardine,MISS,Free Throws Made,0.0,16.0,6.0,3.0,0.0,3.0,1.0,8.0,16.0,0.0,2.0,0.0,0.0,0.0,8.0,14.0,0.0,6.0,2.0,37.0
Ilias Kamardine,MISS,3-PT Made,0.0,16.0,6.0,3.0,0.0,3.0,1.0,8.0,16.0,0.0,2.0,0.0,0.0,0.0,8.0,14.0,0.0,6.0,2.0,37.0
Denzel Aberdeen,UK,Offensive Rebounds,0.0,16.0,2.0,3.0,0.0,1.0,1.0,6.0,13.0,1.0,5.0,1.0,3.0,4.0,5.0,8.0,0.0,2.0,2.0,37.0
Mouhamed Dioubate,UK,3-PT Made,0.0,7.0,7.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,6.0,5.0,21.0
Mouhamed Dioubate,UK,Steals,0.0,7.0,7.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,6.0,5.0,21.0
