Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.45,Vaughn Weems,NEV,AFA,Points,Goblin,8.5,OVER,5.16,13.66,0.9,15.6,10.55,5,0,,03/11 05:30PM,pts,
CBB,A,1.34,Tamin Lipsey,ISU,ASU,Points,Goblin,9.5,OVER,4.183599999999998,13.6836,0.8,14.4,12.318,4,1,,03/11 12:30PM,pts,
CBB,A,1.34,Massamba Diop,ASU,ISU,Points,Goblin,9.5,OVER,4.633000000000001,14.133,1,13.8,14.565,5,0,,03/11 12:30PM,pts,
CBB,A,1.3,Michael Ajayi,BUT,PROV,Fantasy Score,Goblin,33,OVER,5.008600000000001,38.0086,0.8,38.3,37.623,4,1,,03/11 04:05PM,fantasy score,
CBB,A,1.3,Otega Oweh,UK,LSU,Fantasy Score,Goblin,27,OVER,9.8292,36.8292,0.9,38.78,34.441,5,0,,03/11 12:35PM,fantasy score,
CBB,A,1.28,J'Vonne Hadley,LOU,SMU,Fantasy Score,Goblin,22.5,OVER,3.7684,26.2684,0.889,28.6,24.127,5,0,,03/11 02:35PM,fantasy score,
CBB,A,1.28,Elijah Price,NEV,AFA,Points,Goblin,10.5,OVER,4.2628,14.7628,0.6499999999999999,14.8,13.714,3,2,,03/11 05:30PM,pts,
CBB,A,1.28,Tamin Lipsey,ISU,ASU,Fantasy Score,Goblin,23.5,OVER,6.121599999999997,29.6216,0.8,29.52,29.323,4,1,,03/11 12:35PM,fantasy score,
CBB,A,1.27,Colby Garland,SJSU,BSU,Fantasy Score,Goblin,28,OVER,7.907400000000003,35.9074,1,35.92,33.472,5,0,,03/11 11:35PM,fantasy score,
CBB,A,1.26,Colby Garland,SJSU,BSU,Points,Goblin,20.5,OVER,3.378799999999998,23.8788,1,24.6,21.444,5,0,,03/11 11:30PM,pts,
CBB,A,1.25,Anthony Johnson,ASU,ISU,Points,Goblin,9.5,OVER,4.2096,13.7096,0.8500000000000001,13.8,13.348,4,1,,03/11 12:30PM,pts,
CBB,A,1.25,AJ Staton-McCray,HALL,CREI,Points,Goblin,9.5,OVER,2.9476,12.4476,0.8,12.6,11.238,4,1,,03/12 02:30PM,pts,
CBB,A,1.24,Otega Oweh,UK,LSU,Points,Goblin,17.5,OVER,4.369,21.869,0.8,22.4,20.045,4,1,,03/11 12:30PM,pts,
CBB,A,1.24,Vaughn Weems,NEV,AFA,Points,Goblin,9.5,OVER,4.16,13.66,0.55,15.6,10.55,3,2,,03/11 05:30PM,pts,
CBB,A,1.24,Tavion Banks,IOWA,MD,Fantasy Score,Goblin,17,OVER,2.822400000000002,19.8224,0.8,18.76,21.177,4,1,,03/11 12:05PM,fantasy score,
CBB,A,1.24,Nigel James,MARQ,XAV,Fantasy Score,Goblin,33,OVER,4.432400000000001,37.4324,0.75,38.34,35.152,4,1,,03/11 06:35PM,fantasy score,
CBB,A,1.24,Tahaad Pettiford,AUB,MSST,Fantasy Score,Goblin,24.5,OVER,5.631800000000002,30.1318,0.7,30.62,26.319,3,2,,03/11 03:05PM,fantasy score,
CBB,A,1.24,Mohamed Wague,OKLA,SCAR,Points,Goblin,6.5,OVER,3.131,9.631,0.8,11.8,6.955,5,0,,03/11 09:30PM,pts,
CBB,A,1.23,Kam Sanders,AFA,NEV,Points,Goblin,10.5,OVER,5.010000000000002,15.51,0.9,17.2,12.65,5,0,,03/11 05:30PM,pts,
CBB,A,1.23,Dra Gibbs-Lawhorn,UNLV,WYO,3-PT Made,Standard,3.5,UNDER,-3.5,0,1,0,0,0,5,,03/11 03:00PM,3pm,
CBB,A,1.23,Aiden Tobiason,TEM,FAU,Points,Goblin,14.5,OVER,3.541799999999999,18.0418,0.85,19.4,15.909,5,0,,03/11 09:30PM,pts,
CBB,A,1.23,David Coit,MD,IOWA,Points,Standard,13.5,UNDER,-2.8346,10.6654,0.75,9,13.727,1,4,,03/11 12:00PM,pts,
CBB,A,1.23,Jaylin Sellers,PROV,BUT,Points,Goblin,18.5,OVER,3.466200000000001,21.9662,0.75,22.8,19.381,4,1,,03/11 04:00PM,pts,
CBB,A,1.23,Matas Vokietaitis,TEX,MISS,Points,Goblin,12.5,OVER,4.074200000000001,16.5742,0.8,16.6,15.571,4,1,,03/11 07:00PM,pts,
CBB,A,1.23,Barry Dunning,PITT,NCST,Fantasy Score,Goblin,22.5,OVER,8.903799999999997,31.4038,0.85,35.44,25.564,5,0,,03/11 12:05PM,fantasy score,
CBB,A,1.23,Jase Butler,CSU,FRES,Points,Goblin,8.5,OVER,3.917199999999999,12.4172,0.85,14.4,9.136,5,0,,03/11 09:00PM,pts,
CBB,A,1.22,Kevin Overton,AUB,MSST,Points,Goblin,11.5,OVER,4.768999999999998,16.269,0.55,18.2,14.095,3,2,,03/11 03:00PM,pts,
CBB,A,1.22,Collin Chandler,UK,LSU,Points,Goblin,7.5,OVER,2.874599999999999,10.3746,0.7,9.6,9.273,3,2,,03/11 12:30PM,pts,
CBB,A,1.22,Tahaad Pettiford,AUB,MSST,Points,Goblin,14.5,OVER,2.5,17,0.6499999999999999,16.6,15,3,2,,03/11 03:00PM,pts,
CBB,A,1.22,Jordan Pope,TEX,MISS,Points,Goblin,11.5,OVER,3.1938,14.6938,0.8,15.6,13.619,4,1,,03/11 07:00PM,pts,
CBB,A,1.21,Rob Dockery,LAS,SBON,Fantasy Score,Goblin,27,OVER,6.675800000000002,33.6758,0.9,36.42,27.514,5,0,,03/11 11:35AM,fantasy score,
CBB,A,1.21,DeShawn Gory,FRES,CSU,Fantasy Score,Goblin,26,OVER,6.263199999999998,32.2632,0.9,33.58,30.071,5,0,,03/11 09:05PM,fantasy score,
CBB,A,1.21,Joshua Jefferson,ISU,ASU,Fantasy Score,Goblin,32,OVER,5.354199999999999,37.3542,0.7,38.36,37.636,4,1,,03/11 12:35PM,fantasy score,
CBB,A,1.21,Mouhamed Dioubate,UK,LSU,Points,Goblin,6.5,OVER,2.731999999999999,9.232,0.7,10.6,7.81,4,1,,03/11 12:30PM,pts,
CBB,A,1.21,Adrian Myers,SJSU,BSU,Fantasy Score,Goblin,22,OVER,9.748999999999999,31.749,0.8,35.8,23.495,4,1,,03/11 11:35PM,fantasy score,
CBB,A,1.21,Matas Vokietaitis,TEX,MISS,Points,Goblin,13.5,OVER,3.074200000000001,16.5742,0.8,16.6,15.571,4,1,,03/11 07:00PM,pts,
CBB,A,1.21,David Coit,MD,IOWA,Pts+Rebs,Standard,15.5,UNDER,-3.23,12.27,0.75,10.6,15.5,1,4,,03/11 12:00PM,pr,
CBB,A,1.2,Corey Camper,NEV,AFA,Fantasy Score,Goblin,26,OVER,3.263999999999999,29.264,0.6499999999999999,27.02,30.8,3,2,,03/11 05:35PM,fantasy score,
CBB,A,1.2,Tahaad Pettiford,AUB,MSST,Assists,Goblin,2.5,OVER,1.6686,4.1686,1,3.8,4.143,5,0,,03/11 03:00PM,ast,
CBB,A,1.2,Brenen Lorient,WVU,BYU,Fantasy Score,Goblin,19,OVER,6.027000000000001,25.027,0.8,25.58,23.73,4,1,,03/11 07:05PM,fantasy score,
CBB,A,1.2,Jayden Epps,MSST,AUB,Fantasy Score,Goblin,15,OVER,2.4818,17.4818,0.6499999999999999,16.34,19.364,3,2,,03/11 03:05PM,fantasy score,
