player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Nikola Jokic,DEN,Fantasy Score,76.5,16.0,12.0,13.0,1.0,5.0,5.0,6.0,12.0,0.0,2.0,0.0,4.0,5.0,6.0,10.0,4.0,8.0,2.0,30.0
Kawhi Leonard,LAC,Fantasy Score,69.8,45.0,5.0,5.0,0.0,2.0,1.0,15.0,20.0,6.0,9.0,6.0,9.0,10.0,9.0,11.0,1.0,4.0,0.0,32.0
DeMar DeRozan,SAC,Fantasy Score,61.5,39.0,4.0,6.0,1.0,2.0,4.0,17.0,22.0,0.0,1.0,0.0,5.0,5.0,17.0,21.0,0.0,4.0,3.0,41.0
Desmond Bane,ORL,Fantasy Score,59.0,35.0,6.0,6.0,0.0,1.0,0.0,12.0,19.0,2.0,3.0,2.0,9.0,10.0,10.0,16.0,1.0,5.0,5.0,36.0
Jalen Brunson,NY,Fantasy Score,56.0,28.0,4.0,8.0,0.0,3.0,3.0,7.0,16.0,4.0,7.0,4.0,10.0,11.0,3.0,9.0,1.0,3.0,1.0,33.0
Kawhi Leonard,LAC,PRA,55.0,45.0,5.0,5.0,0.0,2.0,1.0,15.0,20.0,6.0,9.0,6.0,9.0,10.0,9.0,11.0,1.0,4.0,0.0,32.0
Kawhi Leonard,LAC,Pts+Rebs+Asts,55.0,45.0,5.0,5.0,0.0,2.0,1.0,15.0,20.0,6.0,9.0,6.0,9.0,10.0,9.0,11.0,1.0,4.0,0.0,32.0
Evan Mobley,CLE,Fantasy Score,54.8,18.0,13.0,4.0,2.0,0.0,0.0,8.0,13.0,0.0,2.0,0.0,2.0,7.0,8.0,11.0,5.0,8.0,5.0,32.0
James Harden,CLE,Fantasy Score,53.2,30.0,5.0,8.0,0.0,0.0,4.0,11.0,16.0,5.0,9.0,5.0,3.0,5.0,6.0,7.0,0.0,5.0,1.0,37.0
LaMelo Ball,CHA,Fantasy Score,53.0,30.0,6.0,5.0,0.0,1.0,3.0,10.0,22.0,6.0,13.0,6.0,4.0,4.0,4.0,9.0,2.0,4.0,1.0,31.0
Trey Murphy III,NO,Fantasy Score,52.8,28.0,7.0,3.0,0.0,3.0,3.0,8.0,12.0,5.0,8.0,5.0,7.0,8.0,3.0,4.0,0.0,7.0,2.0,34.0
Anthony Edwards,MIN,Fantasy Score,51.5,36.0,2.0,5.0,0.0,1.0,5.0,11.0,17.0,3.0,8.0,3.0,11.0,12.0,8.0,9.0,0.0,2.0,1.0,35.0
Brice Sensabaugh,UTAH,Fantasy Score,50.2,29.0,5.0,5.0,0.0,1.0,4.0,9.0,19.0,6.0,11.0,6.0,5.0,6.0,3.0,8.0,4.0,1.0,4.0,30.0
Kawhi Leonard,LAC,Pts+Rebs,50.0,45.0,5.0,5.0,0.0,2.0,1.0,15.0,20.0,6.0,9.0,6.0,9.0,10.0,9.0,11.0,1.0,4.0,0.0,32.0
Kawhi Leonard,LAC,Pts+Asts,50.0,45.0,5.0,5.0,0.0,2.0,1.0,15.0,20.0,6.0,9.0,6.0,9.0,10.0,9.0,11.0,1.0,4.0,0.0,32.0
Paolo Banchero,ORL,Fantasy Score,50.0,25.0,8.0,7.0,0.0,0.0,2.0,8.0,18.0,2.0,6.0,2.0,7.0,9.0,6.0,12.0,0.0,8.0,1.0,37.0
Dejounte Murray,NO,Fantasy Score,49.8,27.0,5.0,6.0,0.0,2.0,4.0,12.0,20.0,2.0,6.0,2.0,1.0,2.0,10.0,14.0,0.0,5.0,3.0,31.0
DeMar DeRozan,SAC,Pts+Rebs+Asts,49.0,39.0,4.0,6.0,1.0,2.0,4.0,17.0,22.0,0.0,1.0,0.0,5.0,5.0,17.0,21.0,0.0,4.0,3.0,41.0
DeMar DeRozan,SAC,PRA,49.0,39.0,4.0,6.0,1.0,2.0,4.0,17.0,22.0,0.0,1.0,0.0,5.0,5.0,17.0,21.0,0.0,4.0,3.0,41.0
Brandon Ingram,TOR,Fantasy Score,48.5,22.0,6.0,5.0,0.0,4.0,4.0,8.0,19.0,2.0,7.0,2.0,4.0,4.0,6.0,12.0,2.0,4.0,3.0,38.0
Desmond Bane,ORL,PRA,47.0,35.0,6.0,6.0,0.0,1.0,0.0,12.0,19.0,2.0,3.0,2.0,9.0,10.0,10.0,16.0,1.0,5.0,5.0,36.0
