player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Serge Gnabry,MUN,Fouls,2.0,uefa.champions,,3.0,1.0,1.0,,,,
Baris Alper Yilmaz,GAL,Fouls,2.0,uefa.champions,,0.0,0.0,0.0,,,,
Dominik Szoboszlai,LIV,Fouls,2.0,uefa.champions,,3.0,0.0,0.0,,,,
Gianluca Scamacca,ATA,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Hugo Ekitike,LIV,Fouls,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Michael Olise,MUN,Goals,2.0,uefa.champions,,5.0,2.0,1.0,,,,
Ibrahima Konaté,LIV,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Julián Álvarez,ATM,Shots,2.0,uefa.champions,,2.0,2.0,1.0,,,,
Julián Álvarez,ATM,Goals,2.0,uefa.champions,,2.0,2.0,1.0,,,,
Julián Álvarez,ATM,Fouls,2.0,uefa.champions,,2.0,2.0,1.0,,,,
Gianluca Scamacca,ATA,Fouls,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Joe Gomez,LIV,Fouls,2.0,uefa.champions,,0.0,0.0,0.0,,,,
Alexis Mac Allister,LIV,Fouls,2.0,uefa.champions,,1.0,0.0,0.0,,,,
Kevin Danso,TOT,Fouls,2.0,uefa.champions,,0.0,0.0,0.0,,,,
Pape Matar Sarr,TOT,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Pape Matar Sarr,TOT,Fouls,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Archie Gray,TOT,Fouls,2.0,uefa.champions,,1.0,0.0,0.0,,,,
Ibrahima Konaté,LIV,Fouls,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Dominic Solanke,TOT,Shots,2.0,uefa.champions,,2.0,1.0,0.0,,,,
Malick Thiaw,NEW,Fouls,2.0,uefa.champions,,0.0,0.0,0.0,,,,
Dayot Upamecano,MUN,Shots,2.0,uefa.champions,,2.0,0.0,1.0,,,,
Sandro Tonali,NEW,Fouls,2.0,uefa.champions,,3.0,0.0,0.0,,,,
Andrew Robertson,LIV,Fouls,2.0,uefa.champions,,0.0,0.0,0.0,,,,
Jacob Ramsey,NEW,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Richarlison,TOT,Shots,2.0,uefa.champions,,2.0,0.0,1.0,,,,
Hugo Ekitike,LIV,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Mario Pasalic,ATA,Shots,2.0,uefa.champions,,2.0,1.0,0.0,,,,
Anthony Elanga,NEW,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Joan García,BAR,Goalkeeper Saves,2.0,uefa.champions,,0.0,0.0,0.0,2.0,,,
Ronald Araújo,BAR,Shots,2.0,uefa.champions,,2.0,0.0,0.0,,,,
Fermín López,BAR,Fouls,2.0,uefa.champions,,1.0,0.0,0.0,,,,
Lamine Yamal,BAR,Shots,2.0,uefa.champions,,2.0,1.0,0.0,,,,
Noa Lang,GAL,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Yunus Musah,ATA,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Yunus Musah,ATA,Yellow Cards,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Lorenzo Bernasconi,ATA,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Lazar Samardzic,ATA,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Josip Stanisic,MUN,Shots,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Virgil van Dijk,LIV,Yellow Cards,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Josip Stanisic,MUN,Goals,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Michael Olise,MUN,Yellow Cards,1.0,uefa.champions,,5.0,2.0,1.0,,,,
Raoul Bellanova,ATA,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Mario Pasalic,ATA,Goals,1.0,uefa.champions,,2.0,1.0,0.0,,,,
Milos Kerkez,LIV,Yellow Cards,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Serge Gnabry,MUN,Goals,1.0,uefa.champions,,3.0,1.0,1.0,,,,
Serge Gnabry,MUN,Assists,1.0,uefa.champions,,3.0,1.0,1.0,,,,
Jamal Musiala,MUN,Fouls,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Dominik Szoboszlai,LIV,Yellow Cards,1.0,uefa.champions,,3.0,0.0,0.0,,,,
Alexis Mac Allister,LIV,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Marten de Roon,ATA,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Aleksandar Pavlovic,MUN,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Nicola Zalewski,ATA,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Ryan Gravenberch,LIV,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Luis Díaz,MUN,Assists,1.0,uefa.champions,,4.0,0.0,1.0,,,,
Ryan Gravenberch,LIV,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Ryan Gravenberch,LIV,Yellow Cards,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Jamal Musiala,MUN,Goals,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Alphonso Davies,MUN,Assists,1.0,uefa.champions,,0.0,0.0,1.0,,,,
Jamal Musiala,MUN,Shots,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Marcus Rashford,BAR,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Berat Djimsiti,ATA,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Dávid Hancko,ATM,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Robin Le Normand,ATM,Shots,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Robin Le Normand,ATM,Goals,1.0,uefa.champions,,1.0,1.0,0.0,,,,
Matteo Ruggeri,ATM,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Marc Pubill,ATM,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Kamaldeen Sulemana,ATA,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Berat Djimsiti,ATA,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Marcos Llorente,ATM,Goals,1.0,uefa.champions,,3.0,1.0,0.0,,,,
