Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.48,Thomas Dowd,TROY,GASO,Points,Goblin,9.5,OVER,6.1746,15.6746,0.95,17,14.273,5,0,,03/09 07:00PM,pts,
CBB,A,1.39,Isaac Williams,BAY,ASU,Assists,Goblin,2.5,OVER,2.2784,4.7784,0.95,5.2,3.542,5,0,,03/10 12:30PM,ast,
CBB,A,1.36,Cooper Campbell,TROY,GASO,Points,Goblin,9.5,OVER,4.137199999999998,13.6372,0.8,14.4,11.636,4,1,,03/09 07:00PM,pts,
CBB,A,1.34,Thomas Dowd,TROY,GASO,Points,Goblin,11.5,OVER,4.1746,15.6746,0.8,17,14.273,4,1,,03/09 07:00PM,pts,
CBB,A,1.33,Alden Applewhite,GASO,TROY,Points,Goblin,9.5,OVER,6.8308,16.3308,0.8500000000000001,16,14.654,4,1,,03/09 07:00PM,pts,
CBB,A,1.33,Thomas Dowd,TROY,GASO,Rebounds,Goblin,7.5,OVER,2.134599999999999,9.634599999999999,0.95,9.6,9.773,5,0,,03/09 07:00PM,reb,
CBB,A,1.32,Victor Valdes,TROY,GASO,Points,Goblin,9.5,OVER,2.6418,12.1418,0.8,11.4,13.909,4,1,,03/09 07:00PM,pts,
CBB,A,1.31,Anthony Johnson,ASU,BAY,Points,Goblin,9.5,OVER,4.2096,13.7096,0.8500000000000001,13.8,13.348,4,1,,03/10 12:30PM,pts,
CBB,A,1.31,Jerrell Bellamy,TROY,GASO,Points,Goblin,9.5,OVER,4.169,13.669,0.7,16.2,9.545,4,1,,03/09 07:00PM,pts,
CBB,A,1.3,Thomas Dowd,TROY,GASO,Pts+Rebs,Goblin,19.5,OVER,5.809000000000001,25.309,0.8,26.6,24.045,4,1,,03/09 07:00PM,pr,
CBB,A,1.29,Kwame Evans,ORE,MD,Points,Goblin,12.5,OVER,2.7042,15.2042,0.85,17,13.571,5,0,,03/10 05:00PM,pts,
CBB,A,1.29,Barry Dunning,PITT,STAN,Points,Goblin,9.5,OVER,6.687200000000001,16.1872,0.9,18.6,13.136,5,0,,03/10 02:00PM,pts,
CBB,A,1.29,Maki Johnson,ETSU,FUR,Points,Goblin,2.5,OVER,3.3866,5.8866,0.8500000000000001,5.8,5.333,4,1,,03/09 07:00PM,pts,
CBB,A,1.25,Seydou Traore,UTAH,CIN,Pts+Rebs,Standard,12.5,UNDER,-3.41,9.09,0.85,7.6,11,0,5,,03/10 03:00PM,pr,
CBB,A,1.25,Mikey Lewis,SMC,SCU,Points,Goblin,11.5,OVER,7.359000000000002,18.859,0.85,22.6,13.045,5,0,,03/09 11:30PM,pts,
CBB,A,1.24,Jizzle James,CIN,UTAH,Points,Goblin,8.5,OVER,2.412800000000001,10.9128,0.75,10.4,10.864,4,1,,03/10 03:00PM,pts,
CBB,A,1.24,Josiah Lake,ORST,GONZ,Assists,Goblin,2.5,OVER,3.2378,5.7378,0.85,6.4,4.739,5,0,,03/09 09:00PM,ast,
CBB,A,1.23,Dra Gibbs-Lawhorn,UNLV,WYO,3-PT Made,Standard,3.5,UNDER,-3.5,0,1,0,0,0,5,,03/11 03:00PM,3pm,
CBB,A,1.23,Bangot Dak,COLO,OKST,Points,Goblin,10.5,OVER,2.431000000000001,12.931,0.6,14.4,10.955,3,2,,03/10 09:30PM,pts,
CBB,A,1.22,Spudd Webb,GASO,TROY,Points,Goblin,9.5,OVER,5.299200000000001,14.7992,0.7,15,15.346,4,1,,03/09 07:00PM,pts,
CBB,A,1.22,Massamba Diop,ASU,BAY,Points,Goblin,11.5,OVER,2.633000000000001,14.133,0.8,13.8,14.565,4,1,,03/10 12:30PM,pts,
CBB,A,1.22,Thomas Dowd,TROY,GASO,Points,Goblin,12.5,OVER,3.1746,15.6746,0.6,17,14.273,3,2,,03/09 07:00PM,pts,
CBB,A,1.22,Cooper Bowser,FUR,ETSU,Points,Goblin,9.5,OVER,5.9672,15.4672,0.95,16,15.286,5,0,,03/09 07:00PM,pts,
CBB,A,1.22,P.J. Haggerty,KSU,BYU,Points,Goblin,17.5,OVER,5.509999999999998,23.01,0.8,23,22.9,4,1,,03/10 07:00PM,pts,
CBB,A,1.22,Cameron Corhen,PITT,STAN,Points,Goblin,11.5,OVER,4.144600000000001,15.6446,0.9,17,12.773,5,0,,03/10 02:00PM,pts,
