nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_proj,minutes_bucket,actual_minutes,OVERALL_DEF_RANK,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,prop_norm,stat_prefix,pick_type_key,forced_over_only,eligible,is_combo,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,DEF_TIER,projection,edge,edge_dr,confidence,prop_weight,reliability_mult,dir_mult,rank_score,min_last10_avg,min_last5_avg,min_season_avg_s4
1629060,Rui Hachimura,LAL,OKC,4.5,5.0,fg3a,Goblin,OVER,D,0.552,0-0.99,26.6,24-27.99,32.88333333333333,1,1-10 Strong,Goblin | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,0,0,HIT,,1,F,3-PT Attempted,3ptattempted,fg3a,goblin,True,False,False,29.732,2,3,0,0.4,Elite,3.948,-0.552,0.64,0.0,1.02,0.6,0.85,-9999.0,26.6,27.2,29.73170731707317
1628392,Isaiah Hartenstein,OKC,LAL,4.5,4.0,fgm,Demon,OVER,D,0.784,0-0.99,23.4,<24,21.666666666666668,24,21-30 Weak,Demon | <24,OVER | <24,<24 | 21-30 Weak,,0,0,MISS,,-1,C-F,FG Made,fgmade,fgm,demon,True,False,False,26.286,0,5,0,0.0,Bad,3.716,-0.784,0.833,0.0,1.02,0.4,0.85,-9999.0,23.4,21.6,26.285714285714285
1629060,Rui Hachimura,LAL,OKC,4.5,7.0,ra,Goblin,OVER,D,,NA,26.6,24-27.99,32.88333333333333,1,1-10 Strong,Goblin | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,0,0,HIT,,1,F,Rebs+Asts,rebs+asts,ra,goblin,True,False,False,29.732,0,0,0,0.0,Elite,,,0.0,0.0,1.02,0.6,0.85,-9999.0,26.6,27.2,29.73170731707317
1628379,Luke Kennard,LAL,OKC,4.5,2.0,ra,Goblin,OVER,D,,NA,21.1,<24,24.216666666666665,1,1-10 Strong,Goblin | <24,OVER | <24,<24 | 1-10 Strong,,0,0,MISS,,-1,G,Rebs+Asts,rebs+asts,ra,goblin,True,False,False,20.66,0,0,0,0.0,Elite,,,0.0,0.0,1.02,0.6,0.85,-9999.0,21.1,21.4,20.659574468085108
1629652,Luguentz Dort,OKC,LAL,4.5,6.0,ra,Goblin,OVER,D,,NA,31.1,28-31.99,28.916666666666668,24,21-30 Weak,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,0,0,HIT,,1,G,Rebs+Asts,rebs+asts,ra,goblin,True,False,False,27.81,0,0,0,0.0,Bad,,,0.0,0.0,1.02,0.6,0.85,-9999.0,31.1,30.2,27.80952380952381
2544,LeBron James,LAL,OKC,4.5,4.0,ftm,Demon,OVER,D,,NA,33.206,32-35.99,35.983333333333334,1,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,0,0,MISS,,-1,F,Free Throws Made,freethrowsmade,,demon,True,False,False,33.206,0,0,0,0.0,Elite,,,0.0,0.0,1.0,0.4,0.85,-9999.0,,,
1628379,Luke Kennard,LAL,OKC,4.5,1.0,assists,Demon,OVER,D,2.877,2-2.99,21.1,<24,24.216666666666665,1,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,0,0,MISS,,-1,G,Assists,asts,ast,demon,True,False,False,20.66,0,5,0,0.0,Elite,1.623,-2.877,1.682,0.0,1.0,0.4,0.85,-9999.0,21.1,21.4,20.659574468085108
1630198,Isaiah Joe,OKC,LAL,3.5,4.0,fg3m,Demon,OVER,D,1.082,1-1.99,26.3,24-27.99,27.45,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,HIT,,1,G,3-PT Made,3ptmade,fg3m,demon,True,False,False,20.841,1,4,0,0.2,Bad,2.418,-1.082,1.061,0.0,1.03,0.4,0.85,-9999.0,26.3,27.4,20.84090909090909
1631096,Chet Holmgren,OKC,LAL,3.5,2.0,assists,Demon,OVER,D,1.956,1-1.99,30.8,28-31.99,31.183333333333334,24,21-30 Weak,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,0,0,MISS,,-1,C-F,Assists,asts,ast,demon,True,False,False,29.348,0,5,0,0.0,Bad,1.544,-1.956,1.654,0.0,1.0,0.4,0.85,-9999.0,30.8,30.6,29.347826086956523
1641717,Cason Wallace,OKC,LAL,3.5,2.0,steals,Demon,OVER,D,1.286,1-1.99,26.4,24-27.99,30.816666666666666,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,MISS,,-1,G,Steals,steals,stl,demon,True,False,False,26.68,2,3,0,0.4,Bad,2.214,-1.286,1.208,0.0,1.0,0.4,0.85,-9999.0,26.4,29.4,26.68
1641717,Cason Wallace,OKC,LAL,3.5,0.0,fg3m,Demon,OVER,D,1.866,1-1.99,26.4,24-27.99,30.816666666666666,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,MISS,,-1,G,3-PT Made,3ptmade,fg3m,demon,True,False,False,26.68,1,4,0,0.2,Bad,1.634,-1.866,1.597,0.0,1.03,0.4,0.85,-9999.0,26.4,29.4,26.68
1627936,Alex Caruso,OKC,LAL,3.5,1.0,rebounds,Demon,OVER,D,1.164,1-1.99,18.2,<24,24.083333333333332,24,21-30 Weak,Demon | <24,OVER | <24,<24 | 21-30 Weak,,0,0,MISS,,-1,G,Rebounds,rebs,reb,demon,True,False,False,18.441,2,3,0,0.4,Bad,2.336,-1.164,1.121,0.0,1.0,0.4,0.85,-9999.0,18.2,18.2,18.44117647058824
1627936,Alex Caruso,OKC,LAL,3.5,2.0,assists,Demon,OVER,D,1.342,1-1.99,18.2,<24,24.083333333333332,24,21-30 Weak,Demon | <24,OVER | <24,<24 | 21-30 Weak,,0,0,MISS,,-1,G,Assists,asts,ast,demon,True,False,False,18.441,0,5,0,0.0,Bad,2.158,-1.342,1.247,0.0,1.0,0.4,0.85,-9999.0,18.2,18.2,18.44117647058824
1630598,Aaron Wiggins,OKC,LAL,3.5,0.0,fg3m,Demon,OVER,D,1.264,1-1.99,27.4,24-27.99,14.6,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,MISS,,-1,G,3-PT Made,3ptmade,fg3m,demon,True,False,False,24.079,1,4,0,0.2,Bad,2.236,-1.264,1.192,0.0,1.03,0.4,0.85,-9999.0,27.4,26.6,24.07894736842105
1641717,Cason Wallace,OKC,LAL,3.5,4.0,rebounds,Demon,OVER,D,0.447,0-0.99,26.4,24-27.99,30.816666666666666,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,HIT,,1,G,Rebounds,rebs,reb,demon,True,False,False,26.68,2,3,0,0.4,Bad,3.053,-0.447,0.547,0.0,1.0,0.4,0.85,-9999.0,26.4,29.4,26.68
1641717,Cason Wallace,OKC,LAL,3.5,6.0,assists,Demon,OVER,D,1.172,1-1.99,26.4,24-27.99,30.816666666666666,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,HIT,,1,G,Assists,asts,ast,demon,True,False,False,26.68,3,2,0,0.6,Bad,2.328,-1.172,1.126,0.0,1.0,0.4,0.85,-9999.0,26.4,29.4,26.68
1631096,Chet Holmgren,OKC,LAL,3.5,2.0,blocks,Demon,OVER,D,,NA,29.348,28-31.99,31.183333333333334,24,21-30 Weak,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,0,0,MISS,,-1,C-F,Blocked Shots,blockedshots,,demon,True,False,False,29.348,0,0,0,0.0,Bad,,,0.0,0.0,1.0,0.4,0.85,-9999.0,,,
1630598,Aaron Wiggins,OKC,LAL,3.5,1.0,assists,Demon,OVER,D,1.456,1-1.99,27.4,24-27.99,14.6,24,21-30 Weak,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,0,0,MISS,,-1,G,Assists,asts,ast,demon,True,False,False,24.079,2,3,0,0.4,Bad,2.044,-1.456,1.326,0.0,1.0,0.4,0.85,-9999.0,27.4,26.6,24.07894736842105
1631105,Jalen Duren,DET,CHA,2.5,,dunks,Standard,UNDER,D,,NA,26.7,24-27.99,,14,11-20 Average,Standard | 24-27.99,UNDER | 24-27.99,24-27.99 | 11-20 Average,,0,0,VOID,UNMAPPED_PROP,0,C,Dunks,dunks,,standard,False,False,False,27.86,0,0,0,0.0,Avg,,,0.0,0.0,1.0,1.0,1.25,-9999.0,26.7,25.2,27.86046511627907
