espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,shots_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,shots_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player
275599,Caoimhín Kelleher,Goalkeeper,BRENTFORD,WEST HAM,SOCCER,3.0,Goalie Saves,saves,Standard,10398612,10398612,252930,137168,2026-03-09T15:30:00.000-04:00,,,3.0,0,https://static.prizepicks.com/images/players/soccer/dpw4s6nbkfcrjlqxxgf9j5yhh.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
148987,Alphonse Areola,Goalkeeper,WEST HAM,BRENTFORD,SOCCER,3.0,Goalie Saves,saves,Standard,10398613,10398613,148831,137168,2026-03-09T15:30:00.000-04:00,,,3.0,0,https://static.prizepicks.com/images/players/soccer/9eaevg9okpy4gcm6yofg7vbv9.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
301894,Igor Thiago,Attacker,BRENTFORD,WEST HAM,SOCCER,3.0,Shots,shots,Standard,10416105,10416105,221908,137168,2026-03-09T15:30:00.000-04:00,,,3.0,0,https://static.prizepicks.com/images/manual/Thiago.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
201089,Jarrod Bowen,Attacker,WEST HAM,BRENTFORD,SOCCER,2.0,Shots,shots,Standard,10416101,10416101,148570,137168,2026-03-09T15:30:00.000-04:00,,,2.0,0,https://static.prizepicks.com/images/players/soccer/d542ijpf3j9hdrtt1mfe6vwlx.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
310958,Kevin Schade,Midfielder,BRENTFORD,WEST HAM,SOCCER,2.0,Shots,shots,Standard,10416106,10416106,149004,137168,2026-03-09T15:30:00.000-04:00,,,2.0,0,https://static.prizepicks.com/images/players/soccer/1h3mduwlaf89ebwtqxuegsodm.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
242705,Konstantinos Mavropanos,Defender,WEST HAM,BRENTFORD,SOCCER,47.5,Passes Attempted,passes,Standard,10416075,10416075,176412,137168,2026-03-09T15:30:00.000-04:00,,,47.5,0,https://static.prizepicks.com/images/players/soccer/5l8wtw156meo2vrtrgasif6jt.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
346820,Mateus Fernandes,Midfielder,WEST HAM,BRENTFORD,SOCCER,45.5,Passes Attempted,passes,Standard,10416076,10416076,259151,137168,2026-03-09T15:30:00.000-04:00,,,45.5,0,https://static.prizepicks.com/images/manual/Mateus Gonçalo Espanha Fernandes.png,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
356640,Michael Kayode,Defender,BRENTFORD,WEST HAM,SOCCER,35.5,Passes Attempted,passes,Standard,10416077,10416077,237460,137168,2026-03-09T15:30:00.000-04:00,,,35.5,0,https://static.prizepicks.com/images/players/soccer/471t4engadct4su6thk5r5qtw.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
301894,Igor Thiago,Attacker,BRENTFORD,WEST HAM,SOCCER,5.5,Shots,shots,Demon,10362446,10362446,221908,137168,2026-03-09T15:30:00.000-04:00,,,3.0,2,https://static.prizepicks.com/images/manual/Thiago.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
148987,Alphonse Areola,Goalkeeper,WEST HAM,BRENTFORD,SOCCER,4.5,Goalie Saves,saves,Demon,10362367,10362367,148831,137168,2026-03-09T15:30:00.000-04:00,,,3.0,2,https://static.prizepicks.com/images/players/soccer/9eaevg9okpy4gcm6yofg7vbv9.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
275599,Caoimhín Kelleher,Goalkeeper,BRENTFORD,WEST HAM,SOCCER,4.5,Goalie Saves,saves,Demon,10362388,10362388,252930,137168,2026-03-09T15:30:00.000-04:00,,,3.0,2,https://static.prizepicks.com/images/players/soccer/dpw4s6nbkfcrjlqxxgf9j5yhh.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
301894,Igor Thiago,Attacker,BRENTFORD,WEST HAM,SOCCER,4.5,Shots,shots,Demon,10362445,10362445,221908,137168,2026-03-09T15:30:00.000-04:00,,,3.0,1,https://static.prizepicks.com/images/manual/Thiago.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
148987,Alphonse Areola,Goalkeeper,WEST HAM,BRENTFORD,SOCCER,3.5,Goalie Saves,saves,Demon,10362366,10362366,148831,137168,2026-03-09T15:30:00.000-04:00,,,3.0,1,https://static.prizepicks.com/images/players/soccer/9eaevg9okpy4gcm6yofg7vbv9.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
275599,Caoimhín Kelleher,Goalkeeper,BRENTFORD,WEST HAM,SOCCER,3.5,Goalie Saves,saves,Demon,10362387,10362387,252930,137168,2026-03-09T15:30:00.000-04:00,,,3.0,1,https://static.prizepicks.com/images/players/soccer/dpw4s6nbkfcrjlqxxgf9j5yhh.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
315530,Dango Ouattara,Attacker,BRENTFORD,WEST HAM,SOCCER,3.5,Shots,shots,Demon,10362407,10362407,254375,137168,2026-03-09T15:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/manual/Dango_Aboubacar_Faissal_Ouattara.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
301894,Igor Thiago,Attacker,BRENTFORD,WEST HAM,SOCCER,3.5,Shots On Target,shots_on_target,Demon,10362449,10362449,221908,137168,2026-03-09T15:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/manual/Thiago.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
201089,Jarrod Bowen,Attacker,WEST HAM,BRENTFORD,SOCCER,3.5,Shots,shots,Demon,10362458,10362458,148570,137168,2026-03-09T15:30:00.000-04:00,,,2.0,1,https://static.prizepicks.com/images/players/soccer/d542ijpf3j9hdrtt1mfe6vwlx.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
284490,Keane Lewis-Potter,Attacker,BRENTFORD,WEST HAM,SOCCER,3.5,Shots,shots,Demon,10362494,10362494,149891,137168,2026-03-09T15:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/soccer/7j36oy8n0tu8ps0haqb4es48a.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
310958,Kevin Schade,Midfielder,BRENTFORD,WEST HAM,SOCCER,3.5,Shots,shots,Demon,10362510,10362510,149004,137168,2026-03-09T15:30:00.000-04:00,,,2.0,2,https://static.prizepicks.com/images/players/soccer/1h3mduwlaf89ebwtqxuegsodm.webp,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
308932,Mikkel Damsgaard,Midfielder,BRENTFORD,WEST HAM,SOCCER,3.5,Tackles,tackles,Demon,10362588,10362588,149007,137168,2026-03-09T15:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Mikkel Damsgaard.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
368333,Mohamadou Kanté,Midfielder,WEST HAM,BRENTFORD,SOCCER,3.5,Shots,shots,Demon,10362594,10362594,252288,137168,2026-03-09T15:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/manual/Mohamadou_Kanté.png,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
231367,Adama Traoré,Attacker,WEST HAM,BRENTFORD,SOCCER,2.5,Shots,shots,Demon,10362361,10362361,297114,137168,2026-03-09T15:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Adama_Traoré.png,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
148987,Alphonse Areola,Goalkeeper,WEST HAM,BRENTFORD,SOCCER,2.5,Goalie Saves,saves,Goblin,10362368,10362368,148831,137168,2026-03-09T15:30:00.000-04:00,,,3.0,1,https://static.prizepicks.com/images/players/soccer/9eaevg9okpy4gcm6yofg7vbv9.webp,,,,,OK,28,40.0,1.429,,0,13,0,11,11,Avg,,,,,,,,,,,,,,,,,,,,,,,0
315530,Dango Ouattara,Attacker,BRENTFORD,WEST HAM,SOCCER,2.5,Shots,shots,Demon,10362406,10362406,254375,137168,2026-03-09T15:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Dango_Aboubacar_Faissal_Ouattara.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
301894,Igor Thiago,Attacker,BRENTFORD,WEST HAM,SOCCER,2.5,Fouls,fouls,Demon,10362441,10362441,221908,137168,2026-03-09T15:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Thiago.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
301894,Igor Thiago,Attacker,BRENTFORD,WEST HAM,SOCCER,2.5,Shots,shots,Goblin,10362447,10362447,221908,137168,2026-03-09T15:30:00.000-04:00,,,3.0,1,https://static.prizepicks.com/images/manual/Thiago.png,,,,,OK,28,54.0,1.929,,0,6,0,15,19,Weak,,,,,,,,,,,,,,,,,,,,,,,0
