espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player
192847,10444566,10444566,251019,135156,2026-03-12T18:15:00.000-04:00,,,Gabriel Báez,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
269808,10444572,10444572,192294,135156,2026-03-12T18:15:00.000-04:00,,,Gastón Lodico,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,0
402605,10444577,10444577,247666,135156,2026-03-12T18:15:00.000-04:00,,,Giovanni Baroni,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Goblin,,1,,,,,,OK,0
402605,10444580,10444580,247666,135156,2026-03-12T18:15:00.000-04:00,,,Giovanni Baroni,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
176058,10444592,10444592,246310,135156,2026-03-12T18:15:00.000-04:00,,,Jhon Córdoba,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/Jhon_Emerson_Córdoba_Mosquera.png,,,,,OK,0
176058,10444594,10444594,246310,135156,2026-03-12T18:15:00.000-04:00,,,Jhon Córdoba,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Jhon_Emerson_Córdoba_Mosquera.png,,,,,OK,0
139390,10444599,10444599,247903,135156,2026-03-12T18:15:00.000-04:00,,,José Palomino,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,2,,,,,,OK,0
131717,10444604,10444604,274083,135156,2026-03-12T18:15:00.000-04:00,,,Juan Méndez,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
297055,10444607,10444607,296218,135156,2026-03-12T18:15:00.000-04:00,,,Juan Sforza,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
307620,10444617,10444617,249010,135156,2026-03-12T18:15:00.000-04:00,,,Mateo Cáceres,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
307620,10444620,10444620,249010,135156,2026-03-12T18:15:00.000-04:00,,,Mateo Cáceres,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,2,,,,,,OK,0
297328,10444622,10444622,277610,135156,2026-03-12T18:15:00.000-04:00,,,Matías Galarza,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
173449,10444625,10444625,205303,135156,2026-03-12T18:15:00.000-04:00,,,Matías Catalán,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,2,https://static.prizepicks.com/images/manual/Matías Catalán.png,,,,,OK,0
298852,10444632,10444632,246222,135156,2026-03-12T18:15:00.000-04:00,,,Matías Fonseca,Attacker,INSTITUTO,TALLERES,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Matías_Fonseca.png,,,,,OK,0
258808,10444637,10444637,295214,135156,2026-03-12T18:15:00.000-04:00,,,Nicolás Guerra,Attacker,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Goblin,,2,,,,,,OK,0
258808,10444643,10444643,295214,135156,2026-03-12T18:15:00.000-04:00,,,Nicolás Guerra,Attacker,INSTITUTO,TALLERES,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
252617,10444649,10444649,295758,135156,2026-03-12T18:15:00.000-04:00,,,Ronaldo Martínez,Attacker,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Goblin,,1,,,,,,OK,0
252617,10444653,10444653,295758,135156,2026-03-12T18:15:00.000-04:00,,,Ronaldo Martínez,Attacker,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
358648,10444656,10444656,275182,135156,2026-03-12T18:15:00.000-04:00,,,Santiago Fernández,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,2,,,,,,OK,0
402177,10444659,10444659,245956,135156,2026-03-12T18:15:00.000-04:00,,,Timoteo Chamorro,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/Timoteo_Chamorr.png,,,,,OK,0
402177,10444661,10444661,245956,135156,2026-03-12T18:15:00.000-04:00,,,Timoteo Chamorro,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,2,https://static.prizepicks.com/images/manual/Timoteo_Chamorr.png,,,,,OK,0
292245,10444665,10444665,274880,135156,2026-03-12T18:15:00.000-04:00,,,Valentín Depietri,Attacker,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
402606,10472339,10472339,245947,135156,2026-03-12T18:15:00.000-04:00,,,Emiliano Chiavassa,Attacker,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/EmilianoMiguelChiavassa.png,,,,,OK,0
