espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,position_group,minutes_tier,shot_volume,field_involvement,pass_role,is_goalkeeper,shot_role,usage_role
,Wesley,Defender,ROMA,BOLOGNA,SOCCER,34.5,Passes Attempted,passes,Standard,10510318,10510318,253945,139762,2026-03-12T13:45:00.000-04:00,,,34.5,0,https://static.prizepicks.com/images/manual/Wesley_Vinícius_França_Lima.png,,,,,UNRESOLVED_SINGLE,28.0,34.0,1.214,,0.0,11.0,0.0,11.0,10.0,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,DEF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN
242593.0,Evan Ndicka,Defender,ROMA,BOLOGNA,SOCCER,4.5,Clearances,clearances,Standard,10510705,10510705,186999,139762,2026-03-12T13:45:00.000-04:00,,,4.5,0,https://static.prizepicks.com/images/players/soccer/efzokrggje7s9wc6hg75yc6ax.webp,,,,,OK,28.0,34.0,1.214,,0.0,11.0,0.0,11.0,10.0,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,DEF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN
238798.0,Mile Svilar,Goalkeeper,ROMA,BOLOGNA,SOCCER,3.0,Goalie Saves,saves,Standard,10477776,10477776,176407,139762,2026-03-12T13:45:00.000-04:00,,,3.0,0,https://static.prizepicks.com/images/players/soccer/el58uxf7oaqu95yx1vbgmr7it.webp,,,,,OK,28.0,34.0,1.214,,0.0,11.0,0.0,11.0,10.0,Above Avg,0,3.0,2.0,0.0,5.0,1.0,,,,,,2.2,2.2,2.2,1.0,3.0,1.0,0.2,0.25,0.75,0.25,0.75,OK,,,OK,5.0,1.0,3.0,1.0,0.2,0.6,5.0,1.0,3.0,1.0,0.2,0.6,GK,UNKNOWN,UNKNOWN,FRINGE,UNKNOWN,1,UNKNOWN,FRINGE
206587.0,Pierluigi Gollini,Goalkeeper,ROMA,BOLOGNA,SOCCER,3.0,Goalie Saves,saves,Standard,10477777,10477777,254898,139762,2026-03-12T13:45:00.000-04:00,,,3.0,0,https://static.prizepicks.com/images/players/soccer/u60zu48a4zqnupyxp2d0mqqd.webp,,,,,OK,28.0,34.0,1.214,,0.0,11.0,0.0,11.0,10.0,Above Avg,0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,,OK,4.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,GK,UNKNOWN,UNKNOWN,FRINGE,UNKNOWN,1,UNKNOWN,FRINGE
259481.0,Donyell Malen,Attacker,ROMA,BOLOGNA,SOCCER,3.0,Shots,shots,Standard,10486243,10486243,294424,139762,2026-03-12T13:45:00.000-04:00,,,3.0,0,https://static.prizepicks.com/images/manual/Donyell_Malen.png,,,,,OK,28.0,34.0,1.214,,0.0,11.0,0.0,11.0,10.0,Above Avg,0,2.0,6.0,5.0,3.0,7.0,,,,,,4.6,4.6,4.6,3.0,1.0,1.0,0.6,0.75,0.25,0.75,0.25,OK,,,OK,5.0,3.0,1.0,1.0,0.6,0.2,5.0,3.0,1.0,1.0,0.6,0.2,FWD,UNKNOWN,HIGH_VOL,FRINGE,UNKNOWN,0,HIGH_VOL,FRINGE
179358.0,Lukasz Skorupski,Goalkeeper,BOLOGNA,ROMA,SOCCER,2.5,Goalie Saves,saves,Standard,10477778,10477778,150627,139762,2026-03-12T13:45:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/4hrmzpx1nt5ze55fpby71mcb9.webp,,,,,OK,28.0,21.0,0.75,,0.0,16.0,0.0,9.0,2.0,Elite,0,2.0,2.0,3.0,1.0,0.0,,,,,,1.6,1.6,1.6,1.0,4.0,0.0,0.2,0.2,0.8,0.2,0.8,OK,,,OK,5.0,1.0,4.0,0.0,0.2,0.8,5.0,1.0,4.0,0.0,0.2,0.8,GK,UNKNOWN,UNKNOWN,FRINGE,UNKNOWN,1,UNKNOWN,FRINGE
245626.0,Federico Ravaglia,Goalkeeper,BOLOGNA,ROMA,SOCCER,2.5,Goalie Saves,saves,Standard,10477779,10477779,160618,139762,2026-03-12T13:45:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/9m6yva52cmdq7uu31qrwdrund.webp,,,,,OK,28.0,21.0,0.75,,0.0,16.0,0.0,9.0,2.0,Elite,0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,,OK,5.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,GK,UNKNOWN,UNKNOWN,FRINGE,UNKNOWN,1,UNKNOWN,FRINGE
250284.0,Santiago Castro,Attacker,BOLOGNA,ROMA,SOCCER,2.0,Shots,shots,Standard,10486242,10486242,207202,139762,2026-03-12T13:45:00.000-04:00,,,2.0,0,https://static.prizepicks.com/images/manual/Santiago_Castro.png,,,,,OK,28.0,21.0,0.75,,0.0,16.0,0.0,9.0,2.0,Elite,0,5.0,3.0,2.0,2.0,2.0,,,,,,2.8,2.8,2.8,2.0,0.0,3.0,0.4,1.0,0.0,1.0,0.0,OK,,,OK,5.0,2.0,0.0,3.0,0.4,0.0,5.0,2.0,0.0,3.0,0.4,0.0,FWD,UNKNOWN,MID_VOL,FRINGE,UNKNOWN,0,MID_VOL,FRINGE
234426.0,Riccardo Orsolini,Attacker,BOLOGNA,ROMA,SOCCER,2.0,Shots,shots,Standard,10486244,10486244,150623,139762,2026-03-12T13:45:00.000-04:00,,,2.0,0,https://static.prizepicks.com/images/players/soccer/1cu7fg8sf90isf9gp21e5fqh.webp,,,,,OK,28.0,21.0,0.75,,0.0,16.0,0.0,9.0,2.0,Elite,0,3.0,1.0,2.0,0.0,3.0,,,,,,1.8,1.8,1.8,2.0,2.0,1.0,0.4,0.5,0.5,0.5,0.5,OK,,,OK,5.0,2.0,2.0,1.0,0.4,0.4,5.0,2.0,2.0,1.0,0.4,0.4,FWD,UNKNOWN,MID_VOL,FRINGE,UNKNOWN,0,MID_VOL,FRINGE
285226.0,Manu Koné,Midfielder,ROMA,BOLOGNA,SOCCER,2.0,Tackles,tackles,Standard,10510619,10510619,212999,139762,2026-03-12T13:45:00.000-04:00,,,2.0,0,https://static.prizepicks.com/images/players/soccer/au5tbnn48ve4kqnuu3dhmk296.webp,,,,,OK,28.0,34.0,1.214,,0.0,11.0,0.0,11.0,10.0,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN
