espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,position_group,minutes_tier,shot_volume,field_involvement,pass_role,is_goalkeeper,shot_role,usage_role,projection,edge,abs_edge,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,minutes_certainty,prop_weight,reliability_mult,edge_z,line_hit_z,min_z,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,def_rank_z,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,avg_vs_line_z,prop_hr_prior,prop_hr_z,has_real_stats,rank_score,tier,model_dir,final_bet_direction,final_dir_reason
130036,Stephan Shaarawy,Attacker,ROMA,BOLOGNA,SOCCER,1.5,Shots,shots,Standard,10491169,10491169,150221,139762,2026-03-12T13:45:00.000-04:00,,,1.5,0,https://static.prizepicks.com/images/players/soccer/a1iz91ed6hus61yhhk2r0vkd1.webp,,,,,OK,28,34,1.214,,0,11,0,11,10,Above Avg,0,0,0,,,,,,,,,0,0,0,0,2,0,0,0,1,0,1,OK,,,OK,2,0,2,0,0,1,2,0,2,0,0,1,FWD,UNKNOWN,LOW_VOL,FRINGE,UNKNOWN,0,LOW_VOL,FRINGE,0,-1.5,1.5,0,UNDER,1,,-1.411489234785374,1,0.95,1.03,1,-0.153233261249054,0.6368632840106291,3.335048290348352,0.015,0,-1.5,1.411489234785374,-0.2857142857142858,-1.052152750821517,0,0,0,1,1.025945247311803,0.445,0.903696114115059,1,3.043079900611295,A,UNDER,UNDER,
285226,Manu Koné,Midfielder,ROMA,BOLOGNA,SOCCER,1.5,Attempted Dribbles,attempted_dribbles,Standard,10510618,10510618,212999,139762,2026-03-12T13:45:00.000-04:00,,,1.5,0,https://static.prizepicks.com/images/players/soccer/au5tbnn48ve4kqnuu3dhmk296.webp,,,,,OK,28,34,1.214,,0,11,0,11,10,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,1.5,0,0,0,OVER,1,,0,,0.95,1.01,1,0.8311680887381303,,3.335048290348352,0.015,1.5225,0.02249999999999996,0.03975164821130805,0.2857142857142858,0.1752042631047748,,,,0,0.6828177005379404,0.55,1.203471493873468,0,1.28566742427277,A,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
273300,Deniz Undav,Attacker,STUTTGART,PORTO,SOCCER,24.5,Passes Attempted,passes,Standard,10510833,10510833,170576,139767,2026-03-12T13:45:00.000-04:00,,,24.5,0,https://static.prizepicks.com/images/players/soccer/6rutvrgco8li4nyz7tfayxb6x.webp,,,,,OK,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,24.5,0,0,0,OVER,1,,0,,0.95,1.08,1,0.8311680887381303,,3.335048290348352,0,24.5,0,0,0,-0.2187832032153561,,,,0,0.6828177005379404,0.62,2.359570320144902,0,1.52321079667798,A,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
273300,Deniz Undav,Attacker,STUTTGART,PORTO,SOCCER,3.5,Shots,shots,Standard,10494055,10494055,170576,139767,2026-03-12T13:45:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/players/soccer/6rutvrgco8li4nyz7tfayxb6x.webp,,,,,OK,,,,,,,,,,,0,3,4,4,6,1,,,,,,3.6,3.6,3.6,3,2,0,0.6,0.6,0.4,0.6,0.4,OK,,,OK,5,3,2,0,0.6,0.4,5,3,2,0,0.6,0.4,FWD,UNKNOWN,HIGH_VOL,FRINGE,UNKNOWN,0,HIGH_VOL,FRINGE,3.6,0.1000000000000001,0.1000000000000001,0,OVER,1,,0.1412537544622755,0.6,0.95,1.03,1,0.9443168547522259,1.908327976417713,3.335048290348352,0,3.6,0.1000000000000001,0.1412537544622755,0,-0.2187832032153561,3.6,3.6,3.6,0.0285714285714286,0.7394954865351256,0.555,1.286049981464285,1,3.706482384503169,A,OVER,OVER,
238903,Diogo Costa,Goalkeeper,PORTO,STUTTGART,SOCCER,3,Goalie Saves,saves,Standard,10486218,10486218,160689,139767,2026-03-12T13:45:00.000-04:00,,,3,0,https://static.prizepicks.com/images/players/soccer/d79vlrccz170hzdh35nhsf1ed.webp,,,,,OK,25,34,1.36,,0,14,0,6,5,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,,GK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,3,0,0,0,OVER,1,,0,,1,1.06,1,0.8311680887381303,,4.668667891770933,-0.0225,2.9325,-0.0674999999999999,-0.1011365667994979,-0.4285714285714286,-0.8097644026955523,,,,0,0.6828177005379404,0.6,2.029256369781635,0,1.24664320743543,A,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
205750,Alexander Nübel,Goalkeeper,STUTTGART,PORTO,SOCCER,2.5,Goalie Saves,saves,Standard,10486215,10486215,149407,139767,2026-03-12T13:45:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/d3xdl3p9vd1c0m316oq2pblxx.webp,,,,,OK,,,,,,,,,,,0,3,3,3,2,5,,,,,,3.2,3.2,3.2,4,1,0,0.8,0.8,0.2,0.8,0.2,OK,,,OK,5,4,1,0,0.8,0.2,5,4,1,0,0.8,0.2,GK,UNKNOWN,UNKNOWN,FRINGE,UNKNOWN,1,UNKNOWN,FRINGE,3.2,0.7000000000000002,0.7000000000000002,0,OVER,1,,0.7384708111153173,0.8,1,1.06,1,1.623209450836799,2.736532450796359,4.668667891770933,0,3.2,0.7000000000000002,0.7384708111153173,0,-0.2187832032153561,3.2,3.2,3.2,0.2800000000000001,1.238260003310356,0.6,2.029256369781635,1,6.242569352591095,A,OVER,OVER,
201123,Fabian Bredlow,Goalkeeper,STUTTGART,PORTO,SOCCER,2.5,Goalie Saves,saves,Standard,10486217,10486217,188873,139767,2026-03-12T13:45:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/62gct49oglcdzxafhrfucrb2t.webp,,,,,OK,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,5,0,0,0,1,0,1,OK,,,OK,5,0,5,0,0,1,5,0,5,0,0,1,GK,UNKNOWN,UNKNOWN,FRINGE,UNKNOWN,1,UNKNOWN,FRINGE,0,-2.5,2.5,0,UNDER,1,,-2.17895874348904,1,1,1.06,1,-1.182565513257926,0.6368632840106291,4.668667891770933,0,0,-2.5,2.17895874348904,0,-0.3659661741987885,0,0,0,1,1.025945247311803,0.4,-1.032795558988649,1,3.732158147724826,A,UNDER,UNDER,
216225,Maximilian Mittelstädt,Defender,STUTTGART,PORTO,SOCCER,2.5,Tackles,tackles,Standard,10510835,10510835,179868,139767,2026-03-12T13:45:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/soccer/6q2mf0qrkt51z28b46wltxal1.webp,,,,,OK,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,,DEF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,2.5,0,0,0,OVER,1,,0,,1,1.01,1,0.8311680887381303,,4.668667891770933,0,2.5,0,0,0,-0.2187832032153561,,,,0,0.6828177005379404,0.56,1.368628469055102,0,1.326272159702681,A,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
269136,Ermedin Demirovic,Attacker,STUTTGART,PORTO,SOCCER,2,Shots,shots,Standard,10494056,10494056,209962,139767,2026-03-12T13:45:00.000-04:00,,,2,0,https://static.prizepicks.com/images/players/soccer/avk9yje6h4nndg3cufnbu2imt.webp,,,,,OK,,,,,,,,,,,0,2,5,1,4,0,,,,,,2.4,2.4,2.4,2,2,1,0.4,0.5,0.5,0.5,0.5,OK,,,OK,5,2,2,1,0.4,0.4,5,2,2,1,0.4,0.4,FWD,UNKNOWN,MID_VOL,FRINGE,UNKNOWN,0,MID_VOL,FRINGE,2.4,0.3999999999999999,0.3999999999999999,0,OVER,1,,0.458934802225194,0.5,0.95,1.03,1,1.283763152794512,1.49422573922839,3.335048290348352,0,2.4,0.3999999999999999,0.458934802225194,0,-0.2187832032153561,2.4,2.4,2.4,0.2,1.079562202518237,0.555,1.286049981464285,1,3.884767171257305,A,OVER,OVER,
127420,Luuk Jong,Attacker,PORTO,STUTTGART,SOCCER,2,Shots,shots,Standard,10494067,10494067,264131,139767,2026-03-12T13:45:00.000-04:00,,,2,0,https://static.prizepicks.com/images/players/soccer/4drquvq035kmr2smvzph82bx1.webp,,,,,OK,25,34,1.36,,0,14,0,6,5,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,2,0,0,0,OVER,1,,0,,0.95,1.03,1,0.8311680887381303,,3.335048290348352,-0.0225,1.955,-0.04499999999999993,-0.07165238267996872,-0.4285714285714286,-0.8097644026955523,,,,0,0.6828177005379404,0.555,1.286049981464285,0,0.7911538920161513,B,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
