projection_id,pp_projection_id,player_id,pp_game_id,league,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
10500858,10500858,229792,139769,SOCCER,2026-03-12T13:45:00.000-04:00,Antony,https://static.prizepicks.com/images/manual/AntonyBetis.webp,Attacker,BETIS,,,,Shots,2.5,Standard
10500880,10500880,161590,139769,SOCCER,2026-03-12T13:45:00.000-04:00,Sergi Altimira,https://static.prizepicks.com/images/manual/Sergi Altimira.png,Midfielder,BETIS,,,,Shots,0.5,Standard
10437520,10437520,294424,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Donyell Malen,https://static.prizepicks.com/images/manual/Donyell_Malen.png,Attacker,ROMA,,,,Shots,5.5,Demon
10437519,10437519,294424,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Donyell Malen,https://static.prizepicks.com/images/manual/Donyell_Malen.png,Attacker,ROMA,,,,Shots,4.5,Demon
10437542,10437542,160618,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Federico Ravaglia,https://static.prizepicks.com/images/players/soccer/9m6yva52cmdq7uu31qrwdrund.webp,Goalkeeper,BOLOGNA,,,,Goalie Saves,4.5,Demon
10437643,10437643,207215,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Matías Soulé,https://static.prizepicks.com/images/manual/Matías Soulé.png,Attacker,ROMA,,,,Shots,4.5,Demon
10437658,10437658,176407,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Mile Svilar,https://static.prizepicks.com/images/players/soccer/el58uxf7oaqu95yx1vbgmr7it.webp,Goalkeeper,ROMA,,,,Goalie Saves,4.5,Demon
10437711,10437711,254898,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Pierluigi Gollini,https://static.prizepicks.com/images/players/soccer/u60zu48a4zqnupyxp2d0mqqd.webp,Goalkeeper,ROMA,,,,Goalie Saves,4.5,Demon
10437724,10437724,150623,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Riccardo Orsolini,https://static.prizepicks.com/images/players/soccer/1cu7fg8sf90isf9gp21e5fqh.webp,Attacker,BOLOGNA,,,,Shots,4.5,Demon
10437800,10437800,150627,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Lukasz Skorupski,https://static.prizepicks.com/images/players/soccer/4hrmzpx1nt5ze55fpby71mcb9.webp,Goalkeeper,BOLOGNA,,,,Goalie Saves,4.5,Demon
10437477,10437477,221429,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Benja Domínguez,https://static.prizepicks.com/images/manual/Benjamín_Domínguez.png,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437492,10437492,299249,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Bryan Zaragoza,,Attacker,ROMA,,,,Shots,3.5,Demon
10437536,10437536,254966,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Federico Bernardeschi,https://static.prizepicks.com/images/players/soccer/6kms3ctf8joymna289onk9lg5.webp,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437541,10437541,160618,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Federico Ravaglia,https://static.prizepicks.com/images/players/soccer/9m6yva52cmdq7uu31qrwdrund.webp,Goalkeeper,BOLOGNA,,,,Goalie Saves,3.5,Demon
10437556,10437556,192933,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Jens Odgaard,https://static.prizepicks.com/images/manual/Jens_Odgaard.png,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437570,10437570,257176,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Jonathan Rowe,https://static.prizepicks.com/images/manual/Jonathan_David_Henry_Rowe.png,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437621,10437621,151318,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Lorenzo Pellegrini,https://static.prizepicks.com/images/players/soccer/57bin6he6kbdo2bs4i78z2k0l.webp,Midfielder,ROMA,,,,Shots,3.5,Demon
10437642,10437642,207215,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Matías Soulé,https://static.prizepicks.com/images/manual/Matías Soulé.png,Attacker,ROMA,,,,Shots,3.5,Demon
10437657,10437657,176407,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Mile Svilar,https://static.prizepicks.com/images/players/soccer/el58uxf7oaqu95yx1vbgmr7it.webp,Goalkeeper,ROMA,,,,Goalie Saves,3.5,Demon
10437688,10437688,253944,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Nicolò Cambiaghi,https://static.prizepicks.com/images/manual/Nicolò_Cambiaghi.png,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437710,10437710,254898,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Pierluigi Gollini,https://static.prizepicks.com/images/players/soccer/u60zu48a4zqnupyxp2d0mqqd.webp,Goalkeeper,ROMA,,,,Goalie Saves,3.5,Demon
10437723,10437723,150623,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Riccardo Orsolini,https://static.prizepicks.com/images/players/soccer/1cu7fg8sf90isf9gp21e5fqh.webp,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437735,10437735,293708,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Robinio Vaz,https://static.prizepicks.com/images/players/placeholder.png,Attacker,ROMA,,,,Shots,3.5,Demon
10437742,10437742,207202,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Santiago Castro,https://static.prizepicks.com/images/manual/Santiago_Castro.png,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437763,10437763,150221,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Stephan Shaarawy,https://static.prizepicks.com/images/players/soccer/a1iz91ed6hus61yhhk2r0vkd1.webp,Attacker,ROMA,,,,Shots,3.5,Demon
10437772,10437772,214563,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Thijs Dallinga,https://static.prizepicks.com/images/players/soccer/1lnktjxx0mux4beo28cl54j1m.webp,Attacker,BOLOGNA,,,,Shots,3.5,Demon
10437799,10437799,150627,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Lukasz Skorupski,https://static.prizepicks.com/images/players/soccer/4hrmzpx1nt5ze55fpby71mcb9.webp,Goalkeeper,BOLOGNA,,,,Goalie Saves,3.5,Demon
10437476,10437476,221429,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Benja Domínguez,https://static.prizepicks.com/images/manual/Benjamín_Domínguez.png,Attacker,BOLOGNA,,,,Shots,2.5,Demon
10437485,10437485,199610,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Bryan Cristante,https://static.prizepicks.com/images/players/soccer/1ftejgsl4hho40cceqne1hcyd.webp,Midfielder,ROMA,,,,Tackles,2.5,Demon
10437491,10437491,299249,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Bryan Zaragoza,,Attacker,ROMA,,,,Shots,2.5,Demon
10437502,10437502,150629,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Charalampos Lykogiannis,https://static.prizepicks.com/images/players/soccer/a2n9op95qyb3rkye5pxqjb7bp.webp,Defender,BOLOGNA,,,,Tackles,2.5,Demon
10437507,10437507,253939,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Daniele Ghilardi,https://static.prizepicks.com/images/manual/Daniele_Ghilardi.png,Defender,ROMA,,,,Tackles,2.5,Demon
10437513,10437513,253940,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Devyne Rensch,https://static.prizepicks.com/images/players/soccer/6sg2ot7z9kfyrlgjkmpqvejqi.webp,Defender,ROMA,,,,Tackles,2.5,Demon
10437518,10437518,294424,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Donyell Malen,https://static.prizepicks.com/images/manual/Donyell_Malen.png,Attacker,ROMA,,,,Shots,2.5,Goblin
10437522,10437522,294424,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Donyell Malen,https://static.prizepicks.com/images/manual/Donyell_Malen.png,Attacker,ROMA,,,,Shots On Target,2.5,Demon
10437537,10437537,254966,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Federico Bernardeschi,https://static.prizepicks.com/images/players/soccer/6kms3ctf8joymna289onk9lg5.webp,Attacker,BOLOGNA,,,,Shots,2.5,Demon
10437547,10437547,150227,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Gianluca Mancini,https://static.prizepicks.com/images/players/soccer/6fttn5mk6n1lstqt0dl5xzn4l.webp,Defender,ROMA,,,,Tackles,2.5,Demon
10437550,10437550,261329,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Jan Ziólkowski,https://static.prizepicks.com/images/manual/Jan_Ziółkowski.png,Defender,ROMA,,,,Tackles,2.5,Demon
10437557,10437557,192933,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Jens Odgaard,https://static.prizepicks.com/images/manual/Jens_Odgaard.png,Attacker,BOLOGNA,,,,Shots,2.5,Demon
10437565,10437565,150626,139762,SOCCER,2026-03-12T13:45:00.000-04:00,Jhon Lucumí,https://static.prizepicks.com/images/players/soccer/3l0mj1zzhytxvm9tryvqv8kix.webp,Defender,BOLOGNA,,,,Tackles,2.5,Demon
