espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,shots_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,shots_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,position_group,minutes_tier,shot_role,usage_role,pass_role,is_goalkeeper,projection,edge,abs_edge,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,minutes_certainty,prop_weight,reliability_mult,edge_z,line_hit_z,min_z,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,def_rank_z,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,avg_vs_line_z,prop_hr_prior,prop_hr_z,rank_score,tier,model_dir,final_bet_direction,final_dir_reason
269808,Gastón Lodico,Midfielder,INSTITUTO,UNIÓN,EPL,2.5,Shots,shots,Demon,10169629,10169629,192294,132392,2026-03-01T17:15:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,8,5,0.625,,0,4,0,2,6,Elite,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,0,0,4,1,0,1,1,1.1,1.1,0,5,0,0,0,1,0.1,0.9,OK,OK,5,0,5,0,0,1,MID,LOW,MID_VOL,SUPPORT,UNKNOWN,0,1,-1.5,1.5,1,OVER,1,,-1.411489234785374,0.05,0.75,1.03,0.75,-0.8135939279726191,-0.3964760221334295,-0.5401681471414059,-0.015,0.985,-1.515,-1.423477929346205,-0.2857142857142857,-0.4495535532877702,1,1.1,1.1,-0.58,-0.2908824420363914,0.475,0.04602607041967986,-0.7932325825371223,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
286667,Jhon Córdoba,Midfielder,INSTITUTO,UNIÓN,EPL,2.5,Shots,shots,Demon,10169636,10169636,246310,132392,2026-03-01T17:15:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/Jhon_Emerson_Córdoba_Mosquera.png,,,,,OK,8,5,0.625,,0,4,0,2,6,Elite,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_CACHE_DATA,MISSING_STAT_VALUES,,,,,,,MID,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1.5,-1,1,1,OVER,1,,-1,,0.8,1.03,0.75,-0.2353711164492279,,0.5583969620242718,-0.015,1.4775,-1.0225,-1.01909300160149,-0.2857142857142857,-0.4495535532877702,,,,0,0.8127732174985948,0.475,0.04602607041967986,0.3186943699469452,A,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
167061,Julián Palacios,Midfielder,UNIÓN,INSTITUTO,EPL,2.5,Shots,shots,Demon,10169646,10169646,274069,132392,2026-03-01T17:15:00.000-05:00,,,,2,,,,,,OK,8,10,1.25,,0,2,0,4,21,Avg,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,1,1,1,0,2,0,0,0,1,0,1,OK,OK,2,0,2,0,0,1,MID,LOW,MID_VOL,SUPPORT,UNKNOWN,0,1,-1.5,1.5,1,OVER,1,,-1.411489234785374,0,0.75,1.03,0.75,-0.8135939279726191,-0.6202220461189522,-0.5401681471414059,0.0975,1.0975,-1.4025,-1.333114460900696,1.857142857142857,1.935910398359079,1,1,1,-0.6,-0.3289395337444944,0.415,-1.040747083247437,0.09225144846883042,C,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
96687,Marcelo Estigarribia,Attacker,UNIÓN,INSTITUTO,EPL,2.5,Shots,shots,Demon,10169651,10169651,231865,132392,2026-03-01T17:15:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,8,10,1.25,,0,2,0,4,21,Avg,,,,,,,,,,,,,,,,,,,,,,,0,3,4,4,5,4,1,2,0,0,1,4,2.4,2.4,5,0,0,1,1,0,0.5,0.5,OK,OK,5,5,0,0,1,0,FWD,LOW,HIGH_VOL,SUPPORT,UNKNOWN,0,4,1.5,1.5,1,OVER,1,,1.411489234785374,0.75,0.75,1.03,0.75,2.655742941167728,2.735968313663887,-0.5401681471414059,0.0975,4.39,1.89,1.717878852885188,1.857142857142857,1.935910398359079,4,2.4,2.4,0.28,1.345572501412037,0.475,0.04602607041967986,3.685946484433977,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
335877,Mateo Blanco,Defender,UNIÓN,INSTITUTO,EPL,2.5,Shots,shots,Demon,10169656,10169656,231866,132392,2026-03-01T17:15:00.000-05:00,,,,2,https://static.prizepicks.com/images/manual/Mateo Del Blanco.png,,,,,OK,8,10,1.25,,0,2,0,4,21,Avg,,,,,,,,,,,,,,,,,,,,,,,0,1,3,3,3,3,3,3,3,0,1,2.6,2.3,2.3,4,1,0,0.8,0.8,0.2,0.7,0.3,OK,OK,5,4,1,0,0.8,0.2,DEF,LOW,HIGH_VOL,SUPPORT,UNKNOWN,0,2.6,0.1000000000000001,0.1000000000000001,1,OVER,1,,0.1412537544622755,0.75,0.75,1.03,0.75,1.036719068902233,2.735968313663887,-0.5401681471414059,0.0975,2.8535,0.3534999999999999,0.4131721170222314,1.857142857142857,1.935910398359079,2.6,2.3,2.3,-0.02000000000000002,0.7747161257904918,0.415,-1.040747083247437,2.93544044120432,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
131717,Juan Méndez,Midfielder,INSTITUTO,UNIÓN,EPL,2.5,Shots,shots,Demon,10170139,10170139,274083,132392,2026-03-01T17:15:00.000-05:00,,,,2,,,,,,OK,8,5,0.625,,0,4,0,2,6,Elite,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,2,0.2,0.4,0.4,0,5,0,0,0,1,0,1,OK,OK,5,0,5,0,0,1,MID,LOW,LOW_VOL,SUPPORT,UNKNOWN,0,0.2,-2.3,2.3,1,OVER,1,,-2.029872035758902,0,0.75,1.03,0.75,-1.738750426410045,-0.6202220461189522,-0.5401681471414059,-0.015,0.197,-2.303,-2.032122326010803,-0.2857142857142857,-0.4495535532877702,0.2,0.4,0.4,-0.88,-0.8617388176579361,0.415,-1.040747083247437,-1.690655858766272,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
220073,Mauro Pittón,Midfielder,UNIÓN,INSTITUTO,EPL,2.5,Shots,shots,Demon,10173074,10173074,191419,132392,2026-03-01T17:15:00.000-05:00,,,,2,https://static.prizepicks.com/images/manual/Mauro_Pittón.png,,,,,OK,8,10,1.25,,0,2,0,4,21,Avg,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,1,2,3,1,2,0.6,1.2,1.2,1,4,0,0.2,0.2,0.8,0.2,0.8,OK,OK,5,1,4,0,0.2,0.8,MID,LOW,LOW_VOL,SUPPORT,UNKNOWN,0,0.6,-1.9,1.9,1,OVER,1,,-1.72560170343331,0.2,0.75,1.03,0.75,-1.276172177191332,0.2747620498231384,-0.5401681471414059,0.0975,0.6585,-1.8415,-1.680335352986246,1.857142857142857,1.935910398359079,0.6,1.2,1.2,-0.64,-0.4050537171607005,0.415,-1.040747083247437,0.6358217254500412,A,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
148356,Alex Luna,Midfielder,INSTITUTO,UNIÓN,EPL,1.5,Shots On Target,shots_on_target,Demon,10167971,10167971,274079,132392,2026-03-01T17:15:00.000-05:00,,,,1,,,,,,OK,8,5,0.625,,0,4,0,2,6,Elite,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_CACHE_DATA,MISSING_STAT_VALUES,,,,,,,MID,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0.5,-1,1,1,OVER,1,,-1,,0.8,1.05,0.75,-0.2353711164492279,,0.5583969620242718,-0.015,0.4925,-1.0075,-1.006371424330705,-0.2857142857142857,-0.4495535532877702,,,,0,0.8127732174985948,0.4999999999999999,0.4988482177809772,0.5031813306636006,A,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
212444,Cristian Tarragona,Attacker,UNIÓN,INSTITUTO,EPL,1.5,Shots On Target,shots_on_target,Demon,10167981,10167981,247549,132392,2026-03-01T17:15:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/Cristian Tarragona .png,,,,,OK,8,10,1.25,,0,2,0,4,21,Avg,,,,,,,,,,,,,,,,,,,,,,,0,4,2,1,1,1,2,0,3,2,0,1.8,1.6,1.6,2,3,0,0.4,0.4,0.6,0.5,0.5,OK,OK,5,2,3,0,0.4,0.6,FWD,LOW,UNKNOWN,SUPPORT,UNKNOWN,0,1.8,0.3,0.3,1,OVER,1,,0.3593793066872108,0.45,0.75,1.05,0.75,1.268008193511589,1.393492169750751,-0.5401681471414059,0.0975,1.9755,0.4754999999999998,0.5315913959619479,1.857142857142857,1.935910398359079,1.8,1.6,1.6,0.1333333333333334,1.066487162219282,0.4999999999999999,0.4988482177809772,2.872362234061687,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
96687,Marcelo Estigarribia,Attacker,UNIÓN,INSTITUTO,EPL,1.5,Shots On Target,shots_on_target,Demon,10168036,10168036,231865,132392,2026-03-01T17:15:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,8,10,1.25,,0,2,0,4,21,Avg,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,1,2,0,1,0,0,0,1.6,0.9,0.9,2,3,0,0.4,0.4,0.6,0.2,0.8,OK,OK,5,2,3,0,0.4,0.6,FWD,LOW,UNKNOWN,SUPPORT,UNKNOWN,0,1.6,0.1000000000000001,0.1000000000000001,1,OVER,1,,0.1412537544622755,0.3,0.75,1.05,0.75,1.036719068902233,0.7222540977941838,-0.5401681471414059,0.0975,1.756,0.256,0.3140537405947458,1.857142857142857,1.935910398359079,1.6,0.9,0.9,-0.1666666666666666,0.4956307865977367,0.4999999999999999,0.4988482177809772,2.085890202794285,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
