team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Boca Juniors,BOCA JUNIORS,Argentina,7,5.0,0.714,,0,2,0,2,9,Above Avg
Estudiantes de La Plata,ESTUDIANTES,Argentina,7,2.0,0.286,,0,4,0,0,1,Elite
Independiente,INDEPENDIENTE,Argentina,8,7.0,0.875,,0,3,0,1,14,Above Avg
Lanús,LANÚS,Argentina,6,9.0,1.5,,0,2,0,1,28,Weak
Newell's Old Boys,NEWELL'S,Argentina,8,16.0,2.0,,0,0,0,6,30,Weak
San Lorenzo,SAN LORENZO,Argentina,8,5.0,0.625,,0,3,0,2,6,Elite
Talleres (Córdoba),TALLERES,Argentina,8,9.0,1.125,,0,3,0,3,20,Avg
Unión (Santa Fe),UNIÓN,Argentina,8,5.0,0.625,,0,4,0,2,6,Elite
Vélez Sarsfield,VÉLEZ,Argentina,7,4.0,0.571,,0,4,0,0,4,Elite
Instituto (Córdoba),INSTITUTO,Argentina,8,10.0,1.25,,0,2,0,4,21,Avg
Platense,PLATENSE,Argentina,7,3.0,0.429,,0,3,0,1,2,Elite
Defensa y Justicia,DEF Y JUSTICIA,Argentina,8,5.0,0.625,,0,2,0,0,6,Elite
Gimnasia (Mendoza),GIMNASIA (MENDOZA),Argentina,8,10.0,1.25,,0,2,0,4,21,Avg
Central Córdoba (Santiago del Estero),CENTRAL CÓRDOBA,Argentina,8,6.0,0.75,,0,2,0,4,11,Above Avg
Deportivo Riestra,RIESTRA,Argentina,7,5.0,0.714,,0,0,0,3,9,Above Avg
Argentinos Juniors,ARGENTINOS,Argentina,6,3.0,0.5,,0,2,0,1,3,Elite
Belgrano (Córdoba),BELGRANO,Argentina,7,4.0,0.571,,0,4,0,0,4,Elite
Gimnasia La Plata,GELP,Argentina,8,10.0,1.25,,0,3,0,3,21,Avg
Huracán,HURACÁN,Argentina,7,6.0,0.857,,0,2,0,2,13,Above Avg
Racing Club,RACING,Argentina,7,9.0,1.286,,0,2,0,3,24,Weak
River Plate,RIVER,Argentina,7,7.0,1.0,,0,3,0,3,17,Avg
Rosario Central,ROSARIO,Argentina,8,6.0,0.75,,0,4,0,2,11,Above Avg
Banfield,BANFIELD,Argentina,7,9.0,1.286,,0,2,0,4,24,Weak
Tigre,TIGRE,Argentina,8,7.0,0.875,,0,4,0,1,14,Above Avg
Aldosivi,ALDOSIVI,Argentina,6,6.0,1.0,,0,0,0,3,17,Avg
Independiente Rivadavia,INDEPENDIENTE RIVADAVIA,Argentina,7,7.0,1.0,,0,5,0,1,17,Avg
Atlético Tucumán,ATLETICO TUCUMAN,Argentina,7,10.0,1.429,,0,1,0,4,27,Weak
Barracas Central,BARRACAS,Argentina,8,7.0,0.875,,0,2,0,3,14,Above Avg
Sarmiento (Junín),SARMIENTO,Argentina,7,9.0,1.286,,0,2,0,5,24,Weak
Estudiantes de Río Cuarto,ESTUDIANTES DE RÍO CUARTO,Argentina,7,11.0,1.571,,0,1,0,5,29,Weak
Palmeiras,PALMEIRAS,Brazil,4,5.0,1.25,,0,3,0,0,7,Above Avg
São Paulo,SAO PAULO,Brazil,4,2.0,0.5,,0,3,0,0,1,Elite
Corinthians,CORINTHIANS,Brazil,4,3.0,0.75,,0,2,0,1,3,Elite
Bahia,BAHIA,Brazil,3,2.0,0.667,,0,2,0,0,2,Elite
Fluminense,FLUMINENSE,Brazil,4,4.0,1.0,,0,2,0,1,6,Above Avg
Athletico Paranaense,ATHLETICO PARANAENSE,Brazil,4,3.0,0.75,,0,2,0,1,3,Elite
Red Bull Bragantino,RED BULL BRAGANTINO,Brazil,4,3.0,0.75,,0,2,0,1,3,Elite
Grêmio,GREMIO,Brazil,4,8.0,2.0,,0,2,0,2,13,Avg
Chapecoense,CHAPECOENSE,Brazil,3,6.0,2.0,,0,1,0,0,13,Avg
Mirassol,MIRASSOL,Brazil,3,5.0,1.667,,0,1,0,0,12,Avg
Flamengo,FLAMENGO,Brazil,3,4.0,1.333,,0,1,0,1,8,Above Avg
Coritiba,CORITIBA,Brazil,4,6.0,1.5,,0,1,0,2,9,Above Avg
Santos,SANTOS,Brazil,4,8.0,2.0,,0,1,0,2,13,Avg
Botafogo,BOTAFOGO,Brazil,3,6.0,2.0,,0,1,0,2,13,Avg
Vitória,VITÓRIA,Brazil,3,7.0,2.333,,0,1,0,2,20,Weak
Remo,REMO,Brazil,4,8.0,2.0,,0,0,0,1,13,Avg
Atlético-MG,ATLÉTICO-MG,Brazil,4,8.0,2.0,,0,0,0,2,13,Avg
Internacional,INTERNACIONAL,Brazil,4,6.0,1.5,,0,0,0,2,9,Above Avg
Cruzeiro,CRUZEIRO,Brazil,4,9.0,2.25,,0,0,0,2,19,Weak
Vasco da Gama,VASCO,Brazil,4,6.0,1.5,,0,0,0,3,9,Above Avg
Bayern Munich,BAYERN MUNICH,Bundesliga,24,23.0,0.958,,0,20,0,1,1,Elite
Borussia Dortmund,DORTMUND,Bundesliga,24,25.0,1.042,,0,15,0,2,2,Elite
TSG Hoffenheim,HOFFENHEIM,Bundesliga,24,31.0,1.292,,0,14,0,6,4,Elite
VfB Stuttgart,STUTTGART,Bundesliga,24,32.0,1.333,,0,14,0,6,5,Above Avg
RB Leipzig,LEIPZIG,Bundesliga,24,33.0,1.375,,0,13,0,6,6,Above Avg
Bayer Leverkusen,LEVERKUSEN,Bundesliga,23,29.0,1.261,,0,12,0,7,3,Elite
Eintracht Frankfurt,FRANKFURT,Bundesliga,24,49.0,2.042,,0,9,0,8,16,Weak
SC Freiburg,FREIBURG,Bundesliga,24,39.0,1.625,,0,9,0,9,9,Above Avg
FC Augsburg,AUGSBURG,Bundesliga,24,41.0,1.708,,0,9,0,11,13,Avg
1. FC Union Berlin,UNION BERLIN,Bundesliga,24,38.0,1.583,,0,7,0,10,8,Above Avg
Hamburg SV,HAMBURG,Bundesliga,23,34.0,1.478,,0,6,0,9,7,Above Avg
Borussia Mönchengladbach,GLADBACH,Bundesliga,24,39.0,1.625,,0,6,0,11,9,Above Avg
FC Cologne,KOLN,Bundesliga,24,41.0,1.708,,0,6,0,12,13,Avg
Mainz,MAINZ,Bundesliga,24,39.0,1.625,,0,5,0,11,9,Above Avg
St. Pauli,ST. PAULI,Bundesliga,24,40.0,1.667,,0,6,0,13,12,Avg
Werder Bremen,WERDER BREMEN,Bundesliga,24,44.0,1.833,,0,5,0,12,15,Weak
VfL Wolfsburg,VFL WOLFSBURG,Bundesliga,24,53.0,2.208,,0,5,0,14,17,Weak
1. FC Heidenheim 1846,1. FC HEIDENHEIM 1846,Bundesliga,24,53.0,2.208,,0,3,0,16,17,Weak
Coventry City,COVENTRY CITY,Championship,35,38.0,1.086,,0,21,0,6,4,Elite
Middlesbrough,MIDDLESBROUGH,Championship,34,34.0,1.0,,0,18,0,7,2,Elite
Millwall,MILLWALL,Championship,35,40.0,1.143,,0,18,0,9,5,Elite
Ipswich Town,IPSWICH,Championship,33,34.0,1.03,,0,17,0,7,3,Elite
Hull City,HULL CITY,Championship,34,48.0,1.412,,0,18,0,10,20,Weak
Wrexham,WREXHAM,Championship,35,45.0,1.286,,0,15,0,8,13,Avg
Southampton,SOUTHAMPTON,Championship,35,46.0,1.314,,0,14,0,10,15,Avg
Derby County,DERBY COUNTY,Championship,35,46.0,1.314,,0,14,0,12,15,Avg
