espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,shots_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,shots_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
,Valentin Atangana,Midfielder,AHLI,ITTIHAD,SOCCER,2.5,Tackles,tackles,Standard,10337144,10337144,261833,132900,2026-03-06T14:00:00.000-05:00,,,2.5,0,https://images.fotmob.com/image_resources/playerimages/1439625.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Steven Bergwijn,Attacker,ITTIHAD,AHLI,SOCCER,2.5,Attempted Dribbles,attempted dribbles,Standard,10337204,10337204,213828,132900,2026-03-06T14:00:00.000-05:00,,,2.5,0,https://static.prizepicks.com/images/manual/Steven_Bergwijn.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Riyad Mahrez,Attacker,AHLI,ITTIHAD,SOCCER,1.5,Attempted Dribbles,attempted dribbles,Standard,10337113,10337113,174411,132900,2026-03-06T14:00:00.000-05:00,,,1.5,0,https://static.prizepicks.com/images/manual/Riyad Mahrez.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Moussa Diaby,Attacker,ITTIHAD,AHLI,SOCCER,1.5,Shots Assisted,shots_assisted,Standard,10337145,10337145,210547,132900,2026-03-06T14:00:00.000-05:00,,,1.5,0,https://static.prizepicks.com/images/manual/Moussa_Diaby.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Steven Bergwijn,Attacker,ITTIHAD,AHLI,SOCCER,1.5,Shots Assisted,shots_assisted,Standard,10337146,10337146,213828,132900,2026-03-06T14:00:00.000-05:00,,,1.5,0,https://static.prizepicks.com/images/manual/Steven_Bergwijn.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Ivan Toney,Attacker,AHLI,ITTIHAD,SOCCER,0.5,Shots Assisted,shots_assisted,Standard,10334701,10334701,212576,132900,2026-03-06T14:00:00.000-05:00,,,0.5,0,https://static.prizepicks.com/images/players/soccer/b36foqukxn8obd969q6sea7yt.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
409541,Joshua King,Attacker,KHALEEJ,HAZEM,SOCCER,1.5,Goals,goals,Demon,10279108,10279108,257270,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,,OK,5.0,0.0,5.0,0.0,0.0,1.0
,Abdulhadi Harajin,Midfielder,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279099,10279099,262371,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/Abdulhadi_Harajin.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Abdullah Alzaynaldeen,Attacker,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279100,10279100,291698,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Abdulrazzaq Awaji,Attacker,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279101,10279101,301360,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
