player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Lucas Boyé,ALA,Shots,6.0,esp.1,,6.0,2.0,0.0,,,,
Luiz Júnior,VIL,Goalkeeper Saves,6.0,esp.1,,0.0,0.0,0.0,6.0,,,
Rémi Himbert,LYON,Shots,6.0,fra.1,,6.0,0.0,0.0,,,,
Santiago Castro,BOL,Shots,5.0,ita.1,,5.0,0.0,0.0,,,,
Antonio Sivera,ALA,Goalkeeper Saves,5.0,esp.1,,0.0,0.0,0.0,5.0,,,
Matías Dituro,ELC,Goalkeeper Saves,5.0,esp.1,,0.0,0.0,0.0,5.0,,,
Álvaro Rodríguez,ELC,Shots,5.0,esp.1,,5.0,0.0,0.0,,,,
David Soria,GET,Goalkeeper Saves,5.0,esp.1,,0.0,0.0,0.0,5.0,,,
Gift Orban,VER,Shots,5.0,ita.1,,5.0,0.0,1.0,,,,
Arouna Sangante,HAC,Fouls,5.0,fra.1,,1.0,0.0,0.0,,,,
Kieron Bowie,VER,Shots,4.0,ita.1,,4.0,1.0,0.0,,,,
Roberto Piccoli,FIO,Fouls,4.0,ita.1,,3.0,0.0,0.0,,,,
Akor Adams,SEV,Shots,4.0,esp.1,,4.0,1.0,0.0,,,,
Cucho Hernández,BET,Shots,4.0,esp.1,,4.0,0.0,0.0,,,,
Wladimiro Falcone,LEC,Goalkeeper Saves,4.0,ita.1,,0.0,0.0,0.0,4.0,,,
Nicolas Pépé,VIL,Shots,4.0,esp.1,,4.0,0.0,0.0,,,,
Tommaso Barbieri,CRE,Fouls,4.0,ita.1,,1.0,0.0,0.0,,,,
Alessandro Bastoni,INT,Fouls,4.0,ita.1,,0.0,0.0,0.0,,,,
Nidal Celik,RCL,Fouls,4.0,fra.1,,0.0,0.0,0.0,,,,
Matthieu Udol,RCL,Shots,4.0,fra.1,,4.0,0.0,1.0,,,,
Abdallah Sima,RCL,Shots,4.0,fra.1,,4.0,0.0,1.0,,,,
Rayan Fofana,RCL,Shots,4.0,fra.1,,4.0,0.0,0.0,,,,
Jonathan Fischer,METZ,Goalkeeper Saves,4.0,fra.1,,0.0,0.0,0.0,4.0,,,
Alpha Touré,METZ,Fouls,4.0,fra.1,,2.0,0.0,0.0,,,,
Pape Gueye,VIL,Shots,4.0,esp.1,,4.0,0.0,1.0,,,,
Mbwana Samatta,HAC,Shots,4.0,fra.1,,4.0,0.0,0.0,,,,
Kevin Carlos,NICE,Shots,4.0,fra.1,,4.0,0.0,0.0,,,,
Mousa Al-Tamari,REN,Shots,4.0,fra.1,,4.0,0.0,1.0,,,,
Santiago Pierotti,LEC,Fouls,4.0,ita.1,,1.0,1.0,0.0,,,,
Marshall Munetsi,PAR,Shots,4.0,fra.1,,4.0,1.0,0.0,,,,
Thomas Gillier,MTL,Goalkeeper Saves,4.0,usa.1,,0.0,0.0,0.0,4.0,,,
Wikelman Carmona,MTL,Shots,4.0,usa.1,,4.0,2.0,0.0,,,,
Roman Celentano,CIN,Goalkeeper Saves,4.0,usa.1,,0.0,0.0,0.0,4.0,,,
Lucas Boyé,ALA,Fouls,3.0,esp.1,,6.0,2.0,0.0,,,,
Filip Ugrinic,VAL,Shots,3.0,esp.1,,3.0,0.0,0.0,,,,
Umar Sadiq,VAL,Fouls,3.0,esp.1,,2.0,0.0,1.0,,,,
Kevin Trapp,PAR,Goalkeeper Saves,3.0,fra.1,,0.0,0.0,0.0,3.0,,,
Martin Frese,VER,Fouls,3.0,ita.1,,1.0,1.0,0.0,,,,
Carles Aleñá,ALA,Fouls,3.0,esp.1,,0.0,0.0,0.0,,,,
Lassana Coulibaly,LEC,Shots,3.0,ita.1,,3.0,0.0,0.0,,,,
Largie Ramazani,VAL,Shots,3.0,esp.1,,3.0,0.0,0.0,,,,
Cameron Puertas,SVW,Shots,3.0,ger.1,,3.0,0.0,1.0,,,,
Lassana Coulibaly,LEC,Fouls,3.0,ita.1,,3.0,0.0,0.0,,,,
Álvaro Valles,BET,Goalkeeper Saves,3.0,esp.1,,0.0,0.0,0.0,3.0,,,
Mauro Arambarri,GET,Fouls,3.0,esp.1,,2.0,0.0,0.0,,,,
Tomoya Ando,STP,Fouls,3.0,ger.1,,1.0,0.0,0.0,,,,
Mariano Troilo,PAR,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
Buba Sangaré,ELC,Fouls,3.0,esp.1,,1.0,0.0,0.0,,,,
Jens Odgaard,BOL,Fouls,3.0,ita.1,,2.0,0.0,0.0,,,,
Abdel Abqar,GET,Fouls,3.0,esp.1,,0.0,0.0,1.0,,,,
Derrick Köhn,FCU,Shots,3.0,ger.1,,3.0,1.0,0.0,,,,
Riccardo Orsolini,BOL,Shots,3.0,ita.1,,3.0,0.0,0.0,,,,
Youssef Maleh,CRE,Fouls,3.0,ita.1,,1.0,0.0,0.0,,,,
Gerard Gumbau,RAY,Fouls,3.0,esp.1,,0.0,0.0,0.0,,,,
Lameck Banda,LEC,Fouls,3.0,ita.1,,1.0,0.0,0.0,,,,
Leopold Querfeld,FCU,Fouls,3.0,ger.1,,2.0,0.0,0.0,,,,
Guido Rodríguez,VAL,Fouls,3.0,esp.1,,1.0,0.0,0.0,,,,
Giuseppe Pezzella,CRE,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
Matteo Bianchetti,CRE,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
Álvaro Rodríguez,ELC,Fouls,3.0,esp.1,,5.0,0.0,0.0,,,,
Keke Topp,SVW,Fouls,3.0,ger.1,,1.0,0.0,0.0,,,,
Abdou Harroui,VER,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
César Azpilicueta,SEV,Fouls,3.0,esp.1,,0.0,0.0,1.0,,,,
Jens Stage,SVW,Shots,3.0,ger.1,,3.0,1.0,1.0,,,,
Daniel Oyegoke,VER,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
Gabriel Strefezza,PAR,Shots,3.0,ita.1,,3.0,0.0,0.0,,,,
Mateo Pellegrino,PAR,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
Patrizio Masini,GEN,Fouls,3.0,ita.1,,1.0,0.0,1.0,,,,
Junior Messias,GEN,Shots,3.0,ita.1,,3.0,1.0,0.0,,,,
Mile Svilar,ROMA,Goalkeeper Saves,3.0,ita.1,,0.0,0.0,0.0,3.0,,,
Bryan Cristante,ROMA,Fouls,3.0,ita.1,,2.0,0.0,0.0,,,,
Nnamdi Collins,SGE,Fouls,3.0,ger.1,,0.0,0.0,0.0,,,,
Federico Dimarco,INT,Shots,3.0,ita.1,,3.0,0.0,0.0,,,,
Kieron Bowie,VER,Fouls,3.0,ita.1,,4.0,1.0,0.0,,,,
Deandre Kerr,TOR,Shots,3.0,usa.1,,3.0,0.0,0.0,,,,
Alessio Zerbin,CRE,Fouls,3.0,ita.1,,0.0,0.0,0.0,,,,
Victor Nelsson,VER,Fouls,3.0,ita.1,,1.0,0.0,0.0,,,,
Arnaut Danjuma,VAL,Shots,3.0,esp.1,,3.0,0.0,0.0,,,,
Carlos Martín,RAY,Fouls,3.0,esp.1,,0.0,0.0,0.0,,,,
Giorgi Kvilitaia,METZ,Fouls,3.0,fra.1,,0.0,0.0,0.0,,,,
Kamory Doumbia,BRE,Shots,3.0,fra.1,,3.0,0.0,1.0,,,,
Joris Chotard,BRE,Fouls,3.0,fra.1,,0.0,0.0,0.0,,,,
Ludovic Ajorque,BRE,Fouls,3.0,fra.1,,1.0,1.0,0.0,,,,
Danel Sinani,STP,Shots,3.0,ger.1,,3.0,0.0,0.0,,,,
Simon Ebonog,HAC,Fouls,3.0,fra.1,,1.0,0.0,0.0,,,,
Issa Soumaré,HAC,Shots,3.0,fra.1,,3.0,0.0,0.0,,,,
Federico Bonazzoli,CRE,Shots,3.0,ita.1,,3.0,1.0,0.0,,,,
Berke Özer,LILL,Goalkeeper Saves,3.0,fra.1,,0.0,0.0,0.0,3.0,,,
Tiago Santos,LILL,Shots,3.0,fra.1,,3.0,0.0,0.0,,,,
Tiago Santos,LILL,Fouls,3.0,fra.1,,3.0,0.0,0.0,,,,
Matias Fernandez-Pardo,LILL,Shots,3.0,fra.1,,3.0,1.0,0.0,,,,
Benjamin André,LILL,Fouls,3.0,fra.1,,0.0,0.0,0.0,,,,
Gaetan Perrin,LILL,Shots,3.0,fra.1,,3.0,0.0,0.0,,,,
Gaetan Perrin,LILL,Fouls,3.0,fra.1,,3.0,0.0,0.0,,,,
Bamo Meïté,LOR,Fouls,3.0,fra.1,,0.0,0.0,1.0,,,,
Noah Cadiou,LOR,Shots,3.0,fra.1,,3.0,0.0,0.0,,,,
Federico Bernardeschi,BOL,Shots,3.0,ita.1,,3.0,0.0,0.0,,,,
Brice Samba,REN,Goalkeeper Saves,3.0,fra.1,,0.0,0.0,0.0,3.0,,,
Stole Dimitrievski,VAL,Goalkeeper Saves,3.0,esp.1,,0.0,0.0,0.0,3.0,,,
Dominik Greif,LYON,Goalkeeper Saves,3.0,fra.1,,0.0,0.0,0.0,3.0,,,
Martín Satriano,GET,Fouls,3.0,esp.1,,1.0,1.0,0.0,,,,
Endrick,LYON,Shots,3.0,fra.1,,3.0,0.0,0.0,,,,
Roberto Piccoli,FIO,Shots,3.0,ita.1,,3.0,0.0,0.0,,,,
Juan González,RBNY,Shots,3.0,usa.1,,3.0,0.0,0.0,,,,
Walid Cheddira,LEC,Fouls,3.0,ita.1,,1.0,0.0,0.0,,,,
Efraín Morales,MTL,Fouls,3.0,usa.1,,0.0,0.0,0.0,,,,
Jean-Mattéo Bahoya,SGE,Shots,3.0,ger.1,,3.0,0.0,0.0,,,,
Mathias Pereira Lage,STP,Shots,3.0,ger.1,,3.0,0.0,0.0,,,,
Ender Echenique,CIN,Fouls,3.0,usa.1,,1.0,0.0,0.0,,,,
Benjamín Kuscevic,TOR,Fouls,3.0,usa.1,,1.0,0.0,0.0,,,,
José Cifuentes,TOR,Fouls,3.0,usa.1,,0.0,0.0,0.0,,,,
