player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Camren Hunter,CARK,Fantasy Score,70.8,49.0,1.0,3.0,1.0,4.0,5.0,17.0,30.0,8.0,12.0,8.0,7.0,8.0,9.0,18.0,0.0,1.0,3.0,39.0
Aidan Kehoe,NAVY,Fantasy Score,68.0,26.0,12.0,2.0,2.0,5.0,1.0,11.0,15.0,0.0,0.0,0.0,4.0,9.0,11.0,15.0,6.0,6.0,3.0,37.0
Terri Miller Jr.,PRST,Fantasy Score,64.5,31.0,10.0,4.0,1.0,1.0,3.0,11.0,24.0,4.0,7.0,4.0,5.0,7.0,7.0,17.0,2.0,8.0,5.0,33.0
Isaac Taveras,USM,Fantasy Score,58.2,32.0,9.0,3.0,0.0,4.0,4.0,12.0,16.0,0.0,0.0,0.0,8.0,13.0,12.0,16.0,4.0,5.0,3.0,36.0
Chance Westry,UAB,Fantasy Score,57.0,22.0,4.0,11.0,1.0,1.0,2.0,8.0,11.0,0.0,2.0,0.0,6.0,7.0,8.0,9.0,0.0,4.0,1.0,35.0
Chris Ashby,QUC,Fantasy Score,56.5,34.0,4.0,4.0,0.0,1.0,0.0,10.0,19.0,10.0,19.0,10.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,43.0
Cam'Ron Fletcher,HPU,Fantasy Score,53.8,17.0,19.0,0.0,0.0,1.0,1.0,5.0,6.0,2.0,3.0,2.0,5.0,6.0,3.0,3.0,4.0,15.0,0.0,29.0
Camren Hunter,CARK,PRA,53.0,49.0,1.0,3.0,1.0,4.0,5.0,17.0,30.0,8.0,12.0,8.0,7.0,8.0,9.0,18.0,0.0,1.0,3.0,39.0
Camren Hunter,CARK,Pts+Rebs+Asts,53.0,49.0,1.0,3.0,1.0,4.0,5.0,17.0,30.0,8.0,12.0,8.0,7.0,8.0,9.0,18.0,0.0,1.0,3.0,39.0
Nasir Whitlock,LEH,Fantasy Score,52.8,22.0,3.0,10.0,0.0,1.0,4.0,7.0,13.0,3.0,4.0,3.0,5.0,8.0,4.0,9.0,0.0,3.0,2.0,37.0
Camren Hunter,CARK,Pts+Asts,52.0,49.0,1.0,3.0,1.0,4.0,5.0,17.0,30.0,8.0,12.0,8.0,7.0,8.0,9.0,18.0,0.0,1.0,3.0,39.0
David Mirkovic,ILL,Fantasy Score,51.8,22.0,11.0,3.0,0.0,1.0,2.0,9.0,13.0,0.0,1.0,0.0,4.0,5.0,9.0,12.0,4.0,7.0,1.0,36.0
Spudd Webb,GASO,Fantasy Score,51.8,31.0,5.0,1.0,1.0,3.0,1.0,8.0,14.0,2.0,6.0,2.0,13.0,14.0,6.0,8.0,0.0,5.0,2.0,37.0
Rowan Brumbaugh,TULN,Fantasy Score,50.2,31.0,5.0,2.0,0.0,2.0,1.0,12.0,22.0,4.0,9.0,4.0,3.0,3.0,8.0,13.0,0.0,5.0,1.0,43.0
Camren Hunter,CARK,Pts+Rebs,50.0,49.0,1.0,3.0,1.0,4.0,5.0,17.0,30.0,8.0,12.0,8.0,7.0,8.0,9.0,18.0,0.0,1.0,3.0,39.0
Jerrell Bellamy,TROY,Fantasy Score,49.5,22.0,4.0,0.0,6.0,3.0,0.0,9.0,14.0,0.0,1.0,0.0,4.0,5.0,9.0,13.0,1.0,3.0,3.0,36.0
LJ Wells,NKU,Fantasy Score,49.2,26.0,9.0,4.0,0.0,1.0,1.0,8.0,12.0,0.0,0.0,0.0,10.0,12.0,8.0,12.0,3.0,6.0,2.0,31.0
Camren Hunter,CARK,Points,49.0,49.0,1.0,3.0,1.0,4.0,5.0,17.0,30.0,8.0,12.0,8.0,7.0,8.0,9.0,18.0,0.0,1.0,3.0,39.0
Tye Dorset,MRMK,Fantasy Score,49.0,23.0,6.0,2.0,1.0,4.0,1.0,10.0,17.0,3.0,5.0,3.0,0.0,0.0,7.0,12.0,1.0,5.0,0.0,40.0
Cruz Davis,HOF,Fantasy Score,48.8,30.0,1.0,5.0,0.0,2.0,2.0,9.0,15.0,5.0,9.0,5.0,7.0,8.0,4.0,6.0,0.0,1.0,4.0,30.0
Patrick Wessler,UNCW,Fantasy Score,48.2,21.0,13.0,1.0,0.0,0.0,2.0,10.0,14.0,0.0,0.0,0.0,1.0,4.0,10.0,14.0,6.0,7.0,4.0,35.0
Jalen Cox,COLG,Fantasy Score,48.0,26.0,4.0,5.0,0.0,3.0,3.0,8.0,19.0,1.0,4.0,1.0,9.0,10.0,7.0,15.0,0.0,4.0,3.0,36.0
Alex Wilkins,FUR,Fantasy Score,47.8,34.0,1.0,5.0,0.0,0.0,3.0,10.0,17.0,4.0,7.0,4.0,10.0,10.0,6.0,10.0,0.0,1.0,3.0,30.0
Ryan Beasley,SF,Fantasy Score,47.5,19.0,4.0,7.0,0.0,4.0,1.0,4.0,10.0,2.0,5.0,2.0,9.0,11.0,2.0,5.0,2.0,2.0,4.0,35.0
Matheo Coffi,UTSA,Fantasy Score,47.5,12.0,14.0,2.0,2.0,0.0,1.0,5.0,7.0,2.0,3.0,2.0,0.0,0.0,3.0,4.0,4.0,10.0,3.0,38.0
Elijah Mahi,SCU,Fantasy Score,47.2,13.0,11.0,4.0,1.0,1.0,3.0,3.0,12.0,3.0,7.0,3.0,4.0,4.0,0.0,5.0,5.0,6.0,2.0,32.0
Trey Campbell,UNI,Fantasy Score,46.5,23.0,4.0,4.0,2.0,1.0,2.0,8.0,13.0,6.0,9.0,6.0,1.0,1.0,2.0,4.0,0.0,4.0,0.0,37.0
Elijah Crawford,UIC,Fantasy Score,46.5,28.0,4.0,5.0,0.0,1.0,2.0,13.0,29.0,1.0,5.0,1.0,1.0,1.0,12.0,24.0,3.0,1.0,1.0,35.0
Yaxel Lendeborg,MICH,Fantasy Score,46.2,27.0,3.0,3.0,1.0,1.0,0.0,8.0,12.0,5.0,6.0,5.0,6.0,6.0,3.0,6.0,0.0,3.0,2.0,38.0
Tyler Tejada,TOW,Fantasy Score,46.0,30.0,2.0,4.0,0.0,1.0,2.0,11.0,17.0,4.0,5.0,4.0,4.0,4.0,7.0,12.0,1.0,1.0,0.0,37.0
Andre Mills,MD,Fantasy Score,45.5,30.0,4.0,3.0,0.0,1.0,3.0,10.0,18.0,2.0,8.0,2.0,8.0,10.0,8.0,10.0,2.0,2.0,3.0,34.0
Hank Alvey,LEH,Fantasy Score,45.2,30.0,5.0,0.0,3.0,0.0,3.0,13.0,18.0,0.0,0.0,0.0,4.0,8.0,13.0,18.0,1.0,4.0,2.0,35.0
Terri Miller Jr.,PRST,PRA,45.0,31.0,10.0,4.0,1.0,1.0,3.0,11.0,24.0,4.0,7.0,4.0,5.0,7.0,7.0,17.0,2.0,8.0,5.0,33.0
Terri Miller Jr.,PRST,Pts+Rebs+Asts,45.0,31.0,10.0,4.0,1.0,1.0,3.0,11.0,24.0,4.0,7.0,4.0,5.0,7.0,7.0,17.0,2.0,8.0,5.0,33.0
Jaxon Kohler,MSU,Fantasy Score,45.0,23.0,8.0,3.0,1.0,0.0,0.0,10.0,13.0,2.0,4.0,2.0,1.0,1.0,8.0,9.0,2.0,6.0,1.0,33.0
Justice Shoats,SIE,Fantasy Score,44.8,26.0,3.0,4.0,1.0,1.0,2.0,8.0,15.0,3.0,3.0,3.0,7.0,11.0,5.0,12.0,0.0,3.0,0.0,40.0
