player,team,prop_type,actual
Nikola Jokic,DEN,Fantasy Score,83.2
Jalen Duren,DET,Fantasy Score,76.0
Jamal Murray,DEN,Fantasy Score,71.0
Shai Gilgeous-Alexander,OKC,Fantasy Score,65.2
Chet Holmgren,OKC,Fantasy Score,64.2
Jaylen Brown,BOS,Fantasy Score,61.8
Nikola Vucevic,BOS,Fantasy Score,61.2
Cade Cunningham,DET,Fantasy Score,60.5
Evan Mobley,CLE,Fantasy Score,59.5
Nikola Jokic,DEN,Pts+Rebs+Asts,54.0
Nikola Jokic,DEN,PRA,54.0
Jamal Murray,DEN,Pts+Rebs+Asts,53.0
Jamal Murray,DEN,PRA,53.0
Jalen Duren,DET,PRA,52.0
Jalen Duren,DET,Pts+Rebs+Asts,52.0
Olivier-Maxence Prosper,MEM,Fantasy Score,49.0
Jalen Duren,DET,Pts+Rebs,49.0
Jarrett Allen,CLE,Fantasy Score,48.2
Shai Gilgeous-Alexander,OKC,PRA,48.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,48.0
Kevin Porter Jr.,MIL,Fantasy Score,47.0
Jamal Murray,DEN,Pts+Rebs,47.0
Christian Braun,DEN,Fantasy Score,46.5
Jalen Brunson,NY,Fantasy Score,46.2
Ausar Thompson,DET,Fantasy Score,45.5
Karl-Anthony Towns,NY,Fantasy Score,45.2
Jamal Murray,DEN,Pts+Asts,45.0
Shai Gilgeous-Alexander,OKC,Pts+Asts,45.0
Jaylen Brown,BOS,PRA,44.0
Jaylen Brown,BOS,Pts+Rebs+Asts,44.0
Nikola Vucevic,BOS,Pts+Rebs+Asts,43.0
Nikola Vucevic,BOS,PRA,43.0
OG Anunoby,NY,Fantasy Score,42.8
Cade Cunningham,DET,Pts+Rebs+Asts,42.0
Cade Cunningham,DET,PRA,42.0
Tobias Harris,DET,Fantasy Score,41.8
Cam Spencer,MEM,Fantasy Score,40.5
Craig Porter Jr.,CLE,Fantasy Score,40.5
Nikola Jokic,DEN,Pts+Rebs,40.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs,39.0
Chet Holmgren,OKC,PRA,39.0
Chet Holmgren,OKC,Pts+Rebs+Asts,39.0
Nikola Vucevic,BOS,Pts+Rebs,39.0
Jamal Murray,DEN,Points,39.0
Derrick White,BOS,Fantasy Score,38.2
Dwight Powell,DAL,Fantasy Score,38.2
Jarrett Allen,CLE,Pts+Rebs+Asts,38.0
Jarrett Allen,CLE,PRA,38.0
Payton Pritchard,BOS,Fantasy Score,37.5
Jaylen Brown,BOS,Pts+Asts,37.0
Jalen Brunson,NY,Pts+Rebs+Asts,37.0
Nikola Jokic,DEN,Pts+Asts,37.0
Jalen Brunson,NY,PRA,37.0
Brandon Williams,DAL,Fantasy Score,36.5
Chet Holmgren,OKC,Pts+Rebs,36.0
Evan Mobley,CLE,Pts+Rebs+Asts,36.0
Evan Mobley,CLE,PRA,36.0
Shai Gilgeous-Alexander,OKC,Points,36.0
Jalen Duren,DET,Pts+Asts,36.0
