player,team,prop_type,actual
Morez Johnson Jr.,MICH,Fantasy Score,46.8
Braden Smith,PUR,Fantasy Score,44.8
Jayden Brewer,WMU,Fantasy Score,44.8
Yaxel Lendeborg,MICH,Fantasy Score,43.8
David Mirkovic,ILL,Fantasy Score,41.5
Keaton Wagler,ILL,Fantasy Score,40.5
Aday Mara,MICH,Fantasy Score,35.8
Trey Kaufman-Renn,PUR,Fantasy Score,34.0
Carson Cooper,MSU,Fantasy Score,32.5
Morez Johnson Jr.,MICH,Pts+Rebs+Asts,31.0
Jayden Brewer,WMU,Pts+Rebs+Asts,31.0
Jayden Brewer,WMU,PRA,31.0
Morez Johnson Jr.,MICH,PRA,31.0
Keaton Wagler,ILL,Pts+Rebs+Asts,30.0
Morez Johnson Jr.,MICH,Pts+Rebs,30.0
Jayden Brewer,WMU,Pts+Rebs,30.0
Keaton Wagler,ILL,PRA,30.0
Almar Atlason,M-OH,Fantasy Score,28.8
EJ Ryans,WMU,Fantasy Score,28.5
Trey Perry,M-OH,Fantasy Score,28.2
Kylan Boswell,ILL,Fantasy Score,27.2
Yaxel Lendeborg,MICH,Pts+Rebs+Asts,27.0
Yaxel Lendeborg,MICH,PRA,27.0
Braden Smith,PUR,PRA,27.0
Braden Smith,PUR,Pts+Rebs+Asts,27.0
Keaton Wagler,ILL,Pts+Rebs,27.0
Jeremy Fears Jr.,MSU,Fantasy Score,26.8
Peter Suder,M-OH,Fantasy Score,26.8
Kur Teng,MSU,Fantasy Score,26.2
Keaton Wagler,ILL,Pts+Asts,26.0
Aday Mara,MICH,PRA,26.0
Aday Mara,MICH,Pts+Rebs+Asts,26.0
Aday Mara,MICH,Pts+Rebs,24.0
David Mirkovic,ILL,Pts+Rebs+Asts,24.0
David Mirkovic,ILL,PRA,24.0
Justice Williams,WMU,Fantasy Score,23.8
Eian Elmer,M-OH,Fantasy Score,23.8
Keaton Wagler,ILL,Points,23.0
Yaxel Lendeborg,MICH,Pts+Rebs,23.0
Trey Kaufman-Renn,PUR,Pts+Rebs+Asts,23.0
Trey Kaufman-Renn,PUR,PRA,23.0
Coen Carr,MSU,Fantasy Score,22.2
David Mirkovic,ILL,Pts+Rebs,22.0
Carson Cooper,MSU,Pts+Rebs+Asts,22.0
Carson Cooper,MSU,PRA,22.0
Braden Smith,PUR,Pts+Asts,22.0
Oscar Cluff,PUR,Fantasy Score,21.5
Almar Atlason,M-OH,Pts+Rebs+Asts,21.0
EJ Ryans,WMU,Pts+Rebs+Asts,21.0
EJ Ryans,WMU,PRA,21.0
Carson Cooper,MSU,Pts+Rebs,21.0
Almar Atlason,M-OH,PRA,21.0
Peter Suder,M-OH,Pts+Rebs+Asts,21.0
Peter Suder,M-OH,Pts+Rebs,21.0
Peter Suder,M-OH,PRA,21.0
Aday Mara,MICH,Pts+Asts,21.0
Elliot Cadeau,MICH,Fantasy Score,20.2
Jack Benter,PUR,Fantasy Score,20.2
Yaxel Lendeborg,MICH,Pts+Asts,20.0
Jayden Brewer,WMU,Pts+Asts,20.0
Morez Johnson Jr.,MICH,Pts+Asts,20.0
Antwone Woolfolk,M-OH,Fantasy Score,19.2
Morez Johnson Jr.,MICH,Points,19.0
Aday Mara,MICH,Points,19.0
Almar Atlason,M-OH,Pts+Rebs,19.0
Jeremy Fears Jr.,MSU,Pts+Rebs+Asts,19.0
Jeremy Fears Jr.,MSU,PRA,19.0
Jayden Brewer,WMU,Points,19.0
Jaxon Kohler,MSU,Fantasy Score,18.2
Kylan Boswell,ILL,Pts+Rebs+Asts,18.0
Kylan Boswell,ILL,PRA,18.0
Peter Suder,M-OH,Pts+Asts,18.0
Peter Suder,M-OH,Points,18.0
Trey Perry,M-OH,Pts+Rebs+Asts,18.0
Trey Perry,M-OH,PRA,18.0
EJ Ryans,WMU,Pts+Rebs,18.0
Jeremy Fears Jr.,MSU,Pts+Asts,18.0
Almar Atlason,M-OH,Pts+Asts,18.0
Jordan Scott,MSU,Fantasy Score,17.2
Trey Perry,M-OH,Pts+Asts,17.0
Cam Ward,MSU,Fantasy Score,17.0
Coen Carr,MSU,PRA,17.0
Justice Williams,WMU,PRA,17.0
Coen Carr,MSU,Pts+Rebs+Asts,17.0
Justice Williams,WMU,Pts+Rebs+Asts,17.0
Kylan Boswell,ILL,Pts+Asts,17.0
Trey Kaufman-Renn,PUR,Pts+Asts,17.0
Kur Teng,MSU,PRA,17.0
Kur Teng,MSU,Pts+Rebs+Asts,17.0
Keaton Wagler,ILL,FG Attempted,17.0
Braden Smith,PUR,Pts+Rebs,17.0
EJ Ryans,WMU,Pts+Asts,17.0
Justice Williams,WMU,Pts+Rebs,17.0
Fletcher Loyer,PUR,Fantasy Score,16.2
Trey Kaufman-Renn,PUR,Pts+Rebs,16.0
Coen Carr,MSU,Pts+Rebs,16.0
Kylan Boswell,ILL,Pts+Rebs,16.0
Kur Teng,MSU,Pts+Rebs,16.0
Almar Atlason,M-OH,Points,16.0
Carson Cooper,MSU,Pts+Asts,16.0
Antwone Woolfolk,M-OH,PRA,16.0
Jayden Brewer,WMU,FG Attempted,16.0
Tomislav Ivisic,ILL,Fantasy Score,16.0
Eian Elmer,M-OH,Pts+Rebs+Asts,16.0
Eian Elmer,M-OH,PRA,16.0
Yaxel Lendeborg,MICH,Points,16.0
