player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Reed Sheppard,HOU,Fantasy Score,69.8,19.0,7.0,10.0,2.0,6.0,3.0,7.0,18.0,4.0,11.0,4.0,1.0,2.0,3.0,7.0,0.0,7.0,2.0,42.0
Jamal Murray,DEN,Fantasy Score,68.5,45.0,2.0,8.0,0.0,2.0,7.0,13.0,19.0,8.0,13.0,8.0,11.0,12.0,5.0,6.0,0.0,2.0,3.0,38.0
Alperen Sengun,HOU,Fantasy Score,61.8,32.0,13.0,2.0,1.0,1.0,8.0,12.0,20.0,0.0,1.0,0.0,8.0,11.0,12.0,19.0,6.0,7.0,2.0,38.0
Hugo Gonzalez,BOS,Fantasy Score,61.0,18.0,16.0,1.0,2.0,3.0,1.0,7.0,15.0,3.0,8.0,3.0,1.0,3.0,4.0,7.0,5.0,11.0,2.0,35.0
Nikola Jokic,DEN,Fantasy Score,57.5,22.0,12.0,5.0,2.0,0.0,3.0,6.0,11.0,0.0,0.0,0.0,10.0,11.0,6.0,11.0,2.0,10.0,5.0,36.0
Amen Thompson,HOU,Fantasy Score,57.0,22.0,12.0,4.0,0.0,2.0,2.0,10.0,15.0,1.0,1.0,1.0,1.0,1.0,9.0,14.0,3.0,9.0,2.0,31.0
Jamal Murray,DEN,Pts+Rebs+Asts,55.0,45.0,2.0,8.0,0.0,2.0,7.0,13.0,19.0,8.0,13.0,8.0,11.0,12.0,5.0,6.0,0.0,2.0,3.0,38.0
Jamal Murray,DEN,PRA,55.0,45.0,2.0,8.0,0.0,2.0,7.0,13.0,19.0,8.0,13.0,8.0,11.0,12.0,5.0,6.0,0.0,2.0,3.0,38.0
Keyonte George,UTAH,Fantasy Score,54.0,36.0,2.0,2.0,0.0,4.0,4.0,14.0,22.0,4.0,9.0,4.0,4.0,5.0,10.0,13.0,0.0,2.0,2.0,30.0
Jamal Murray,DEN,Pts+Asts,53.0,45.0,2.0,8.0,0.0,2.0,7.0,13.0,19.0,8.0,13.0,8.0,11.0,12.0,5.0,6.0,0.0,2.0,3.0,38.0
Payton Pritchard,BOS,Fantasy Score,50.0,25.0,4.0,9.0,0.0,0.0,1.0,10.0,23.0,5.0,10.0,5.0,0.0,0.0,5.0,13.0,2.0,2.0,1.0,34.0
Kawhi Leonard,LAC,Fantasy Score,48.5,23.0,8.0,4.0,0.0,2.0,1.0,9.0,14.0,3.0,6.0,3.0,2.0,2.0,6.0,8.0,2.0,6.0,1.0,29.0
Alperen Sengun,HOU,PRA,47.0,32.0,13.0,2.0,1.0,1.0,8.0,12.0,20.0,0.0,1.0,0.0,8.0,11.0,12.0,19.0,6.0,7.0,2.0,38.0
Alperen Sengun,HOU,Pts+Rebs+Asts,47.0,32.0,13.0,2.0,1.0,1.0,8.0,12.0,20.0,0.0,1.0,0.0,8.0,11.0,12.0,19.0,6.0,7.0,2.0,38.0
Jamal Murray,DEN,Pts+Rebs,47.0,45.0,2.0,8.0,0.0,2.0,7.0,13.0,19.0,8.0,13.0,8.0,11.0,12.0,5.0,6.0,0.0,2.0,3.0,38.0
Giannis Antetokounmpo,MIL,Fantasy Score,46.8,19.0,11.0,2.0,1.0,0.0,3.0,7.0,18.0,0.0,2.0,0.0,5.0,7.0,7.0,16.0,4.0,7.0,1.0,25.0
Kevin Durant,HOU,Fantasy Score,45.2,30.0,7.0,1.0,1.0,0.0,6.0,8.0,15.0,3.0,6.0,3.0,11.0,11.0,5.0,9.0,1.0,6.0,1.0,37.0
Kyle Filipowski,UTAH,Fantasy Score,45.0,19.0,8.0,6.0,0.0,1.0,0.0,5.0,8.0,1.0,3.0,1.0,8.0,9.0,4.0,5.0,2.0,6.0,5.0,29.0
Jamal Murray,DEN,Points,45.0,45.0,2.0,8.0,0.0,2.0,7.0,13.0,19.0,8.0,13.0,8.0,11.0,12.0,5.0,6.0,0.0,2.0,3.0,38.0
Alperen Sengun,HOU,Pts+Rebs,45.0,32.0,13.0,2.0,1.0,1.0,8.0,12.0,20.0,0.0,1.0,0.0,8.0,11.0,12.0,19.0,6.0,7.0,2.0,38.0
Kris Dunn,LAC,Fantasy Score,44.2,16.0,7.0,7.0,0.0,2.0,1.0,7.0,10.0,2.0,4.0,2.0,0.0,0.0,5.0,6.0,0.0,7.0,0.0,26.0
Derrick White,BOS,Fantasy Score,40.2,18.0,1.0,9.0,0.0,1.0,2.0,5.0,18.0,4.0,12.0,4.0,4.0,4.0,1.0,6.0,0.0,1.0,0.0,34.0
Brandin Podziemski,GS,Fantasy Score,40.2,22.0,7.0,3.0,0.0,0.0,2.0,9.0,18.0,3.0,6.0,3.0,1.0,2.0,6.0,12.0,1.0,6.0,1.0,37.0
Keyonte George,UTAH,Pts+Rebs+Asts,40.0,36.0,2.0,2.0,0.0,4.0,4.0,14.0,22.0,4.0,9.0,4.0,4.0,5.0,10.0,13.0,0.0,2.0,2.0,30.0
