Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,C,0.2,Alfred Worrell,MORG,NORF,Points,Standard,18.5,OVER,0.2699999999999996,18.77,0.6499999999999999,18.2,18.35,3,2,,03/02 06:00PM,pts,
CBB,C,0.2,Patrick Ngongba,DUKE,NCST,Rebounds,Standard,6,UNDER,-0.3200000000000003,5.68,0.5835,5.4,5.9,1,2,Avg,03/02 07:00PM,reb,
CBB,C,0.2,Jaden Bradley,ARIZ,ISU,Pts+Asts,Standard,20,UNDER,-0.5199999999999996,19.48,0.5,20.4,18.5,3,2,,03/02 09:00PM,pa,
CBB,C,0.19,Cameron Boozer,DUKE,NCST,Rebounds,Standard,10,OVER,0.3186000000000018,10.3186,0.5355,10.4,10.143,2,2,Avg,03/02 07:00PM,reb,
CBB,C,0.19,Joshua Jefferson,ISU,ARIZ,Points,Goblin,14.5,OVER,1.440000000000001,15.94,0.45,15.8,16.5,2,3,Elite,03/02 09:00PM,pts,
CBB,C,0.18,Quadir Copeland,NCST,DUKE,Rebs+Asts,Standard,9,OVER,1.3454,10.3454,0.55,9,11.227,2,3,Elite,03/02 07:00PM,ra,
CBB,C,0.18,Ven-Allen Lubin,NCST,DUKE,Rebs+Asts,Standard,7.5,OVER,0.8999999999999986,8.399999999999999,0.8,8.2,8,4,1,Elite,03/02 07:00PM,ra,
CBB,C,0.18,Isaiah Evans,DUKE,NCST,Pts+Rebs,Standard,18.5,UNDER,-0.5210000000000008,17.979,0.45,18.4,18.095,3,2,Avg,03/02 07:00PM,pr,
CBB,C,0.18,Motiejus Krivas,ARIZ,ISU,Fantasy Score,Standard,27,UNDER,-0.2454000000000001,26.7546,0.7,24.58,29.273,1,4,,03/02 09:00PM,fantasy score,
CBB,C,0.17,Koa Peat,ARIZ,ISU,Rebounds,Goblin,4.5,OVER,0.1736000000000004,4.6736,0.6,4.2,5.368,3,2,,03/02 09:00PM,reb,
CBB,C,0.16,Blake Buchanan,ISU,ARIZ,Pts+Rebs+Asts,Standard,14,OVER,1.179,15.179,0.597,15.8,15.545,3,1,Elite,03/02 09:00PM,pra,
CBB,C,0.16,Cameron Boozer,DUKE,NCST,Assists,Standard,4,UNDER,-0.1900000000000004,3.81,0.667,3.8,4,1,2,Avg,03/02 07:00PM,ast,
CBB,C,0.15,Milan Momcilovic,ISU,ARIZ,Rebounds,Goblin,2.5,OVER,0.4264000000000001,2.9264,0.6499999999999999,2.6,3.182,3,2,Elite,03/02 09:00PM,reb,
CBB,C,0.15,Devon Ellis,NORF,MORG,Rebounds,Standard,4.5,UNDER,-0.2699999999999996,4.23,0.5,4.6,4.1,3,2,,03/02 06:00PM,reb,
CBB,C,0.15,Jaden Bradley,ARIZ,ISU,Points,Standard,14.5,UNDER,-0.1417999999999999,14.3582,0.6499999999999999,15,13.591,2,3,,03/02 09:00PM,pts,
CBB,C,0.14,Quadir Copeland,NCST,DUKE,Pts+Asts,Standard,18,OVER,1.8246,19.8246,0.5335000000000001,18,21.273,2,3,Elite,03/02 07:00PM,pa,
CBB,C,0.14,Ivan Kharchenkov,ARIZ,ISU,Assists,Demon,2.5,OVER,0.3200000000000003,2.82,0.5,3.2,2.5,3,2,,03/02 09:00PM,ast,
CBB,C,0.14,Jaden Bradley,ARIZ,ISU,Rebounds,Standard,3.5,UNDER,-0.2845999999999997,3.2154,0.45,3.2,3.727,3,2,,03/02 09:00PM,reb,
CBB,C,0.13,Brayden Burries,ARIZ,ISU,Pts+Asts,Standard,19.5,OVER,0.2890000000000015,19.789,0.5,18.6,20.045,2,3,,03/02 09:00PM,pa,
