SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,PLAYER_NORM
2025-26,401838140,2026-02-15,WORLD,4683021,Deni Avdija,8,5,0,2,0,0,1,2.0,3.0,1.0,2.0,0.0,0.0,
2025-26,401838140,2026-02-15,WORLD,5104157,Victor Wembanyama,10,14,6,0,0,3,1,4.0,5.0,2.0,2.0,4.0,4.0,
2025-26,401838140,2026-02-15,WORLD,3112335,Nikola Jokic,5,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,
2025-26,401838140,2026-02-15,WORLD,3936299,Jamal Murray,11,0,2,4,1,0,1,0.0,6.0,0.0,1.0,0.0,0.0,
2025-26,401838140,2026-02-15,WORLD,3945274,Luka Doncic,5,2,0,2,0,0,0,1.0,3.0,0.0,2.0,0.0,0.0,
2025-26,401838140,2026-02-15,WORLD,3149673,Pascal Siakam,8,4,1,1,0,0,0,2.0,4.0,0.0,1.0,0.0,0.0,
2025-26,401838140,2026-02-15,WORLD,3136195,Karl-Anthony Towns,8,10,1,0,0,0,0,3.0,4.0,2.0,3.0,2.0,2.0,
2025-26,401838140,2026-02-15,WORLD,4871144,Alperen Sengun,3,0,4,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,401838140,2026-02-15,WORLD,2595516,Norman Powell,7,0,0,1,0,0,1,0.0,3.0,0.0,3.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4433621,Jalen Duren,8,2,4,3,0,0,0,1.0,4.0,0.0,0.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,3136193,Devin Booker,10,5,1,4,0,0,0,2.0,5.0,1.0,3.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4431678,Tyrese Maxey,7,4,3,2,0,1,0,2.0,5.0,0.0,3.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4432166,Cade Cunningham,10,4,3,1,3,1,0,2.0,6.0,0.0,1.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4594268,Anthony Edwards,9,13,2,0,0,0,0,5.0,9.0,3.0,7.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4433134,Scottie Barnes,8,3,5,2,1,1,3,1.0,1.0,1.0,1.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4701230,Jalen Johnson,7,4,0,1,0,1,0,2.0,3.0,0.0,1.0,0.0,0.0,
2025-26,401838140,2026-02-15,STARS,4433255,Chet Holmgren,5,2,1,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401838141,2026-02-15,STARS,4433621,Jalen Duren,5,7,3,0,0,0,0,3.0,4.0,0.0,0.0,1.0,3.0,
