projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,image_url,pos,pp_away_team,prop_type,line,pick_type,team,opp_team,pp_home_team
10116227,10116227,173819,130706,2026-02-25T19:30:00.000-05:00,Victor Wembanyama,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,F-C,,Fantasy Score,53.5,Standard,SAS,,
10108159,10108159,173819,130706,2026-02-25T19:30:00.000-05:00,Victor Wembanyama,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,F-C,,Pts+Rebs+Asts,49.5,Demon,SAS,,
10110838,10110838,303058,130706,2026-02-25T19:30:00.000-05:00,Brandon Ingram + Victor Wembanyama,https://static.prizepicks.com/images/players/CMBO_group_nfFbDAtjEoP8yS63LB1itRLL.webp,F,,Points (Combo),45.5,Standard,TOR/SAS,,
10108156,10108156,173819,130706,2026-02-25T19:30:00.000-05:00,Victor Wembanyama,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,F-C,,Pts+Rebs,44.5,Demon,SAS,,
10108158,10108158,173819,130706,2026-02-25T19:30:00.000-05:00,Victor Wembanyama,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,F-C,,Pts+Rebs+Asts,44.5,Demon,SAS,,
10109389,10109389,173819,130706,2026-02-25T19:30:00.000-05:00,Victor Wembanyama,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,F-C,,Pts+Rebs+Asts,42.5,Demon,SAS,,
10110842,10110842,303062,130706,2026-02-25T19:30:00.000-05:00,RJ Barrett + Victor Wembanyama,https://static.prizepicks.com/images/players/CMBO_group_7dBMwGiVgfROFoALxbgwzPab.webp,F-G,,Points (Combo),40.5,Standard,TOR/SAS,,
10116225,10116225,188002,130706,2026-02-25T19:30:00.000-05:00,Scottie Barnes,https://static.prizepicks.com/images/players/NBA/Scottie_Barnes_NBA_player_CA6jRIM1PBTqp5mxIeLVkhys.webp,F-G,,Fantasy Score,40.0,Standard,TOR,,
10108155,10108155,173819,130706,2026-02-25T19:30:00.000-05:00,Victor Wembanyama,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,F-C,,Pts+Rebs,39.5,Demon,SAS,,
10109623,10109623,269517,130706,2026-02-25T19:30:00.000-05:00,Brandon Ingram,https://static.prizepicks.com/images/manual/Brandon_Ingramm.png,F,,Pts+Rebs,39.5,Demon,TOR,,
