nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status
1630178,Tyrese Maxey,G,PHI,IND,54.5,Pts+Rebs+Asts,pra,Demon,10089124,10089124,188005,130207,2026-02-24T19:00:00.000-05:00,,,40.5,3,https://static.prizepicks.com/images/players/NBA/Tyrese_Maxey_NBA_player_2Em7ba9RgTz4wL2vdHJo0xwR.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,37,34,12,9,2,36,35,44,39,28.4,29.8,32,0,5,0,0,0,1,0,1,OK
203954,Joel Embiid,C-F,PHI,IND,49.5,Pts+Rebs+Asts,pra,Demon,10089102,10089102,187996,130207,2026-02-24T19:00:00.000-05:00,,,39.5,2,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,49,32,55,50,43,54,57,43,,46.2,47.556,47.556,2,3,0,0.4,0.4,0.6,0.444,0.556,OK
1630178,Tyrese Maxey,G,PHI,IND,49.5,Pts+Asts,pa,Demon,10089116,10089116,188005,130207,2026-02-24T19:00:00.000-05:00,,,36.5,3,https://static.prizepicks.com/images/players/NBA/Tyrese_Maxey_NBA_player_2Em7ba9RgTz4wL2vdHJo0xwR.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,34,31,10,6,2,34,34,35,39,25.6,27.2,29,0,5,0,0,0,1,0,1,OK
1630178,Tyrese Maxey,G,PHI,IND,49.5,Pts+Rebs,pr,Demon,10089120,10089120,188005,130207,2026-02-24T19:00:00.000-05:00,,,34.5,3,https://static.prizepicks.com/images/players/NBA/Tyrese_Maxey_NBA_player_2Em7ba9RgTz4wL2vdHJo0xwR.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,30,31,11,7,2,34,31,38,26,24.2,25.2,26.1,0,5,0,0,0,1,0,1,OK
1630178,Tyrese Maxey,G,PHI,IND,49.5,Pts+Rebs+Asts,pra,Demon,10089122,10089122,188005,130207,2026-02-24T19:00:00.000-05:00,,,40.5,2,https://static.prizepicks.com/images/players/NBA/Tyrese_Maxey_NBA_player_2Em7ba9RgTz4wL2vdHJo0xwR.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,37,34,12,9,2,36,35,44,39,28.4,29.8,32,1,4,0,0.2,0.2,0.8,0.1,0.9,OK
203954,Joel Embiid,C-F,PHI,IND,49.5,Pts+Rebs,pr,Demon,10091941,10091941,187996,130207,2026-02-24T19:00:00.000-05:00,,,35.5,3,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,42,29,51,42,38,49,47,39,,41.2,42.111,42.111,1,4,0,0.2,0.2,0.8,0.111,0.889,OK
1630178,Tyrese Maxey,G,PHI,IND,49.5,Fantasy Score,fantasy,Standard,10093577,10093577,188005,130207,2026-02-24T19:00:00.000-05:00,,,49.5,0,https://static.prizepicks.com/images/players/NBA/Tyrese_Maxey_NBA_player_2Em7ba9RgTz4wL2vdHJo0xwR.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58.6,51.1,40.1,21.9,13.6,1,39.4,36.2,48.8,53.5,37.06,36.42,40.4,2,3,0,0.4,0.4,0.6,0.3,0.7,OK
203954,Joel Embiid,C-F,PHI,IND,45.5,Fantasy Score,fantasy,Standard,10093574,10093574,187996,130207,2026-02-24T19:00:00.000-05:00,,,45.5,0,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49.3,59.9,36.5,63.2,59,48.3,57.7,66,45.8,,53.58,53.967,53.967,4,1,0,0.8,0.8,0.2,0.889,0.111,OK
203954,Joel Embiid,C-F,PHI,IND,44.5,Pts+Rebs,pr,Demon,10089098,10089098,187996,130207,2026-02-24T19:00:00.000-05:00,,,35.5,2,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,42,29,51,42,38,49,47,39,,41.2,42.111,42.111,1,4,0,0.2,0.2,0.8,0.333,0.667,OK
203954,Joel Embiid,C-F,PHI,IND,44.5,Pts+Rebs+Asts,pra,Demon,10089100,10089100,187996,130207,2026-02-24T19:00:00.000-05:00,,,39.5,1,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,49,32,55,50,43,54,57,43,,46.2,47.556,47.556,4,1,0,0.8,0.8,0.2,0.667,0.333,OK
