cx,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.16,Tomislav Ivisic,ILL,MICH,Rebounds,Goblin,3.5,OVER,2.9,6.4,0.8500000000000001,5.8,7,4,1,Elite,02/27 08:00PM,reb,
CBB,A,1.16,Boogie Fland,FLA,ARK,Points,Goblin,9.5,OVER,2.400000000000002,11.9,0.6,12.4,11.4,3,2,Weak,02/28 08:30PM,pts,
CBB,A,1.15,David Mirkovic,ILL,MICH,Points,Goblin,9.5,OVER,4.700000000000001,14.2,0.8500000000000001,14.4,14,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.13,Derrian Ford,TEM,FAU,Pts+Rebs+Asts,Goblin,21.5,OVER,3.099999999999998,24.6,0.8,24,25.2,4,1,Avg,02/26 07:00PM,pra,
CBB,A,1.13,Karon Boyd,WICH,MEM,Fantasy Score,Goblin,16,OVER,3.770000000000003,19.77,0.7,18.44,21.1,3,2,Avg,02/26 09:05PM,fantasy score,
CBB,A,1.13,Yaxel Lendeborg,MICH,ILL,Points,Goblin,9.5,OVER,4.550000000000001,14.05,0.8,13.8,14.3,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.13,Jordan Mason,TEM,FAU,Fantasy Score,Goblin,16,OVER,6.539999999999999,22.54,0.6,23.24,21.84,3,2,Avg,02/26 07:05PM,fantasy score,
CBB,A,1.12,Isaiah Elohim,FAU,TEM,Fantasy Score,Goblin,17,OVER,7,24,0.8,24.08,23.92,4,1,Above Avg,02/26 07:05PM,fantasy score,
CBB,A,1.1,Jaxon Kohler,MSU,PUR,Points,Goblin,5.5,OVER,3.15,8.65,0.8,8.6,8.7,4,1,Elite,02/26 08:00PM,pts,
CBB,A,1.1,Fletcher Loyer,PUR,MSU,Points,Goblin,9.5,OVER,4.800000000000001,14.3,0.8,15.4,13.2,5,0,Elite,02/26 08:00PM,pts,
CBB,A,1.1,Trevon Brazile,ARK,FLA,Rebounds,Goblin,5.5,OVER,2.699999999999999,8.2,0.8500000000000001,8,8.4,4,1,Above Avg,02/28 08:30PM,reb,
CBB,A,1.09,David Mirkovic,ILL,MICH,Points,Goblin,10.5,OVER,3.700000000000001,14.2,0.8,14.4,14,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.09,Aiden Tobiason,TEM,FAU,Pts+Rebs+Asts,Goblin,18.5,OVER,2.850000000000001,21.35,0.7,20.6,22.1,3,2,Avg,02/26 07:00PM,pra,
CBB,A,1.09,Keaton Wagler,ILL,MICH,Points,Goblin,14.5,OVER,6.149999999999999,20.65,0.75,19.4,21.9,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.08,Jeremy Fears,MSU,PUR,Points,Goblin,11.5,OVER,5.549999999999997,17.05,0.7,15.4,18.7,3,2,Elite,02/26 08:00PM,pts,
CBB,A,1.07,Derrian Ford,TEM,FAU,Points,Goblin,15.5,OVER,2.700000000000003,18.2,0.6499999999999999,17.8,18.6,3,2,Avg,02/26 07:00PM,pts,
CBB,A,1.07,Kenyon Giles,WICH,MEM,Fantasy Score,Standard,29,OVER,4.210000000000001,33.21,0.75,33.7,32.72,4,1,Avg,02/26 09:00PM,fantasy score,
CBB,A,1.07,Carson Cooper,MSU,PUR,Points,Goblin,6.5,OVER,3.600000000000001,10.1,0.6499999999999999,9.4,10.8,3,2,Elite,02/26 08:00PM,pts,
CBB,A,1.07,David Mirkovic,ILL,MICH,Pts+Rebs+Asts,Goblin,17.5,OVER,5.800000000000001,23.3,0.8500000000000001,23.4,23.2,4,1,Elite,02/27 08:00PM,pra,
CBB,A,1.07,Trey Kaufman-Renn,PUR,MSU,Fantasy Score,Goblin,24.5,OVER,5.185000000000002,29.685,0.9,32.18,27.19,5,0,Elite,02/26 08:05PM,fantasy score,
CBB,A,1.07,Keaton Wagler,ILL,MICH,Points,Goblin,15.5,OVER,5.149999999999999,20.65,0.75,19.4,21.9,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.06,Fletcher Loyer,PUR,MSU,Points,Goblin,10.5,OVER,3.800000000000001,14.3,0.8,15.4,13.2,5,0,Elite,02/26 08:00PM,pts,
CBB,A,1.06,Coen Carr,MSU,PUR,Pts+Rebs,Goblin,14.5,OVER,3.699999999999999,18.2,0.8,18.4,18,4,1,Elite,02/26 08:00PM,pr,
CBB,A,1.06,Carson Cooper,MSU,PUR,Fantasy Score,Goblin,15,OVER,8.315000000000001,23.315,0.6499999999999999,21.26,25.37,3,2,Elite,02/26 08:05PM,fantasy score,
