Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.39,Collin Chandler,UK,TXAM,Points,Goblin,9.5,OVER,4.449999999999999,13.95,0.9,15.8,10,5,0,Weak,03/03 07:00PM,pts,
CBB,A,1.37,Jeremiah Wilkinson,UGA,ALA,Points,Goblin,16.5,OVER,2.580000000000002,19.08,0.9,20.4,18,5,0,Weak,03/03 06:30PM,pts,
CBB,A,1.34,Jaden Henley,GC,AFA,Fantasy Score,Goblin,27,OVER,8.170200000000001,35.1702,0.8500000000000001,35.74,32.171,4,1,Weak,03/03 09:05PM,fantasy score,
CBB,A,1.34,Alex Condon,FLA,MSST,Points,Goblin,12.5,OVER,4.618200000000002,17.1182,0.8,19.6,14.091,5,0,Weak,03/03 08:00PM,pts,
CBB,A,1.33,Efe Demirel,GC,AFA,Points,Goblin,8.5,OVER,2.471399999999999,10.9714,0.8,11.4,9.857,4,1,Weak,03/03 09:00PM,pts,
CBB,A,1.32,Denzel Aberdeen,UK,TXAM,Points,Goblin,11.5,OVER,3.337199999999999,14.8372,0.85,16.4,12.636,5,0,Weak,03/03 07:00PM,pts,
CBB,A,1.32,Alex Condon,FLA,MSST,Fantasy Score,Goblin,27,OVER,7.475999999999999,34.476,0.85,35.9,32.695,5,0,Weak,03/03 08:05PM,fantasy score,
CBB,A,1.31,Alex Condon,FLA,MSST,Points,Goblin,13.5,OVER,3.618200000000002,17.1182,0.8,19.6,14.091,5,0,Weak,03/03 08:00PM,pts,
CBB,A,1.31,Labaron Philon,ALA,UGA,Assists,Goblin,2.5,OVER,2.1854,4.6854,0.8500000000000001,4.6,4.727,4,1,Weak,03/03 06:30PM,ast,
CBB,A,1.31,Keaton Wagler,ILL,ORE,Fantasy Score,Goblin,26.5,OVER,10.8776,37.3776,1,37.58,35.638,5,0,Avg,03/03 09:05PM,fantasy score,
CBB,A,1.3,Marcus Millender,UGA,ALA,Points,Goblin,9.5,OVER,2.270000000000001,11.77,0.75,11.4,12.8,4,1,Weak,03/03 06:30PM,pts,
CBB,A,1.3,Latrell Wrightsell,ALA,UGA,Points,Goblin,11.5,OVER,4.215200000000001,15.7152,0.75,16.6,13.526,4,1,Weak,03/03 06:30PM,pts,
CBB,A,1.3,Xavier Edmonds,TCU,TTU,Fantasy Score,Goblin,24,OVER,9.717799999999997,33.7178,1,35.48,28.859,5,0,,03/03 07:05PM,fantasy score,
CBB,A,1.29,Marquel Sutton,LSU,AUB,Points,Goblin,8.5,OVER,4.370800000000001,12.8708,0.6499999999999999,12.8,13.304,3,2,Weak,03/03 10:00PM,pts,
CBB,A,1.29,Amari Allen,ALA,UGA,Rebounds,Goblin,4.5,OVER,2.3372,6.8372,0.8,6.8,7.286,4,1,Weak,03/03 06:30PM,reb,
CBB,A,1.29,Xaivian Lee,FLA,MSST,Assists,Goblin,3.5,OVER,2.3982,5.8982,0.7,6.8,4.091,4,1,Weak,03/03 08:00PM,ast,
CBB,A,1.29,Marcus Millender,UGA,ALA,Fantasy Score,Goblin,19,OVER,4.201999999999998,23.202,0.75,24.18,22.065,4,1,Weak,03/03 06:35PM,fantasy score,
