nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status
1630162,Anthony Edwards,G,MIN,ORL,51.5,Fantasy Score,fantasy,Demon,10386021,10386021,188017,133704,2026-03-07T15:00:00.000-05:00,,,44.5,1,https://static.prizepicks.com/images/players/NBA/Anthony_Edwards_NBA_player_rhlEP3GCAg5LDJD8uChjFU81.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30.3,67.2,40.6,42.1,45.8,48.3,48.7,18.1,15.4,14.8,45.2,37.13,40.588,36.8,1,4,0,0.2,0.2,0.8,0.1,0.9,OK
1631094,Paolo Banchero,F,ORL,MIN,48.5,Fantasy Score,fantasy,Demon,10386042,10386042,188001,133704,2026-03-07T15:00:00.000-05:00,,,41.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,114.8,89.7,41.4,35.2,12.6,24.8,15.2,54.5,28.799999999999997,57.599999999999994,12,8,5,19,11,26,13,13,23,11,13.21505376344086,13,Above Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39.4,50,34.2,48.1,53,34.4,60.8,48,24.8,24.3,44.94,41.7,40.5,36.2,2,3,0,0.4,0.4,0.6,0.3,0.7,OK
203944,Julius Randle,F-C,MIN,ORL,43.0,Fantasy Score,fantasy,Demon,10386034,10386034,216422,133704,2026-03-07T15:00:00.000-05:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Julius_Randle_NBA_player_wdsPCeOajEY6c6aD3jSNasmp.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33.6,37.2,38.3,14.6,31.4,30.1,21.5,52.4,52.4,28.6,31.02,34.01,35.536,33,0,5,0,0,0,1,0.2,0.8,OK
1630217,Desmond Bane,G,ORL,MIN,39.0,Fantasy Score,fantasy,Demon,10386026,10386026,271602,133704,2026-03-07T15:00:00.000-05:00,,,32.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,114.8,89.7,41.4,35.2,12.6,24.8,15.2,54.5,28.799999999999997,57.599999999999994,12,8,5,19,11,26,13,13,23,11,13.21505376344086,13,Above Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.1,33.4,33.3,48.2,34.2,48.5,50.3,33.8,45.9,28.1,35.24,38.28,36.443,36.6,1,4,0,0.2,0.2,0.8,0.4,0.6,OK
1630162,Anthony Edwards,G,MIN,ORL,38.5,Fantasy Score,fantasy,Goblin,10386010,10386010,188017,133704,2026-03-07T15:00:00.000-05:00,,,44.5,1,https://static.prizepicks.com/images/players/NBA/Anthony_Edwards_NBA_player_rhlEP3GCAg5LDJD8uChjFU81.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30.3,67.2,40.6,42.1,45.8,48.3,48.7,18.1,15.4,14.8,45.2,37.13,40.588,36.8,4,1,0,0.8,0.8,0.2,0.6,0.4,OK
1630591,Jalen Suggs,G,ORL,MIN,38.0,Fantasy Score,fantasy,Demon,10386018,10386018,53830,133704,2026-03-07T15:00:00.000-05:00,,,31.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,,,,,OK,114.8,89.7,41.4,35.2,12.6,24.8,15.2,54.5,28.799999999999997,57.599999999999994,12,8,5,19,11,26,13,13,23,11,13.21505376344086,13,Above Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36.9,37.1,24.6,9.2,17.1,52.2,41.6,45.4,62.7,32.6,24.98,35.94,34.782,23.2,0,5,0,0,0,1,0.4,0.6,OK
203497,Rudy Gobert,C,MIN,ORL,38.0,Fantasy Score,fantasy,Demon,10386041,10386041,87384,133704,2026-03-07T15:00:00.000-05:00,,,31.5,1,https://static.prizepicks.com/images/players/NBA/Rudy_Gobert_NBA_player_2ozGrrcD59T4wVpCbCelKQUm.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51.9,19.9,42,27.1,44.8,53.9,27.1,27.7,19.4,49.2,37.14,36.3,35.431,34,3,2,0,0.6,0.6,0.4,0.5,0.5,OK
1631094,Paolo Banchero,F,ORL,MIN,35.5,Fantasy Score,fantasy,Goblin,10386032,10386032,188001,133704,2026-03-07T15:00:00.000-05:00,,,41.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,114.8,89.7,41.4,35.2,12.6,24.8,15.2,54.5,28.799999999999997,57.599999999999994,12,8,5,19,11,26,13,13,23,11,13.21505376344086,13,Above Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39.4,50,34.2,48.1,53,34.4,60.8,48,24.8,24.3,44.94,41.7,40.5,36.2,4,1,0,0.8,0.8,0.2,0.6,0.4,OK
1628978,Donte DiVincenzo,G,MIN,ORL,32.5,Fantasy Score,fantasy,Demon,10386029,10386029,216658,133704,2026-03-07T15:00:00.000-05:00,,,26.5,1,https://static.prizepicks.com/images/players/NBA/Donte_DiVincenzo_NBA_player_yXBAHP7fATIDud1ZbDMnkxXH.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,22.8,34.1,32.6,31.2,18.7,30.5,23.3,27.8,9.8,30.14,26.08,25.671,31.4,2,3,0,0.4,0.4,0.6,0.2,0.8,OK
1629675,Naz Reid,C-F,MIN,ORL,31.5,Fantasy Score,fantasy,Demon,10386024,10386024,10787,133704,2026-03-07T15:00:00.000-05:00,,,26.0,1,https://static.prizepicks.com/images/players/NBA/Naz_Reid_NBA_player_aXWF5rxMP0McOCw8Jq9XpFvp.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22.7,15.7,25.2,27.4,21.6,42.4,26.4,25.2,25.3,22.1,22.52,25.4,28.162,24.4,0,5,0,0,0,1,0.1,0.9,OK
