team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
ATL,,225.5,-15.5,120.5,True,False,NORMAL,live
ORL,WAS,234.5,-13.5,124.0,True,False,FAST,live
WAS,ORL,234.5,13.5,110.5,True,False,FAST,live
PHX,IND,223.5,-8.5,116.0,False,False,NORMAL,live
IND,PHX,223.5,8.5,107.5,False,False,NORMAL,live
DET,PHI,222.5,-14.5,118.5,True,False,NORMAL,live
PHI,DET,222.5,14.5,104.0,True,False,NORMAL,live
MIL,MIA,235.5,6.5,114.5,False,False,FAST,live
MIA,MIL,235.5,-6.5,121.0,False,False,FAST,live
ATL,BKN,225.5,-15.5,120.5,True,False,NORMAL,live
BKN,ATL,225.5,15.5,105.0,True,False,NORMAL,live
DAL,MEM,237.5,-4.5,121.0,False,False,FAST,live
MEM,DAL,237.5,4.5,116.5,False,False,FAST,live
DEN,SAS,240.5,4.5,118.0,False,False,FAST,live
SAS,DEN,240.5,-4.5,122.5,False,False,FAST,live
OKC,BOS,216.5,-7.5,112.0,False,False,NORMAL,live
BOS,OKC,216.5,7.5,104.5,False,False,NORMAL,live
LAL,CHI,238.5,-11.5,125.0,True,False,FAST,live
CHI,LAL,238.5,11.5,113.5,True,False,FAST,live
ORL/WAS,,234.5,-13.5,124.0,True,False,FAST,live
DET/PHI,,222.5,-14.5,118.5,True,False,NORMAL,live
MIA/MIL,,235.5,-6.5,121.0,False,False,FAST,live
ATL/BKN,,225.5,-15.5,120.5,True,False,NORMAL,live
MEM/DAL,,237.5,4.5,116.5,False,False,FAST,live
SAS/DEN,,240.5,-4.5,122.5,False,False,FAST,live
OKC/BOS,,216.5,-7.5,112.0,False,False,NORMAL,live
LAL/CHI,,238.5,-11.5,125.0,True,False,FAST,live
